episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
1,28.353304688603874,0.001388888888888889,100,max_steps,False,True,22.51355930835668,9.99999999999998,0.021689697959183678,0.0,483.0,False,
1,-80.1642529820508,0.0006944444444444445,32,observation_failed,True,False,10.854401154401152,-5.199999999999999,0.011750008163265309,-50.0,903.0,False,
1,-72.12405899780532,0.0005555555555555556,50,observation_failed,True,False,11.052512661916683,-0.9999999999999982,0.015757191836734692,-50.0,908.0,False,
1,57.592080548784544,0.00375,100,max_steps,False,True,47.595213120213145,9.99999999999998,0.0031325714285714307,0.0,69.0,False,
2,25.251714610194878,0.00125,100,max_steps,False,True,15.254759051011208,9.99999999999998,0.003044440816326534,0.0,57.0,False,
3,23.477751074272632,0.0033333333333333335,100,max_steps,False,True,40.06214598095404,5.799999999999983,0.01820525714285715,0.0,640.0,False,
4,-80.14189383162822,0.0008333333333333334,20,observation_failed,True,False,8.436544011544012,-5.8,0.008568848979591839,-50.0,933.0,False,
1,50.11319612465529,0.005694444444444445,100,max_steps,False,True,60.97182539682542,9.99999999999998,0.038240587755102036,0.0,477.0,False,
2,-94.14447690222678,0.002777777777777778,100,max_steps,False,True,35.8007180369174,-8.600000000000005,0.15631203265306132,0.0,931.0,False,
3,-225.9062487872602,0.002916666666666667,85,observation_failed,True,False,35.11348265597491,-27.5,0.20886008163265296,-50.0,983.0,False,
1,-54.575107264028624,0.005555555555555556,100,max_steps,False,True,58.148448773448784,-7.400000000000015,0.12199023673469381,0.0,834.0,False,
2,-52.55141343462903,0.005,100,max_steps,False,True,53.809790617878875,-6.200000000000012,0.16179454693877557,0.0,814.0,False,
3,54.199074944745234,0.00375,100,max_steps,False,True,44.30521336700874,9.99999999999998,0.012956604081632678,0.0,343.0,False,
4,-127.78858333557173,0.0043055555555555555,100,max_steps,False,True,49.87576867576868,-18.199999999999953,0.08979781224489797,0.0,807.0,False,
5,46.64062936069171,0.003472222222222222,100,max_steps,False,True,42.93444888444892,9.99999999999998,0.011818938775510211,0.0,420.0,False,
1,-26.98110317052994,0.0011111111111111111,84,observation_failed,True,False,13.619422935592498,8.399999999999986,0.0005261061224489797,-50.0,17.0,False,
