step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,577,-9997,10330,5199,-8709,-9997,10330,5197,-8708,0,0,2,-1,0.0,12.0,21.0,0.0,5.2,5.2,5.2,5.2,24.0,30.0,32.0,24.0,-0.7498763799667358,-0.44321224093437195,0.2476993203163147,-0.8157889246940613
2,578,-10012,10319,5171,-8733,-10012,10320,5172,-8731,0,-1,-1,-2,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,30.0,32.0,24.0,-0.5243157744407654,-0.373801589012146,-0.9416139125823975,-0.8157109022140503
3,579,-9998,10433,5318,-8780,-10008,10343,5289,-8780,10,90,29,0,17.0,63.0,117.0,4.0,5.2,5.1,4.8,5.2,24.0,30.0,32.0,24.0,0.09398399293422699,0.7647719383239746,0.9863837957382202,-0.3170270025730133
4,580,-10146,10517,5337,-8892,-10146,10350,5299,-8892,0,167,38,0,0.0,164.0,157.0,14.0,5.2,5.0,4.9,5.2,24.0,30.0,32.0,24.0,-0.9874001145362854,0.5634637475013733,0.1293148249387741,-0.7501371502876282
