step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,590,0.0,13.0,0.0,11.0,5.2,5.2,5.2,5.2,38.0,33.0,29.0,24.0
2,591,45.0,48.0,26.0,-12.0,5.2,5.2,5.2,5.2,38.0,33.0,29.0,24.0
3,592,26.0,14.0,16.0,14.0,5.1,5.2,5.2,5.2,38.0,32.0,29.0,24.0
4,593,13.0,14.0,17.0,0.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
5,594,13.0,0.0,0.0,-11.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
6,595,58.0,34.0,29.0,-12.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
7,596,17.0,14.0,15.0,14.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
8,597,0.0,0.0,16.0,11.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
9,598,17.0,13.0,17.0,-11.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
10,599,13.0,33.0,14.0,-11.0,5.2,5.2,5.2,5.2,38.0,32.0,29.0,24.0
