step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,401,2790,4688,3321,1069,2781,4330,3296,681,9,358,25,388,14.0,486.0,75.0,535.0,4.5,4.7,4.3,4.5,32.0,41.0,50.0,42.0,-0.20992138981819153,0.6694288849830627,-0.36154383420944214,0.9836686849594116
2,402,2937,4735,3242,994,2814,4330,3227,703,123,405,15,291,97.0,588.0,41.0,331.0,4.5,4.7,4.6,4.9,32.0,41.0,49.0,42.0,0.9851694703102112,0.6126622557640076,-0.8179666996002197,-0.01812046766281128
3,403,2968,4660,3171,1017,2814,4330,3158,760,154,330,13,257,140.0,427.0,36.0,332.0,4.4,4.6,4.5,4.9,32.0,42.0,49.0,42.0,0.21210354566574097,0.40388450026512146,-0.6635302305221558,0.20842477679252625
4,404,3006,4623,3085,1076,2814,4330,3072,831,192,293,13,245,204.0,354.0,36.0,245.0,4.7,4.7,4.5,5.0,32.0,42.0,49.0,42.0,0.2584618926048279,-0.25113368034362793,-0.8028088212013245,0.5450263023376465
5,405,3011,4548,2996,1201,2814,4329,2979,918,197,219,17,283,212.0,221.0,50.0,321.0,4.5,4.8,4.9,4.8,32.0,42.0,49.0,43.0,0.03864405304193497,-0.5065783262252808,-0.8256503343582153,0.9237224459648132
6,406,2981,4403,2963,1069,2814,4323,2954,921,167,80,9,148,169.0,52.0,28.0,115.0,4.9,5.1,5.2,4.9,33.0,42.0,49.0,42.0,-0.2038886547088623,-0.9668976068496704,-0.307475209236145,-0.8818713426589966
7,407,3021,4523,2965,1213,2814,4323,2954,921,207,200,11,292,222.0,195.0,33.0,341.0,4.8,4.8,4.7,4.7,33.0,41.0,49.0,42.0,0.2696097791194916,0.805757999420166,0.02339058555662632,0.9604861736297607
8,408,2959,4547,2920,1211,2814,4323,2909,968,145,224,11,243,133.0,235.0,32.0,251.0,5.1,5.0,5.0,4.8,33.0,41.0,48.0,42.0,-0.41643720865249634,0.1613909900188446,-0.41770297288894653,-0.018691128119826317
9,409,3007,4613,2979,1071,2814,4323,2922,965,193,290,57,106,210.0,344.0,234.0,68.0,5.0,4.8,4.3,4.9,33.0,41.0,48.0,42.0,0.3209601044654846,0.9527187943458557,0.5048007369041443,-0.9348142743110657
10,410,3110,4551,3026,948,2864,4319,2994,885,246,232,32,63,306.0,243.0,114.0,35.0,4.8,4.8,4.8,4.9,33.0,41.0,48.0,42.0,0.7022355794906616,-0.4199838638305664,0.42651405930519104,-0.8239916563034058
11,411,2963,4415,3051,851,2865,4305,3035,822,98,110,16,29,74.0,80.0,54.0,17.0,5.1,5.1,5.1,5.2,33.0,41.0,48.0,42.0,-0.9806113839149475,-0.9068896770477295,0.21337541937828064,-0.6495906114578247
12,412,3019,4331,2954,948,2869,4277,2949,879,150,54,5,69,143.0,35.0,21.0,39.0,4.9,5.2,5.2,5.2,33.0,41.0,48.0,42.0,0.37494906783103943,-0.5606410503387451,-0.8265718221664429,0.6495544910430908
13,413,2886,4324,2850,825,2861,4278,2850,824,25,46,0,1,19.0,32.0,0.0,11.0,5.2,5.3,5.2,5.2,33.0,41.0,48.0,42.0,-0.8908136487007141,-0.048559173941612244,-0.8858765363693237,-0.8230399489402771
14,414,2975,4466,2744,951,2861,4278,2743,935,114,188,1,16,93.0,184.0,15.0,14.0,5.0,5.0,4.8,5.1,33.0,41.0,48.0,42.0,0.5959500074386597,0.9524878263473511,-0.9027763605117798,0.841896116733551
15,415,3059,4529,2822,920,2872,4282,2816,915,187,247,6,5,201.0,280.0,21.0,12.0,4.9,4.8,4.7,4.8,33.0,41.0,48.0,42.0,0.5641794204711914,0.42476725578308105,0.6661427021026611,-0.20900507271289825
16,416,3111,4564,2707,978,2879,4282,2707,951,232,282,0,27,280.0,344.0,0.0,19.0,4.8,4.7,4.8,4.7,33.0,41.0,47.0,42.0,0.34971529245376587,0.5624404549598694,-0.9751592874526978,0.38821274042129517
17,417,3120,4620,2688,1022,2879,4281,2687,991,241,339,1,31,295.0,455.0,15.0,19.0,4.8,4.5,4.6,4.6,33.0,41.0,47.0,41.0,0.0735224187374115,0.5250283479690552,-0.15179358422756195,0.2951156795024872
18,418,3003,4566,2603,955,2879,4281,2604,954,124,285,-1,1,105.0,348.0,0.0,12.0,5.1,4.9,4.8,5.1,34.0,41.0,47.0,41.0,-0.7848218679428101,-0.3626154959201813,-0.6653132438659668,-0.45329317450523376
19,419,2872,4537,2669,914,2826,4322,2669,913,46,215,0,1,30.0,224.0,0.0,10.0,5.2,4.9,5.1,5.2,34.0,42.0,47.0,41.0,-0.8783427476882935,-0.19567568600177765,0.5151529312133789,-0.2734677791595459
20,420,2856,4436,2664,896,2826,4322,2664,896,30,114,0,0,20.0,85.0,0.0,0.0,5.2,5.2,5.2,5.2,34.0,41.0,47.0,41.0,-0.11249785125255585,-0.6783924102783203,-0.21377770602703094,-0.6324493288993835
21,421,2999,4525,2664,867,2830,4322,2664,866,169,203,0,1,172.0,207.0,0.0,4.0,5.1,4.9,4.8,4.8,34.0,41.0,47.0,41.0,0.9547718167304993,0.5982152223587036,-0.00368021079339087,-0.9750170707702637
22,422,2893,4565,2781,898,2830,4322,2781,877,63,243,0,21,41.0,274.0,15.0,15.0,5.2,4.8,5.0,5.2,34.0,41.0,47.0,41.0,-0.7108539342880249,0.27257341146469116,0.9076027274131775,0.20714318752288818
23,423,2793,4439,2824,1030,2778,4325,2813,936,15,114,11,94,15.0,85.0,36.0,63.0,5.1,5.0,5.1,5.1,34.0,41.0,46.0,41.0,-0.6726400256156921,-0.844624400138855,0.33609482645988464,0.8837061524391174
24,424,2740,4464,2740,1054,2729,4362,2735,980,11,102,5,74,16.0,73.0,20.0,44.0,5.2,5.2,5.1,5.2,34.0,41.0,46.0,41.0,-0.3541998565196991,0.17069923877716064,-0.6023435592651367,0.1625705361366272
25,425,2609,4523,2650,936,2599,4473,2648,934,10,50,2,2,14.0,38.0,16.0,11.0,5.2,5.2,5.2,5.2,34.0,41.0,46.0,41.0,-0.8788423538208008,0.3935014009475708,-0.646846354007721,-0.7925202250480652
26,426,2615,4541,2663,972,2599,4473,2657,938,16,68,6,34,16.0,45.0,23.0,20.0,5.2,5.2,5.1,5.2,33.0,41.0,46.0,41.0,0.04180705547332764,0.1236267238855362,0.0936599150300026,0.24147790670394897
27,427,2615,4431,2636,894,2608,4429,2636,895,7,2,0,-1,14.0,16.0,0.0,-12.0,5.2,5.2,5.2,5.2,33.0,41.0,45.0,41.0,0.006314875558018684,-0.7346913814544678,-0.19368863105773926,-0.5241761803627014
28,428,2649,4541,2493,897,2611,4458,2494,891,38,83,-1,6,26.0,56.0,0.0,11.0,5.2,5.2,5.1,5.2,33.0,41.0,45.0,40.0,0.2285599559545517,0.7393703460693359,-0.9546285271644592,0.024677317589521408
