episode,total_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids
1,-22.898816250633292,0.0031629554655870445,200,max_steps,False,True,24.0,27.200000000000113,-0.9785714285714286,0.0,-23.062272727272724,-50.05797209478915,699.0,200,False,
2,16.560146206537457,0.003036437246963563,200,max_steps,False,True,23.0,53.600000000000065,-1.273942857142857,0.0,-18.63045454545454,-40.13545639086515,656.0,200,False,
1,-1.658451536402958,0.00430161943319838,200,max_steps,False,True,33.0,25.59999999999995,-1.6674857142857151,0.0,-27.776818181818175,-30.81414764029905,861.0,175,False,
2,47.64414642891836,0.005060728744939271,200,max_steps,False,True,39.0,52.80000000000007,-1.305942857142857,0.0,-17.566818181818192,-25.28309253212064,681.0,164,False,
3,-20.44362745037342,0.001771255060728745,79,out_of_bounds,True,False,13.0,-1.2999999999999952,-0.32217142857142844,0.0,-13.555454545454545,-17.266001476347448,651.0,65,False,
4,55.042592017657334,0.00354251012145749,76,out_of_bounds,True,False,27.0,36.400000000000006,-0.4446285714285715,0.0,-0.6995454545454546,-6.21323395636864,524.0,41,False,
5,28.783246043777464,0.0034159919028340082,80,out_of_bounds,True,False,26.0,19.999999999999986,-0.7563999999999995,0.0,-7.1850000000000005,-8.275353956222535,659.0,48,False,
6,46.3205796919459,0.002909919028340081,72,out_of_bounds,True,False,22.0,33.599999999999994,-0.32177142857142865,0.0,-1.0972727272727272,-6.8603761522099385,568.0,29,False,
7,59.87669881438154,0.002909919028340081,117,out_of_bounds,True,False,22.0,51.3,-0.7930857142857143,0.0,-4.13681818181818,-7.493397289514542,624.0,50,False,
8,25.789048774696948,0.00215080971659919,32,out_of_bounds,True,False,16.0,15.2,-0.14182857142857144,0.0,-0.4059090909090909,-3.8632135629653934,650.0,15,False,
9,33.64285803479274,0.002403846153846154,61,out_of_bounds,True,False,18.0,26.499999999999996,-0.4606285714285715,0.0,-4.346363636363636,-5.050149757415055,539.0,30,False,
10,7.87227562498156,0.0006325910931174089,11,out_of_bounds,True,False,4.0,5.5,-0.09428571428571428,0.0,-0.18727272727272726,-0.3461659334599972,443.0,4,False,
11,36.96071788211557,0.002909919028340081,58,out_of_bounds,True,False,22.0,24.199999999999996,-0.32451428571428576,0.0,-2.880909090909091,-5.0338587412610645,562.0,24,False,
12,-3.9417001864871803,0.003289473684210526,99,out_of_bounds,True,False,25.0,6.300000000000006,-0.7786857142857142,0.0,-14.579999999999998,-18.883014472201467,775.0,76,False,
13,41.429238339785165,0.002909919028340081,54,out_of_bounds,True,False,22.0,27.0,-0.11594285714285715,0.0,0.0,-6.454818803071976,209.0,21,False,
14,-0.0006285714285714228,0.00012651821862348178,2,out_of_bounds,True,False,0.0,1.0,-0.0006285714285714286,0.0,0.0,0.0,17.0,0,False,
