step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,41,0.0,540.0,658.0,412.0,4.5,4.1,3.5,4.9,31.0,33.0,39.0,34.0
2,42,13.0,551.0,683.0,409.0,4.5,3.6,3.9,4.7,31.0,33.0,39.0,34.0
3,43,0.0,525.0,683.0,352.0,4.6,3.8,3.6,4.7,31.0,33.0,40.0,34.0
4,44,0.0,534.0,656.0,298.0,5.0,4.0,3.6,5.0,31.0,33.0,40.0,35.0
5,45,0.0,536.0,644.0,266.0,5.0,3.8,3.6,4.8,31.0,34.0,40.0,35.0
6,46,0.0,549.0,673.0,264.0,4.9,3.7,3.4,4.8,31.0,34.0,40.0,35.0
7,47,-14.0,491.0,696.0,295.0,5.0,3.7,3.4,5.0,31.0,34.0,40.0,35.0
8,48,0.0,484.0,688.0,240.0,4.9,4.2,3.4,4.8,31.0,34.0,41.0,35.0
9,49,12.0,453.0,692.0,258.0,4.9,3.9,3.5,4.8,31.0,34.0,41.0,35.0
10,50,13.0,471.0,663.0,212.0,4.6,4.3,3.8,5.0,31.0,34.0,41.0,35.0
