timestamp,action_count,action_m16,action_m17,action_m18,action_m19,delta_m16,delta_m17,delta_m18,delta_m19,target_before_m16,target_before_m17,target_before_m18,target_before_m19,target_after_m16,target_after_m17,target_after_m18,target_after_m19,position_m16,position_m17,position_m18,position_m19,current_m16_mA,current_m17_mA,current_m18_mA,current_m19_mA,voltage_m16_V,voltage_m17_V,voltage_m18_V,voltage_m19_V,temperature_m16_C,temperature_m17_C,temperature_m18_C,temperature_m19_C,pwm_m16,pwm_m17,pwm_m18,pwm_m19,velocity_m16,velocity_m17,velocity_m18,velocity_m19,hardware_status_m16,hardware_status_m17,hardware_status_m18,hardware_status_m19,packet_error_m16,packet_error_m17,packet_error_m18,packet_error_m19,success,hardware_error,hardware_error_ids,error_message
2026-08-27T11:34:51.759337,1,-0.34782323241233826,0.26240646839141846,-0.8666360378265381,0.5112490057945251,-52,39,-129,76,4412,2111,5836,-1667,4360,2150,5707,-1591,4379,2150,5708,-1594,-13,13,0,14,5.2,5.2,5.2,5.2,33,29,30,28,1,0,0,4,-1,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:34:53.967130,2,-0.6702483892440796,0.9093567132949829,0.48695775866508484,-0.013413257896900177,-100,136,73,-2,4360,2150,5707,-1591,4260,2286,5780,-1593,4300,2270,5778,-1596,-12,16,17,15,5.2,5.2,5.2,5.2,33,29,30,28,0,25,12,4,-9,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:34:56.174962,3,-0.5076519250869751,0.5153098106384277,0.6587240695953369,0.9029090404510498,-76,77,98,135,4260,2286,5780,-1593,4184,2363,5878,-1458,4214,2291,5850,-1573,-14,51,112,98,5.2,5.0,5.1000000000000005,5.2,33,29,30,28,0,112,124,179,-6,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:34:58.382786,4,0.9859372973442078,0.014364673756062984,0.8471182584762573,-0.4847888648509979,147,2,127,-72,4184,2363,5878,-1458,4331,2365,6005,-1530,4270,2289,5955,-1610,10,52,235,59,5.2,4.800000000000001,5.0,5.2,33,29,30,28,4,118,219,126,15,1,0,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:00.590615,5,0.982252836227417,0.5931087732315063,-0.35747089982032776,0.6482410430908203,147,88,-53,97,4331,2365,6005,-1530,4478,2453,5952,-1433,4418,2335,5937,-1610,11,102,46,194,5.0,5.1000000000000005,5.0,5.1000000000000005,33,29,30,28,4,184,64,278,13,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:02.798437,6,0.10868432372808456,-0.43892502784729004,0.793727457523346,-0.09818694740533829,16,-65,119,-14,4478,2453,5952,-1433,4494,2388,6071,-1447,4486,2334,5991,-1615,13,34,428,171,5.1000000000000005,4.9,4.0,5.1000000000000005,33,29,30,28,7,84,343,262,1,1,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:05.006274,7,-0.233101949095726,-0.547696053981781,0.12923984229564667,-0.8133254647254944,-34,-82,19,-121,4494,2388,6071,-1447,4460,2306,6090,-1568,4473,2269,6039,-1646,-15,26,245,55,5.2,5.0,4.7,5.2,33,29,30,28,-2,57,223,121,-4,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:07.198104,8,0.636573314666748,-0.6046860814094543,-0.3663778305053711,0.771712064743042,95,-90,-54,115,4460,2306,6090,-1568,4555,2216,6036,-1453,4514,2201,6025,-1620,13,16,34,172,4.9,5.2,5.2,5.1000000000000005,33,29,30,28,3,23,47,259,10,0,0,2,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:09.405933,9,0.616061806678772,0.30731168389320374,0.6035639047622681,0.4481534957885742,92,46,90,67,4555,2216,6036,-1453,4647,2262,6126,-1386,4609,2199,6062,-1622,13,42,322,297,4.800000000000001,4.5,4.9,5.0,33,29,31,28,4,100,279,370,9,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:11.613777,10,0.5175581574440002,-0.2905547320842743,0.29444342851638794,0.30210980772972107,77,-43,44,45,4647,2262,6126,-1386,4724,2219,6170,-1341,4690,2177,6087,-1623,14,29,450,392,4.7,4.800000000000001,4.7,4.800000000000001,33,29,31,28,9,65,360,442,8,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:20.525091,11,-0.3956736624240875,0.7197986841201782,-0.10814747959375381,0.06277754157781601,-59,107,-16,9,4724,2219,6170,-1341,4665,2326,6154,-1332,4693,2177,6087,-1623,-13,139,330,395,5.1000000000000005,4.800000000000001,4.800000000000001,4.800000000000001,33,29,32,29,-4,232,292,456,-7,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:22.732953,12,-0.9748506546020508,-0.6100212335586548,-0.38962051272392273,-0.4711715877056122,-146,-91,-58,-70,4665,2326,6154,-1332,4519,2235,6096,-1402,4582,2178,6078,-1623,-9,45,64,254,5.2,5.0,5.1000000000000005,5.2,33,29,32,29,-5,89,81,346,-13,1,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:24.940790,13,-0.5128726363182068,0.666627049446106,-0.34402647614479065,-0.9215825796127319,-76,99,-51,-138,4519,2235,6096,-1402,4443,2334,6045,-1540,4474,2238,6029,-1621,-14,74,50,54,5.2,5.2,5.1000000000000005,5.2,33,29,32,29,-2,150,68,126,-6,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:27.148573,14,-0.671035885810852,-0.5300253629684448,-0.22569608688354492,-0.3069668114185333,-100,-79,-33,-46,4443,2334,6045,-1540,4343,2255,6012,-1586,4380,2237,6003,-1623,-12,17,29,26,5.2,5.2,5.2,5.2,32,29,32,29,1,28,38,57,-4,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:29.356407,15,0.5821905136108398,0.8052195310592651,0.5939992666244507,0.7151504755020142,87,120,89,107,4343,2255,6012,-1586,4430,2375,6101,-1479,4396,2247,6041,-1626,12,113,291,134,5.1000000000000005,5.0,4.5,4.9,32,29,32,29,3,200,262,229,7,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:31.564239,16,0.9119598269462585,0.08563987165689468,-0.7568362951278687,0.9185026288032532,136,12,-113,137,4430,2375,6101,-1479,4566,2387,5988,-1342,4507,2276,5972,-1584,12,89,50,301,5.1000000000000005,5.0,5.1000000000000005,4.9,32,29,32,29,6,171,68,379,14,1,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:33.772094,17,0.8281220197677612,-0.9315427541732788,-0.05458598956465721,0.752164363861084,124,-139,-8,112,4566,2387,5988,-1342,4690,2248,5980,-1230,4632,2216,5963,-1540,11,23,56,452,4.800000000000001,5.1000000000000005,5.0,4.7,32,29,32,29,14,50,73,485,13,1,0,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:35.979908,18,-0.5922707319259644,0.7278194427490234,0.9972549676895142,0.030937504023313522,-88,109,149,4,4690,2248,5980,-1230,4602,2357,6129,-1226,4642,2214,6023,-1545,-12,113,584,453,5.0,4.6000000000000005,4.1000000000000005,5.0,32,29,32,29,-7,223,459,500,-11,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:38.187736,19,-0.922848641872406,0.9615973234176636,0.012415008619427681,-0.19220538437366486,-138,144,1,-28,4602,2357,6129,-1226,4464,2501,6130,-1254,4527,2240,6023,-1546,-11,308,555,386,5.0,4.2,3.6,5.0,32,29,32,30,-11,406,464,457,-14,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:40.395572,20,0.43264660239219666,0.03473355248570442,0.0019112944137305021,0.12106446176767349,64,5,0,18,4464,2501,6130,-1254,4528,2506,6130,-1236,4499,2240,6023,-1546,13,315,568,424,4.6000000000000005,4.0,4.2,4.7,32,29,32,30,6,412,464,485,10,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:49.306898,21,0.285164475440979,0.7113739252090454,0.006567423697561026,0.05499277263879776,42,106,0,8,4528,2506,6130,-1236,4570,2612,6130,-1228,4550,2241,6023,-1546,13,507,535,430,4.800000000000001,3.9000000000000004,3.5,4.5,32,30,33,31,3,578,464,498,5,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:51.514736,22,-0.6879117488861084,-0.9539375901222229,0.11412332206964493,-0.12683740258216858,-103,-143,17,-19,4570,2612,6130,-1228,4467,2469,6147,-1247,4513,2241,6023,-1546,-12,237,675,388,4.6000000000000005,4.1000000000000005,4.2,5.0,32,30,33,31,-10,356,537,468,-10,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:35:53.722569,23,0.7129234075546265,-0.5798195600509644,0.009955689311027527,-0.044126447290182114,106,-86,1,-6,4467,2469,6147,-1247,4573,2383,6148,-1253,4526,2241,6024,-1546,12,116,689,379,4.7,4.0,3.7,5.1000000000000005,32,30,34,31,6,221,541,459,12,1,0,0,0,0,0,0,,,,,True,False,,
