step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
25,225,2486,4209,3102,1095,2486,4072,3045,959,0,137,57,136,0.0,116.0,266.0,110.0,5.1,4.9,4.9,5.1,34.0,34.0,39.0,36.0,0.3808058500289917,0.8705794811248779,0.7401905059814453,0.38721057772636414
26,226,2556,4088,2993,1065,2556,4072,2984,964,0,16,9,101,0.0,19.0,29.0,69.0,5.2,5.2,5.2,5.2,34.0,34.0,39.0,36.0,0.47085797786712646,-0.81179279088974,-0.7303521633148193,-0.20442703366279602
27,227,2441,4129,3126,1018,2441,4070,3069,927,0,59,57,91,0.0,41.0,271.0,59.0,5.0,5.1,5.0,5.1,34.0,34.0,39.0,36.0,-0.7726914286613464,0.27916643023490906,0.8894982933998108,-0.3188951015472412
28,228,2580,4262,3188,892,2580,4159,3146,814,0,103,42,78,0.0,81.0,177.0,48.0,5.1,5.0,4.7,5.2,34.0,34.0,39.0,36.0,0.9267739057540894,0.8880688548088074,0.482968807220459,-0.8422571420669556
29,229,2655,4352,3302,1004,2655,4159,3212,808,0,193,90,196,0.0,185.0,454.0,192.0,5.0,4.2,4.4,5.1,34.0,34.0,40.0,36.0,0.5029025673866272,0.6050916910171509,0.7610405683517456,0.7513196468353271
30,230,2649,4279,3351,919,2651,4159,3260,768,-2,120,91,151,-14.0,89.0,477.0,125.0,4.9,4.8,4.2,5.0,34.0,34.0,40.0,36.0,-0.045202866196632385,-0.4885052740573883,0.6018784046173096,-0.570439338684082
31,231,2664,4204,3212,797,2664,4162,3201,747,0,42,11,50,0.0,30.0,33.0,33.0,5.2,5.2,5.2,5.2,34.0,34.0,40.0,36.0,0.10506715625524521,-0.5032698512077332,-0.9319316744804382,-0.8135596513748169
32,232,2602,4351,3275,698,2602,4279,3247,654,0,72,28,44,0.0,51.0,103.0,26.0,5.2,5.2,4.9,5.2,34.0,34.0,40.0,36.0,-0.4149099886417389,0.9812430143356323,0.422423779964447,-0.6610960960388184
33,233,2617,4483,3351,820,2617,4314,3287,650,0,169,64,170,0.0,160.0,297.0,155.0,5.0,4.4,4.8,5.0,34.0,34.0,40.0,36.0,0.10497637093067169,0.8825842142105103,0.508614718914032,0.8192455768585205
34,234,2761,4630,3439,852,2734,4336,3328,645,27,294,111,207,19.0,366.0,576.0,208.0,4.7,4.2,4.0,5.0,34.0,34.0,40.0,36.0,0.9637451171875,0.9854769110679626,0.7273671627044678,0.21964019536972046
