step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,1,3472,3352,3808,290,3473,3352,3808,286,-1,0,0,4,0.0,0.0,0.0,12.0,5.2,5.2,5.2,5.2,26.0,25.0,31.0,27.0,-0.8053333759307861,-0.6253780126571655,0.9148672223091125,0.12908269464969635
2,2,3608,3233,3866,312,3609,3233,3865,305,-1,0,1,7,0.0,2.0,16.0,12.0,5.2,5.2,5.2,5.2,26.0,25.0,31.0,27.0,0.9068067669868469,-0.7944150567054749,0.3932728171348572,0.14836393296718597
3,3,3470,3319,4013,402,3471,3270,3983,319,-1,49,30,83,0.0,36.0,111.0,59.0,5.2,5.2,5.1,5.1,26.0,25.0,31.0,27.0,-0.9204226732254028,0.5769492387771606,0.9833261966705322,0.6027485728263855
4,4,3353,3425,3871,428,3354,3399,3865,366,-1,26,6,62,0.0,24.0,25.0,39.0,5.2,5.2,5.2,5.1,26.0,24.0,31.0,27.0,-0.7841736078262329,0.7068177461624146,-0.9522831439971924,0.17635118961334229
5,5,3476,3463,3883,308,3477,3453,3878,304,-1,10,5,4,0.0,17.0,21.0,12.0,5.2,5.2,5.2,5.2,26.0,24.0,31.0,27.0,0.8245022296905518,0.25618991255760193,0.08269637078046799,-0.8021053075790405
6,6,3558,3378,4001,275,3558,3371,3984,254,0,7,17,21,13.0,15.0,58.0,16.0,5.2,5.1,5.2,5.2,26.0,24.0,31.0,27.0,0.550636887550354,-0.5719283819198608,0.7910689115524292,-0.22236493229866028
7,7,3571,3512,3959,298,3558,3450,3955,255,13,62,4,43,16.0,44.0,20.0,28.0,5.2,5.2,5.2,5.2,26.0,25.0,30.0,27.0,0.08842349052429199,0.8986226320266724,-0.28238362073898315,0.15395841002464294
8,8,3645,3427,4026,318,3603,3406,3996,252,42,21,30,66,30.0,20.0,116.0,42.0,5.2,5.1,4.8,5.1,26.0,24.0,30.0,27.0,0.4966242015361786,-0.5669345855712891,0.4488459825515747,0.13625571131706238
9,9,3645,3572,4147,456,3603,3417,4084,258,42,155,63,198,28.0,146.0,308.0,217.0,4.7,4.6,4.7,4.9,26.0,24.0,31.0,27.0,0.005824017804116011,0.9689837694168091,0.8114498257637024,0.9229772090911865
10,10,3720,3541,4217,524,3632,3416,4128,255,88,125,89,269,62.0,106.0,488.0,340.0,4.7,4.7,4.0,4.9,26.0,25.0,31.0,27.0,0.5054776668548584,-0.2117358297109604,0.5988608598709106,0.9470486044883728
11,11,3779,3499,4080,385,3660,3416,4066,261,119,83,14,124,107.0,63.0,47.0,103.0,4.8,5.1,5.1,5.0,26.0,25.0,31.0,28.0,0.39352691173553467,-0.28498348593711853,-0.915923535823822,-0.9297150373458862
12,12,3692,3646,4019,510,3660,3416,4005,326,32,230,14,184,23.0,287.0,41.0,190.0,4.7,5.0,4.8,5.0,26.0,25.0,31.0,28.0,-0.5840741991996765,0.9865595698356628,-0.406681090593338,0.8345773220062256
13,13,3607,3739,3959,649,3576,3508,3938,384,31,231,21,265,22.0,278.0,74.0,339.0,5.0,4.6,4.5,5.0,26.0,25.0,31.0,28.0,-0.5730491280555725,0.7524694204330444,-0.40321651101112366,0.9277228713035583
