step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,1142,0.0,9.0,0.0,-11.0,5.2,5.2,5.2,5.3,32.0,29.0,37.0,32.0
2,1143,0.0,10.0,47.0,14.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
3,1144,0.0,0.0,16.0,12.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
4,1145,0.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
5,1146,0.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
6,1147,0.0,10.0,16.0,13.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
7,1148,0.0,11.0,18.0,19.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
8,1149,0.0,12.0,17.0,16.0,5.2,5.2,5.2,5.3,32.0,29.0,37.0,32.0
9,1150,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
10,1151,12.0,10.0,0.0,-12.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
11,1152,0.0,0.0,0.0,-11.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
12,1153,0.0,0.0,0.0,-12.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
13,1154,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
14,1155,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
15,1156,15.0,11.0,0.0,12.0,5.2,5.2,5.2,5.3,32.0,29.0,37.0,32.0
16,1157,0.0,0.0,0.0,-4.0,5.2,5.3,5.2,5.2,32.0,29.0,37.0,32.0
17,1158,0.0,2.0,0.0,11.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
18,1159,13.0,15.0,0.0,11.0,5.2,5.2,5.2,5.3,32.0,29.0,37.0,32.0
19,1160,13.0,0.0,0.0,12.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
20,1161,47.0,16.0,-1.0,22.0,5.2,5.2,5.2,5.2,32.0,29.0,37.0,32.0
21,1162,110.0,109.0,-2.0,37.0,5.2,5.2,5.0,5.1,32.0,29.0,37.0,32.0
22,1163,45.0,175.0,0.0,13.0,5.2,5.1,5.1,5.2,32.0,29.0,37.0,31.0
23,1164,28.0,187.0,0.0,12.0,5.1,5.0,5.0,5.2,32.0,29.0,36.0,31.0
24,1165,96.0,353.0,0.0,13.0,5.2,4.7,4.8,5.1,32.0,29.0,36.0,31.0
25,1166,50.0,453.0,0.0,69.0,5.2,4.6,4.6,5.1,32.0,29.0,36.0,31.0
26,1167,245.0,344.0,14.0,34.0,4.6,4.8,4.6,5.2,32.0,29.0,36.0,31.0
27,1168,143.0,371.0,2.0,15.0,5.1,4.9,4.6,4.9,32.0,30.0,36.0,31.0
28,1169,45.0,425.0,0.0,16.0,5.1,4.9,5.0,5.1,32.0,30.0,36.0,31.0
29,1170,249.0,249.0,0.0,14.0,5.1,4.7,4.8,5.1,32.0,30.0,36.0,31.0
30,1171,317.0,100.0,0.0,19.0,5.0,5.1,4.9,4.8,32.0,30.0,36.0,31.0
31,1172,367.0,58.0,16.0,63.0,5.0,5.1,5.1,5.1,32.0,30.0,36.0,31.0
32,1173,568.0,267.0,0.0,60.0,4.3,4.7,4.7,4.8,32.0,30.0,36.0,31.0
33,1174,555.0,287.0,16.0,90.0,4.5,4.6,4.7,4.9,32.0,30.0,36.0,31.0
34,1175,595.0,227.0,16.0,43.0,4.8,4.8,4.7,5.0,33.0,30.0,36.0,31.0
35,1176,553.0,281.0,0.0,16.0,4.9,4.8,4.9,5.0,33.0,30.0,36.0,31.0
36,1177,580.0,289.0,1.0,39.0,4.9,4.7,4.8,4.7,34.0,30.0,35.0,31.0
37,1178,513.0,346.0,0.0,56.0,4.6,4.6,4.6,4.9,34.0,30.0,35.0,31.0
38,1179,533.0,284.0,-5.0,19.0,4.6,4.8,4.9,4.6,34.0,30.0,35.0,31.0
39,1180,478.0,271.0,-2.0,26.0,4.7,4.9,5.0,4.6,35.0,31.0,35.0,31.0
40,1181,566.0,59.0,-1.0,88.0,4.8,5.1,5.1,4.7,35.0,31.0,35.0,31.0
41,1182,414.0,232.0,-6.0,114.0,5.0,4.9,4.8,4.6,35.0,31.0,35.0,31.0
42,1183,332.0,97.0,0.0,141.0,5.1,5.0,5.0,4.7,35.0,31.0,35.0,31.0
43,1184,290.0,222.0,4.0,186.0,4.6,4.8,4.7,4.8,36.0,30.0,35.0,31.0
44,1185,157.0,103.0,16.0,111.0,4.9,5.0,5.1,5.2,36.0,31.0,35.0,31.0
45,1186,272.0,53.0,0.0,42.0,5.1,5.1,5.1,5.2,36.0,31.0,35.0,31.0
46,1187,413.0,193.0,0.0,15.0,5.0,5.0,4.9,4.7,36.0,30.0,35.0,31.0
47,1188,456.0,199.0,0.0,15.0,4.5,4.9,5.0,5.1,36.0,31.0,35.0,31.0
48,1189,341.0,62.0,0.0,14.0,4.6,5.2,5.1,4.8,36.0,31.0,35.0,31.0
49,1190,166.0,39.0,16.0,49.0,4.8,5.2,5.2,5.0,36.0,31.0,35.0,31.0
50,1191,45.0,15.0,0.0,15.0,5.2,5.2,5.2,5.2,36.0,31.0,35.0,31.0
