step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,380,-8800,9009,5073,-5253,-8799,9010,5073,-5252,-1,-1,0,-1,0.0,1.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,29.0,24.0,0.889285683631897,-0.8741592168807983,0.3758758008480072,-0.8395276665687561
2,381,-8943,9140,5054,-5266,-8942,9136,5053,-5267,-1,4,1,1,0.0,13.0,22.0,14.0,5.2,5.2,5.2,5.2,24.0,31.0,29.0,24.0,-0.9583408236503601,0.8742052316665649,-0.6453106999397278,-0.441211998462677
3,382,-9074,9257,5182,-5406,-9074,9199,5170,-5417,0,58,12,11,0.0,35.0,46.0,15.0,5.2,5.2,5.2,5.2,24.0,31.0,29.0,24.0,-0.8750796914100647,0.7857412099838257,0.8579667210578918,-0.937937319278717
4,383,-9130,9398,5273,-5297,-9129,9223,5232,-5396,-1,175,41,99,0.0,169.0,174.0,75.0,5.2,4.8,4.7,5.2,24.0,31.0,29.0,24.0,-0.3734022378921509,0.9425615072250366,0.6127277612686157,0.7295503616333008
5,384,-9172,9539,5310,-5366,-9172,9238,5252,-5397,0,301,58,31,0.0,384.0,265.0,23.0,5.1,4.6,4.4,5.1,24.0,31.0,29.0,24.0,-0.28656435012817383,0.9452972412109375,0.25245437026023865,-0.46425166726112366
6,385,-9311,9416,5389,-5514,-9310,9238,5343,-5553,-1,178,46,39,0.0,169.0,205.0,28.0,5.1,4.8,5.0,5.2,24.0,31.0,29.0,24.0,-0.9328773021697998,-0.8226805925369263,0.609186053276062,-0.9922962784767151
7,386,-9166,9424,5462,-5442,-9166,9236,5386,-5553,0,188,76,111,0.0,187.0,394.0,92.0,5.0,4.8,4.2,5.1,24.0,31.0,29.0,24.0,0.9679692983627319,0.05958431586623192,0.500299870967865,0.4854530096054077
8,387,-9158,9573,5367,-5580,-9158,9295,5352,-5615,0,278,15,35,0.0,353.0,52.0,24.0,5.1,4.9,4.7,5.1,24.0,32.0,29.0,25.0,0.0596676766872406,0.9942920207977295,-0.6363032460212708,-0.9200952053070068
9,388,-9261,9433,5394,-5630,-9261,9297,5353,-5656,0,136,41,26,0.0,112.0,178.0,20.0,5.2,5.0,5.0,5.1,24.0,32.0,29.0,24.0,-0.6927659511566162,-0.9343563318252563,0.18384289741516113,-0.3389972746372223
10,389,-9398,9562,5409,-5684,-9399,9316,5370,-5706,1,246,39,22,8.0,286.0,159.0,19.0,5.1,4.8,4.6,5.1,24.0,32.0,29.0,25.0,-0.9152413606643677,0.8601700663566589,0.10286448895931244,-0.36163774132728577
11,390,-9484,9655,5471,-5559,-9484,9315,5396,-5701,0,340,75,142,0.0,452.0,373.0,128.0,5.0,4.4,4.0,5.1,24.0,32.0,29.0,24.0,-0.5748184323310852,0.7429958581924438,0.4182150363922119,0.8342069983482361
12,391,-9451,9602,5480,-5648,-9451,9315,5396,-5701,0,287,84,53,0.0,333.0,429.0,34.0,5.0,4.5,4.4,5.0,24.0,32.0,29.0,25.0,0.22082529962062836,-0.35627907514572144,0.3935510218143463,-0.5950169563293457
