step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,563,-9178,10017,5081,-9199,-9178,10018,5081,-9200,0,-1,0,1,0.0,0.0,0.0,10.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.856909990310669,-0.9109658002853394,-0.7034553289413452,0.3378758132457733
2,564,-9289,10058,5078,-9217,-9288,10059,5078,-9216,-1,-1,0,-1,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.7438933849334717,0.27478882670402527,-0.10356512665748596,-0.6310718059539795
3,565,-9306,10036,5163,-9213,-9305,10037,5163,-9213,-1,-1,0,0,0.0,0.0,11.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.5718939304351807,-0.7550554275512695,0.5730608701705933,0.032214101403951645
4,566,-9271,10060,5163,-9358,-9271,10060,5163,-9358,0,0,0,0,0.0,12.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,0.23521941900253296,0.1603950411081314,6.773322820663452e-05,-0.9678253531455994
5,567,-9402,10195,5305,-9239,-9406,10161,5303,-9238,4,34,2,-1,16.0,21.0,22.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.8790379166603088,0.9046586751937866,0.94733726978302,0.7980360388755798
6,568,-9517,10106,5217,-9182,-9517,10107,5216,-9182,0,-1,1,0,0.0,0.0,9.0,2.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.7676437497138977,-0.5966874957084656,-0.5925906896591187,0.3845680058002472
7,569,-9623,10229,5207,-9209,-9623,10222,5205,-9209,0,7,2,0,0.0,12.0,22.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.709825873374939,0.8221029043197632,-0.3462669253349304,-0.9284713864326477
8,570,-9646,10201,5196,-9235,-9646,10201,5196,-9233,0,0,0,-2,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.7669590711593628,-0.9614947438240051,-0.38761305809020996,-0.876656711101532
9,571,-9674,10184,5149,-9161,-9674,10184,5150,-9161,0,0,-1,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.9494389295578003,-0.5873379111289978,-0.31887340545654297,0.495115727186203
10,572,-9636,10141,5263,-9072,-9636,10141,5264,-9071,0,0,-1,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,0.2589900493621826,-0.2898472845554352,0.7610916495323181,0.5974491238594055
11,573,-9718,10269,5401,-9013,-9721,10189,5385,-9012,3,80,16,-1,16.0,56.0,57.0,0.0,5.2,5.1,5.2,5.2,24.0,31.0,32.0,24.0,-0.5482064485549927,0.8533779382705688,0.9235596060752869,0.39663946628570557
12,574,-9775,10410,5253,-9099,-9778,10326,5247,-9098,3,84,6,-1,16.0,59.0,28.0,0.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,-0.3815442621707916,0.9442644119262695,-0.9880738854408264,-0.5749832391738892
13,575,-9922,10553,5277,-8962,-9925,10368,5253,-8961,3,185,24,-1,16.0,190.0,93.0,0.0,5.1,4.8,4.5,5.2,24.0,31.0,32.0,24.0,-0.9849064946174622,0.9570489525794983,0.16344983875751495,0.9148299694061279
14,576,-9908,10422,5183,-9087,-9912,10383,5181,-9087,4,39,2,0,16.0,25.0,23.0,14.0,5.2,5.2,5.2,5.2,24.0,31.0,32.0,24.0,0.09639748185873032,-0.8768391013145447,-0.6285468339920044,-0.8376404643058777
