step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,635,1295,5251,1848,10816,1270,5245,1844,10816,25,6,4,0,20.0,13.0,19.0,11.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.9028466939926147,-0.8066887855529785,0.5149982571601868,-0.6906114816665649
2,636,1347,5305,1742,10851,1305,5264,1741,10851,42,41,1,0,29.0,28.0,16.0,11.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.34914514422416687,0.3640860617160797,-0.7073248624801636,0.23784767091274261
3,637,1257,5226,1725,10850,1257,5226,1726,10851,0,0,-1,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,-0.6035401821136475,-0.5314188599586487,-0.5740209817886353,-0.049117885529994965
4,638,1276,5269,1715,10823,1272,5262,1716,10825,4,7,-1,-2,14.0,13.0,0.0,-11.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.13069020211696625,0.2931947112083435,-0.33573827147483826,-0.9026920795440674
