step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,21,0.0,524.0,533.0,429.0,4.5,3.7,3.5,4.5,32.0,30.0,33.0,31.0
2,22,-14.0,223.0,664.0,390.0,4.7,3.8,4.2,4.7,32.0,30.0,33.0,31.0
3,23,0.0,106.0,696.0,378.0,4.6,4.3,4.0,4.7,32.0,30.0,34.0,31.0
4,24,0.0,46.0,704.0,420.0,4.6,4.4,3.9,4.6,32.0,30.0,34.0,31.0
5,25,0.0,32.0,540.0,361.0,4.7,4.8,4.4,4.9,32.0,30.0,35.0,31.0
6,26,0.0,98.0,543.0,402.0,4.6,4.8,4.6,4.7,32.0,30.0,35.0,32.0
7,27,0.0,129.0,556.0,433.0,4.7,4.7,4.3,4.7,32.0,30.0,35.0,32.0
8,28,0.0,294.0,550.0,464.0,4.7,3.8,3.9,4.7,32.0,30.0,35.0,32.0
9,29,0.0,393.0,570.0,393.0,5.0,3.9,3.8,4.7,32.0,30.0,36.0,32.0
10,30,0.0,285.0,540.0,432.0,5.0,4.1,4.1,5.0,32.0,30.0,36.0,32.0
