step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,639,1288,5288,1308,11166,1289,5288,1308,11167,-1,0,0,-1,0.0,4.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.09727735817432404,0.16005972027778625,-0.753327488899231,-0.8825545310974121
2,640,1352,5142,1327,11261,1352,5141,1326,11262,0,1,1,-1,0.0,12.0,15.0,0.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.4280208647251129,-0.9767836928367615,0.1274309754371643,0.6342381238937378
3,641,1306,5270,1313,11248,1307,5271,1313,11250,-1,-1,0,-2,0.0,0.0,0.0,-11.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,-0.30813536047935486,0.8563340306282043,-0.49835771322250366,-0.46664103865623474
4,642,1400,5209,1325,11218,1398,5209,1324,11219,2,0,1,-1,13.0,0.0,16.0,0.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,0.6273447275161743,-0.4083435833454132,0.08571711927652359,-0.20542369782924652
5,643,1266,5303,1302,11192,1266,5304,1302,11193,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,26.0,25.0,24.0,-0.8991715312004089,0.6314230561256409,-0.7989162802696228,-0.8787610530853271
6,644,1410,5247,1287,11176,1407,5245,1286,11178,3,2,1,-2,13.0,12.0,15.0,-12.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,0.9640504717826843,-0.37366604804992676,-0.5034940242767334,-0.5588431358337402
7,645,1278,5336,1259,11149,1278,5337,1259,11150,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,-0.8859896063804626,0.595072865486145,-0.9498788118362427,-0.9300020933151245
8,646,1273,5313,1242,11125,1273,5314,1242,11126,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,-0.19649501144886017,-0.7987614274024963,-0.5921374559402466,-0.8023461103439331
9,647,1379,5217,1280,11002,1379,5217,1279,11002,0,0,1,0,0.0,0.0,16.0,3.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,0.712556004524231,-0.6442987322807312,0.2545475363731384,-0.8232551217079163
10,648,1356,5191,1274,10974,1356,5192,1274,10974,0,-1,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,-0.770211935043335,-0.8991987109184265,-0.229750394821167,-0.9666463136672974
11,649,1344,5184,1419,10986,1344,5184,1419,10986,0,0,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,25.0,24.0,-0.4274899363517761,-0.2489532232284546,0.9722962975502014,0.08576349169015884
12,650,1489,5332,1418,10960,1432,5272,1416,10960,57,60,2,0,40.0,40.0,16.0,0.0,5.2,5.2,5.1,5.2,29.0,25.0,25.0,24.0,0.9695992469787598,0.9929044246673584,-0.055428046733140945,-0.8844537734985352
