episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
41,1.0998976,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0001024,0,42,FALSE,
42,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,15,FALSE,
43,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,18,FALSE,
44,1.099619135,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000380865,0,94,FALSE,
45,1.099705306,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000294694,0,14,FALSE,
46,0.599972539,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.75E-05,0,16,FALSE,
47,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,14,FALSE,
48,0.599979592,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.04E-05,0,13,FALSE,
49,1.09973551,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00026449,0,77,FALSE,
50,1.099962253,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.77E-05,0,109,FALSE,
51,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,126,FALSE,
52,0.599341584,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000658416,0,16,FALSE,
53,1.093735706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006264294,0,423,FALSE,
54,1.093792784,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006207216,0,18,FALSE,
55,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,15,FALSE,
56,1.099378155,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000621845,0,138,FALSE,
57,1.099265306,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000734694,0,12,FALSE,
58,1.098573682,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001426318,0,197,FALSE,
59,1.099404898,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000595102,0,62,FALSE,
60,1.099811396,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000188604,0,18,FALSE,
61,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,17,FALSE,
62,0.599976196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.38E-05,0,16,FALSE,
63,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,20,FALSE,
64,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,13,FALSE,
65,1.099977927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.21E-05,0,15,FALSE,
66,1.09996,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,4.00E-05,0,21,FALSE,
67,1.099962253,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.77E-05,0,13,FALSE,
68,0.5999744,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.56E-05,0,15,FALSE,
69,1.099992653,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,7.35E-06,0,16,FALSE,
70,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,17,FALSE,
71,0.599970612,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.94E-05,0,13,FALSE,
72,1.09936911,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00063089,0,126,FALSE,
73,1.0995904,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0004096,0,49,FALSE,
74,1.099866253,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000133747,0,15,FALSE,
75,1.097002155,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002997845,0,288,FALSE,
76,1.097494563,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002505437,0,15,FALSE,
77,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,21,FALSE,
78,1.0999936,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,6.40E-06,0,28,FALSE,
79,1.0944304,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0055696,0,413,FALSE,
80,0.598796278,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.001203722,0,411,FALSE,
81,1.094129763,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.005870237,0,13,FALSE,
82,0.599996049,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,3.95E-06,0,16,FALSE,
83,1.099982727,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.73E-05,0,15,FALSE,
84,0.5999744,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.56E-05,0,16,FALSE,
85,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,14,FALSE,
86,1.099979592,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.04E-05,0,21,FALSE,
87,1.099962253,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.77E-05,0,13,FALSE,
88,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,15,FALSE,
89,1.096180767,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003819233,0,354,FALSE,
90,1.0963136,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0036864,0,73,FALSE,
91,1.098518563,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001481437,0,231,FALSE,
92,0.598055967,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.001944033,0,13,FALSE,
93,1.097253878,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002746122,0,277,FALSE,
94,1.0976896,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0023104,0,13,FALSE,
95,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,16,FALSE,
96,1.097843298,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002156702,0,243,FALSE,
97,1.098242482,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001757518,0,13,FALSE,
98,1.099999706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-07,0,14,FALSE,
99,0.5999744,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.56E-05,0,15,FALSE,
100,1.095721012,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004278988,0,374,FALSE,
101,1.095109584,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.004890416,0,14,FALSE,
102,1.0949824,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0050176,0,378,FALSE,
103,0.5949824,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.0050176,0,14,FALSE,
104,0.599977927,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.21E-05,0,14,FALSE,
105,1.094827624,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.005172376,0,409,FALSE,
106,1.09424,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00576,0,14,FALSE,
107,1.099982727,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.73E-05,0,14,FALSE,
108,1.0984624,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0015376,0,229,FALSE,
109,1.098087706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001912294,0,14,FALSE,
110,1.099999706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-07,0,15,FALSE,
