episode,actor_loss,critic_loss,entropy,buffer_size
1,-0.004843159740789815,64.97498321533203,5.67844591140747,300
2,-0.003656610409507266,54.399201202392575,5.684475517272949,74
5,-0.0014987307777801107,81.25473403930664,5.688728332519531,347
6,-0.005175720283068586,53.50142555236816,5.687262010574341,300
7,-0.0042023507171279565,87.73624725341797,5.684685754776001,300
8,0.0011481378071493964,209.90090789794922,5.683300495147705,235
10,-0.02018583368644613,97.3922737121582,5.683106899261475,60
16,-0.010589307955888217,115.87314987182617,5.682216930389404,66
16,0.004740471003879065,104.30339126586914,5.682063865661621,300
17,-0.0006894671220834426,96.41401062011718,5.680754566192627,300
18,-0.001340030049550478,104.70343017578125,5.680587673187256,180
19,0.0017501548623386042,90.62085571289063,5.681686019897461,300
20,0.00047772138598247695,96.17509841918945,5.681856346130371,300
21,-0.0036962473558560306,96.07414474487305,5.68384952545166,300
22,-0.00272128355481982,178.0271453857422,5.683031940460205,292
27,-0.012037207760931779,85.27849426269532,5.6795111179351805,141
1,-0.00288174287397851,51.17944107055664,5.675761461257935,91
1,-0.001990113623048728,24.562849617004396,5.681157732009888,300
3,-0.004496686049492382,54.214595794677734,5.690902471542358,250
1,-0.0029039319804866183,61.33690147399902,5.678361654281616,300
2,-0.003985216217961352,8.120403861999511,5.682943487167359,300
3,-0.002203929950712791,35.529862594604495,5.686668157577515,300
4,0.0021573213722263064,87.2641815185547,5.6895068168640135,300
5,-0.0006233952935616571,82.11052627563477,5.6923058986663815,300
6,-0.006932870751279551,22.008052635192872,5.693455791473388,136
8,0.004777137220764871,78.98707504272461,5.692147970199585,71
12,-0.0012377174478388042,276.0549377441406,5.692167949676514,309
13,6.46740524643974e-05,268.03582153320315,5.69211974143982,67
15,0.0011940754326133173,198.79634704589844,5.68732647895813,78
19,-0.0003236180365092878,83.14678039550782,5.681990432739258,63
21,0.008209832680040562,103.99377365112305,5.679787588119507,66
