timestamp,action_count,action_m16,action_m17,action_m18,action_m19,delta_m16,delta_m17,delta_m18,delta_m19,target_before_m16,target_before_m17,target_before_m18,target_before_m19,target_after_m16,target_after_m17,target_after_m18,target_after_m19,position_m16,position_m17,position_m18,position_m19,current_m16_mA,current_m17_mA,current_m18_mA,current_m19_mA,voltage_m16_V,voltage_m17_V,voltage_m18_V,voltage_m19_V,temperature_m16_C,temperature_m17_C,temperature_m18_C,temperature_m19_C,pwm_m16,pwm_m17,pwm_m18,pwm_m19,velocity_m16,velocity_m17,velocity_m18,velocity_m19,hardware_status_m16,hardware_status_m17,hardware_status_m18,hardware_status_m19,packet_error_m16,packet_error_m17,packet_error_m18,packet_error_m19,success,hardware_error,hardware_error_ids,error_message
2026-08-27T11:18:54.097291,1,0.5387434959411621,0.8580971956253052,0.32313990592956543,-0.5570290684700012,80,128,48,-83,4862,1943,5630,-1405,4942,2071,5678,-1488,4890,1995,5678,-1489,34,53,0,14,5.2,5.1000000000000005,5.2,5.2,36,37,25,30,79,120,0,3,1,1,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:18:56.305204,2,0.478246808052063,-0.4343728721141815,-0.8679429292678833,0.4991554021835327,71,-65,-130,74,4942,2071,5678,-1488,5013,2006,5548,-1414,4912,1991,5548,-1431,77,17,0,18,5.2,5.2,5.2,5.0,36,37,25,30,151,28,0,28,1,0,0,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:18:58.497073,3,0.599128246307373,0.52045738697052,-0.11775700747966766,-0.07233686745166779,89,78,-17,-10,5013,2006,5548,-1414,5102,2084,5531,-1424,4954,1986,5531,-1432,128,75,0,16,5.1000000000000005,5.2,5.1000000000000005,5.0,36,37,25,30,220,156,0,14,1,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:00.704974,4,0.7573919892311096,-0.36403968930244446,-0.026198768988251686,-0.09889598190784454,113,-54,-3,-14,5102,2084,5531,-1424,5215,2030,5528,-1438,4996,1973,5528,-1438,249,39,0,15,4.6000000000000005,5.2,5.1000000000000005,5.2,36,37,25,30,331,90,0,1,2,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:02.912884,5,-0.7127585411071777,0.3892277777194977,-0.09481926262378693,-0.011699782684445381,-106,58,-14,-1,5215,2030,5528,-1438,5109,2088,5514,-1439,5004,1972,5514,-1439,86,95,0,7,5.2,5.0,5.0,5.2,36,37,25,29,164,182,0,1,0,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:05.120835,6,0.026277393102645874,0.4155235290527344,-0.0525343120098114,-0.10101622343063354,3,62,-7,-15,5109,2088,5514,-1439,5112,2150,5507,-1454,5004,1972,5507,-1454,88,186,0,14,5.2,5.0,4.9,5.1000000000000005,36,37,25,29,168,281,0,1,1,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:07.328686,7,0.019535696133971214,-0.284183531999588,-0.11853945255279541,-0.013975759036839008,2,-42,-17,-2,5112,2150,5507,-1454,5114,2108,5490,-1456,5004,1972,5491,-1455,91,119,0,0,5.2,5.1000000000000005,5.1000000000000005,5.2,36,37,25,29,171,214,0,0,1,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:09.536586,8,0.8612743616104126,-0.5627403259277344,0.05176156386733055,0.7431735396385193,129,-84,7,111,5114,2108,5490,-1456,5243,2024,5497,-1345,5004,1970,5497,-1378,312,33,11,26,5.1000000000000005,5.2,5.1000000000000005,5.1000000000000005,36,37,25,29,373,84,0,51,1,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:11.744493,9,-0.5798995494842529,-0.46505939960479736,0.9421979784965515,0.01618933491408825,-86,-69,141,2,5243,2024,5497,-1345,5157,1955,5638,-1343,5010,1918,5637,-1373,109,26,15,23,5.1000000000000005,5.1000000000000005,5.2,5.2,36,37,25,29,189,57,4,46,1,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:13.952395,10,0.370810329914093,-0.8818153738975525,0.5039939284324646,0.747450053691864,55,-132,75,112,5157,1955,5638,-1343,5212,1823,5713,-1231,5089,1791,5699,-1311,38,23,47,58,5.2,5.2,5.2,5.2,36,37,25,29,100,51,64,125,5,0,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:16.144342,11,-0.6964040398597717,-0.9739657640457153,0.5467637777328491,0.6104347705841064,-104,-146,82,91,5212,1823,5713,-1231,5108,1677,5795,-1140,5126,1663,5770,-1285,-13,16,93,142,5.1000000000000005,5.1000000000000005,5.0,5.0,36,37,25,29,0,23,111,228,-1,0,0,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:18.352202,12,-0.27568891644477844,0.05093827471137047,0.9332554936408997,-0.1447511911392212,-41,7,139,-21,5108,1677,5795,-1140,5067,1684,5934,-1161,5084,1656,5878,-1291,-14,22,277,117,5.1000000000000005,5.0,4.5,5.2,36,37,25,29,0,45,244,204,-2,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:20.560104,13,-0.07686750590801239,-0.35298871994018555,0.7585212588310242,-0.6724289655685425,-11,-52,113,-100,5067,1684,5934,-1161,5056,1632,6047,-1261,5061,1601,5993,-1363,-13,22,260,81,5.1000000000000005,5.0,4.9,5.2,36,37,25,29,0,50,232,159,0,1,1,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:22.768012,14,-0.08475489914417267,-0.032137878239154816,-0.9236443042755127,-0.9359089732170105,-12,-4,-138,-140,5056,1632,6047,-1261,5044,1628,5909,-1401,5048,1619,5908,-1406,-13,15,16,15,5.2,5.2,5.2,5.2,36,37,25,29,0,14,8,7,0,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:24.975910,15,0.7973905801773071,0.8928496837615967,-0.5004909038543701,0.6419661045074463,119,133,-75,96,5044,1628,5909,-1401,5163,1761,5834,-1305,5111,1725,5830,-1355,10,25,20,33,5.2,5.2,5.2,5.2,36,37,25,29,17,56,21,78,3,0,0,1,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:27.183822,16,0.15730813145637512,-0.9352413415908813,-0.47991761565208435,-0.21381501853466034,23,-140,-71,-32,5163,1761,5834,-1305,5186,1621,5763,-1337,5169,1621,5764,-1341,14,0,0,15,5.2,5.2,5.2,5.2,36,37,25,29,3,0,0,6,3,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:29.391707,17,-0.08816202729940414,-0.13303670287132263,0.8975917100906372,-0.9030728936195374,-13,-19,134,-135,5186,1621,5763,-1337,5173,1602,5897,-1472,5180,1604,5897,-1471,-14,-7,14,0,5.2,5.2,5.2,5.2,36,37,25,29,0,-2,4,0,0,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:31.599617,18,0.9154574871063232,-0.4420364499092102,0.9962469935417175,-0.9710235595703125,137,-66,149,-145,5173,1602,5897,-1472,5310,1536,6046,-1617,5252,1536,6046,-1617,10,0,0,0,5.2,5.2,5.2,5.2,35,36,25,29,4,1,0,0,14,0,1,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:33.807661,19,-0.22299917042255402,0.7225630283355713,-0.1942925751209259,-0.04042167216539383,-33,108,-29,-6,5310,1536,6046,-1617,5277,1644,6017,-1623,5286,1620,6017,-1623,-12,19,0,0,5.2,5.2,5.2,5.2,35,36,25,29,6,37,0,0,0,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:36.015447,20,-0.08669547736644745,0.6769314408302307,0.8326238989830017,-0.12111861258745193,-13,101,124,-18,5277,1644,6017,-1623,5264,1745,6141,-1641,5260,1671,6132,-1649,14,51,34,15,5.2,5.2,5.1000000000000005,5.2,35,36,25,29,9,115,47,12,0,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-27T11:19:38.223337,21,0.770835280418396,0.4506375193595886,-0.7525830268859863,-0.29507187008857727,115,67,-112,-44,5264,1745,6141,-1641,5379,1812,6029,-1685,5280,1692,6029,-1686,78,98,0,13,5.2,5.2,5.1000000000000005,5.2,35,36,25,29,153,187,0,1,1,1,0,0,0,0,0,0,,,,,True,False,,
