step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,536,2416,4670,822,11761,2288,4561,812,11761,128,109,10,0,115.0,86.0,31.0,10.0,5.0,5.1,5.1,5.1,30.0,26.0,24.0,24.0,0.9334597587585449,0.7824662923812866,0.4412103593349457,-0.8164485692977905
2,537,2393,4790,696,11813,2287,4624,691,11813,106,166,5,0,87.0,165.0,20.0,0.0,5.2,5.0,5.1,5.0,30.0,26.0,24.0,24.0,-0.15525683760643005,0.8005803227424622,-0.8422262668609619,0.35290583968162537
3,538,2431,4800,667,11804,2287,4625,664,11807,144,175,3,-3,138.0,181.0,17.0,-12.0,4.9,4.8,4.9,5.1,30.0,26.0,24.0,24.0,0.25982657074928284,0.0701155886054039,-0.9910995960235596,-0.331422358751297
4,539,2301,4848,713,11664,2248,4667,704,11665,53,181,9,-1,35.0,189.0,30.0,0.0,5.1,5.1,5.1,5.2,31.0,26.0,24.0,24.0,-0.8672463893890381,0.32489535212516785,0.30913349986076355,-0.9372262954711914
