step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,918,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
2,919,26.0,13.0,5.0,15.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
3,920,14.0,41.0,48.0,37.0,5.2,5.1,5.1,5.2,38.0,37.0,30.0,29.0
4,921,13.0,80.0,157.0,192.0,4.8,5.0,4.9,5.2,38.0,37.0,30.0,29.0
5,922,0.0,32.0,35.0,114.0,5.2,5.1,5.2,5.2,38.0,37.0,30.0,29.0
6,923,19.0,21.0,266.0,286.0,5.0,5.0,4.6,4.8,38.0,37.0,30.0,29.0
7,924,16.0,18.0,77.0,404.0,4.7,5.0,5.0,4.9,38.0,36.0,30.0,29.0
8,925,0.0,32.0,48.0,212.0,5.2,5.2,5.1,4.9,37.0,36.0,30.0,29.0
9,926,18.0,102.0,136.0,443.0,4.9,4.8,4.9,5.1,37.0,36.0,30.0,30.0
10,927,84.0,26.0,18.0,82.0,5.1,5.2,5.1,5.2,37.0,36.0,30.0,30.0
11,928,16.0,18.0,26.0,182.0,5.0,5.2,5.2,5.0,37.0,36.0,30.0,30.0
