step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,636,13.0,1.0,0.0,-12.0,5.2,5.2,5.2,5.2,44.0,38.0,36.0,32.0
2,637,0.0,0.0,16.0,0.0,5.2,5.2,5.2,5.3,44.0,38.0,36.0,32.0
3,638,0.0,10.0,16.0,-11.0,5.2,5.2,5.2,5.2,44.0,37.0,36.0,32.0
4,639,0.0,13.0,16.0,19.0,5.2,5.2,5.2,5.2,44.0,37.0,36.0,32.0
5,640,13.0,9.0,18.0,14.0,5.2,5.2,5.2,5.2,44.0,37.0,35.0,32.0
6,641,-7.0,0.0,0.0,7.0,5.2,5.2,5.2,5.2,44.0,37.0,35.0,32.0
7,642,0.0,0.0,0.0,12.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
8,643,0.0,0.0,16.0,12.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
9,644,0.0,0.0,0.0,-12.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
10,645,0.0,0.0,15.0,12.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
11,646,0.0,12.0,27.0,33.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
12,647,-13.0,2.0,0.0,-5.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
13,648,0.0,-4.0,0.0,-11.0,5.2,5.2,5.2,5.3,43.0,37.0,35.0,32.0
14,649,0.0,-3.0,0.0,-11.0,5.2,5.2,5.2,5.3,43.0,37.0,35.0,32.0
15,650,0.0,10.0,0.0,-12.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
16,651,12.0,14.0,20.0,29.0,5.2,5.2,5.2,5.2,43.0,37.0,35.0,32.0
17,652,16.0,23.0,30.0,15.0,5.2,5.1,5.2,5.2,43.0,37.0,35.0,32.0
18,653,68.0,101.0,16.0,24.0,5.2,5.2,5.1,5.2,43.0,37.0,35.0,32.0
19,654,33.0,154.0,16.0,25.0,5.2,5.0,5.1,5.1,43.0,37.0,35.0,32.0
20,655,168.0,142.0,-1.0,13.0,5.1,5.1,5.1,5.1,43.0,37.0,35.0,32.0
21,656,115.0,330.0,0.0,19.0,5.0,5.0,4.7,5.1,43.0,37.0,35.0,32.0
22,657,44.0,562.0,-3.0,33.0,5.1,4.6,4.5,5.1,43.0,37.0,34.0,32.0
23,658,119.0,568.0,-2.0,13.0,5.0,4.6,4.7,5.1,43.0,37.0,34.0,32.0
24,659,99.0,378.0,0.0,12.0,5.1,4.7,4.7,5.1,42.0,37.0,34.0,32.0
25,660,37.0,168.0,0.0,12.0,5.2,5.0,5.0,5.2,42.0,37.0,34.0,32.0
26,661,149.0,309.0,0.0,13.0,4.9,4.7,5.0,4.9,42.0,37.0,34.0,32.0
