step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,5687,14637,-7398,31612,2480,14573,-7416,31612,2478,64,18,0,2,44.0,16.0,0.0,14.0,5.1,5.2,5.2,5.2,29.0,25.0,22.0,23.0,0.9455127716064453,-0.28105413913726807,-0.9529522061347961,0.02349504455924034
2,5688,14530,-7537,31612,2473,14530,-7537,31612,2474,0,0,0,-1,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.7172833681106567,-0.9302045106887817,-0.0031190712470561266,-0.25021737813949585
3,5689,14504,-7543,31758,2342,14504,-7542,31758,2343,0,-1,0,-1,0.0,-12.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,-0.8762168288230896,-0.21627628803253174,0.9795479774475098,-0.8799579739570618
4,5690,14630,-7433,31861,2348,14603,-7463,31861,2347,27,30,0,1,19.0,20.0,1.0,14.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,0.8406006097793579,0.7333368062973022,0.6892197132110596,0.04570966958999634
5,5691,14616,-7554,31844,2332,14615,-7555,31844,2333,1,1,0,-1,12.0,12.0,0.0,-15.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.09910310804843903,-0.8132421374320984,-0.5762477517127991,-0.5376744866371155
6,5692,14732,-7509,31735,2390,14690,-7541,31736,2389,42,32,-1,1,29.0,20.0,0.0,13.0,5.1,5.2,5.2,5.2,29.0,25.0,23.0,23.0,0.7755565643310547,0.305585652589798,-0.7330904006958008,0.38799911737442017
7,5693,14874,-7628,31735,2381,14810,-7652,31736,2382,64,24,-1,-1,45.0,18.0,0.0,-15.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,0.9522315263748169,-0.7951550483703613,-0.030035682022571564,-0.3106856644153595
8,5694,14758,-7528,31633,2519,14746,-7589,31633,2519,12,61,0,0,16.0,39.0,0.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.7758505344390869,0.6695181727409363,-0.6803306341171265,0.9215657711029053
9,5695,14901,-7645,31764,2394,14831,-7669,31764,2394,70,24,0,0,50.0,18.0,0.0,0.0,5.2,5.2,5.2,5.1,29.0,25.0,22.0,23.0,0.9591597318649292,-0.7861802577972412,0.8774523735046387,-0.836068332195282
10,5696,14781,-7645,31740,2365,14780,-7656,31741,2367,1,11,-1,-2,12.0,15.0,0.0,-15.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,-0.8031450510025024,-0.0020506056025624275,-0.813386082649231,-0.9962025880813599
11,5697,14660,-7617,31662,2383,14661,-7618,31662,2382,-1,1,0,1,0.0,12.0,0.0,14.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.812346339225769,0.1897742748260498,-0.5215404033660889,0.12041878700256348
12,5698,14712,-7761,31636,2368,14712,-7761,31636,2369,0,0,0,-1,12.0,0.0,0.0,-15.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,0.35150742530822754,-0.9632880687713623,-0.8800169229507446,-0.5051730275154114
13,5699,14677,-7626,31714,2337,14678,-7626,31715,2338,-1,0,-1,-1,0.0,12.0,0.0,-15.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.23688611388206482,0.9009398818016052,0.5209478735923767,-0.20918217301368713
14,5700,14821,-7492,31836,2464,14749,-7570,31836,2464,72,78,0,0,62.0,53.0,0.0,0.0,5.1,5.2,5.2,5.2,29.0,25.0,22.0,23.0,0.9625102281570435,0.8999680876731873,0.8179425597190857,0.8523510098457336
15,5701,14969,-7626,31759,2529,14857,-7670,31759,2528,112,44,0,1,95.0,28.0,0.0,15.0,5.1,5.2,5.2,5.0,29.0,25.0,22.0,23.0,0.9870573282241821,-0.8950573205947876,-0.5165203809738159,0.4383682608604431
16,5702,14940,-7595,31828,2630,14857,-7670,31828,2631,83,75,0,-1,62.0,53.0,15.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.1983567178249359,0.21002309024333954,0.4630056917667389,0.6758099794387817
17,5703,14889,-7726,31901,2638,14874,-7730,31900,2638,15,4,1,0,16.0,13.0,15.0,14.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,-0.34436261653900146,-0.8746474385261536,0.4891812801361084,0.0563884899020195
18,5704,14976,-7606,31980,2605,14890,-7706,31979,2607,86,100,1,-2,65.0,78.0,15.0,-15.0,5.1,5.1,5.1,5.2,29.0,25.0,22.0,23.0,0.5808510780334473,0.803329586982727,0.5300642251968384,-0.22401681542396545
19,5705,14864,-7583,32115,2652,14847,-7667,32116,2653,17,84,-1,-1,17.0,60.0,6.0,0.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.752779483795166,0.1542981117963791,0.9023258686065674,0.3172716498374939
20,5706,14937,-7722,32129,2515,14896,-7733,32129,2514,41,11,0,1,29.0,14.0,16.0,15.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,0.48800256848335266,-0.9278120398521423,0.0984695702791214,-0.9137941002845764
21,5707,14792,-7765,31993,2376,14792,-7764,31993,2376,0,-1,0,0,8.0,-13.0,0.0,10.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,-0.9669037461280823,-0.29071369767189026,-0.9125033020973206,-0.9274448752403259
22,5708,14772,-7773,32012,2280,14772,-7772,32011,2279,0,-1,1,1,0.0,-12.0,16.0,8.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.6898982524871826,-0.29015403985977173,0.12764669954776764,-0.6433077454566956
23,5709,14762,-7797,31903,2291,14763,-7797,31903,2290,-1,0,0,1,-13.0,0.0,0.0,14.0,5.2,5.2,5.2,5.2,29.0,25.0,22.0,23.0,-0.3552992343902588,-0.8276001214981079,-0.7292376756668091,0.07692115753889084
24,5710,14862,-7864,31882,2281,14862,-7864,31882,2282,0,0,0,-1,0.0,0.0,-1.0,-14.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,23.0,0.6706075668334961,-0.4507433772087097,-0.7047019600868225,-0.3474242389202118
