step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,3246,-4217,10315,-9938,-1397,-4236,10201,-9937,-1430,19,114,-1,33,17.0,90.0,0.0,20.0,5.1,5.2,5.1,5.2,42.0,39.0,23.0,30.0,-0.7818135619163513,0.5124132037162781,-0.9529861807823181,-0.046324022114276886
2,3247,-4157,10172,-9953,-1413,-4207,10157,-9952,-1429,50,15,-1,16,32.0,15.0,0.0,14.0,5.1,5.2,5.2,5.2,42.0,39.0,22.0,30.0,0.4027901887893677,-0.9556835293769836,-0.5058994293212891,-0.5360350012779236
3,3248,-4193,10300,-9949,-1528,-4208,10189,-9948,-1531,15,111,-1,3,16.0,85.0,0.0,11.0,5.2,5.1,5.0,5.2,42.0,39.0,22.0,30.0,-0.24221555888652802,0.8561850786209106,0.027022307738661766,-0.7696516513824463
4,3249,-4330,10322,-9975,-1528,-4338,10274,-9974,-1531,8,48,-1,3,15.0,31.0,0.0,11.0,5.2,5.2,5.2,5.2,41.0,39.0,23.0,30.0,-0.9153758883476257,0.15108135342597961,-0.8811684846878052,-0.03159226104617119
5,3250,-4233,10268,-10087,-1516,-4298,10251,-10086,-1530,65,17,-1,14,44.0,16.0,0.0,14.0,5.1,5.2,5.2,5.2,41.0,39.0,22.0,30.0,0.651658296585083,-0.3636623024940491,-0.7530821561813354,0.08070190995931625
6,3251,-4299,10301,-10113,-1527,-4303,10252,-10113,-1530,4,49,0,3,13.0,31.0,0.0,11.0,5.2,5.2,5.2,5.2,41.0,39.0,23.0,30.0,-0.4408824145793915,0.2244071662425995,-0.8992657661437988,-0.388830304145813
7,3252,-4256,10254,-10118,-1421,-4303,10237,-10118,-1447,47,17,0,26,31.0,16.0,0.0,18.0,5.2,5.2,5.2,5.2,41.0,39.0,22.0,30.0,0.2874288558959961,-0.3184961974620819,-0.03976592421531677,0.7095404267311096
8,3253,-4256,10299,-9985,-1366,-4303,10236,-9985,-1405,47,63,0,39,32.0,40.0,0.0,25.0,5.1,5.2,5.2,5.2,41.0,38.0,23.0,30.0,0.0002130270004272461,0.3054879605770111,0.8873586058616638,0.3687841594219208
9,3254,-4121,10257,-9993,-1391,-4246,10209,-9992,-1405,125,48,-1,14,110.0,30.0,0.0,14.0,5.0,5.2,5.2,5.2,41.0,38.0,22.0,30.0,0.9059556126594543,-0.28577721118927,-0.2913132607936859,-0.839606761932373
10,3255,-3995,10147,-9946,-1500,-4093,10105,-9945,-1504,98,42,-1,4,75.0,27.0,0.0,12.0,5.2,5.2,5.2,5.2,41.0,38.0,22.0,29.0,0.8454385995864868,-0.7390140295028687,0.3182031810283661,-0.7333123683929443
11,3256,-3859,10294,-10029,-1457,-4053,10107,-10028,-1497,194,187,-1,40,213.0,190.0,0.0,25.0,5.0,5.0,4.8,4.7,41.0,38.0,22.0,29.0,0.9067701101303101,0.9861356019973755,-0.5553605556488037,0.29289066791534424
12,3257,-3790,10429,-10148,-1314,-4054,10109,-10148,-1391,264,320,0,77,334.0,447.0,0.0,47.0,4.3,4.8,4.9,4.8,41.0,38.0,22.0,29.0,0.9504823684692383,0.9061362743377686,-0.7959719300270081,0.956416130065918
13,3258,-3715,10307,-10116,-1399,-4054,10109,-10117,-1405,339,198,1,6,493.0,206.0,15.0,14.0,4.6,4.8,4.8,4.6,41.0,38.0,22.0,29.0,0.6864663362503052,-0.8189945220947266,0.2168528437614441,-0.572902262210846
14,3259,-3794,10399,-10143,-1419,-4053,10109,-10143,-1424,259,290,0,5,324.0,378.0,0.0,13.0,4.4,4.6,4.8,4.9,42.0,39.0,22.0,29.0,-0.528204083442688,0.6272196173667908,-0.9197413921356201,-0.6881074905395508
15,3260,-3728,10433,-10172,-1440,-4053,10109,-10172,-1443,325,324,0,3,452.0,444.0,0.0,13.0,4.6,4.5,4.5,4.7,42.0,39.0,22.0,29.0,0.5887870788574219,0.7131021022796631,-0.9870096445083618,-0.7035316228866577
16,3261,-3803,10358,-10283,-1377,-4053,10109,-10281,-1434,250,249,-2,57,300.0,292.0,-12.0,34.0,4.4,4.7,5.0,4.8,42.0,39.0,22.0,29.0,-0.03009706549346447,0.05806279927492142,-0.7451585531234741,0.42497390508651733
17,3262,-3903,10306,-10361,-1409,-4053,10109,-10361,-1434,150,197,0,25,136.0,203.0,0.0,21.0,4.9,5.1,5.1,5.1,42.0,39.0,22.0,29.0,-0.6684818267822266,-0.35090354084968567,-0.520065188407898,-0.2161206156015396
18,3263,-3855,10385,-10255,-1486,-4052,10110,-10254,-1490,197,275,-1,4,209.0,342.0,0.0,12.0,5.0,5.0,5.0,4.9,42.0,39.0,22.0,29.0,0.6492332220077515,0.5327423214912415,0.7108269929885864,-0.5180249810218811
19,3264,-3775,10409,-10375,-1388,-4053,10110,-10375,-1444,278,299,0,56,353.0,388.0,-1.0,35.0,4.3,4.9,4.9,5.0,42.0,39.0,22.0,29.0,0.5462173223495483,0.22654595971107483,-0.8066025376319885,0.6544867753982544
20,3265,-3715,10450,-10479,-1256,-4054,10108,-10478,-1346,339,342,-1,90,470.0,470.0,0.0,61.0,4.2,4.5,4.8,4.7,42.0,39.0,22.0,29.0,0.5830274820327759,0.881168007850647,-0.6981710195541382,0.8842743635177612
21,3266,-3790,10375,-10597,-1178,-4055,10106,-10596,-1283,265,269,-1,105,319.0,322.0,0.0,76.0,4.3,5.0,4.6,4.7,42.0,39.0,22.0,29.0,0.5825290679931641,0.005811089649796486,-0.7911704182624817,0.5246709585189819
22,3267,-3894,10417,-10695,-1259,-4055,10106,-10695,-1283,161,311,0,24,149.0,408.0,0.0,17.0,4.9,4.7,4.9,5.1,43.0,40.0,22.0,29.0,-0.6954065561294556,0.37515971064567566,-0.6538878679275513,-0.5422536730766296
23,3268,-3747,10277,-10695,-1280,-4056,10106,-10695,-1292,309,171,0,12,415.0,155.0,0.0,14.0,4.7,5.0,4.9,4.7,43.0,40.0,22.0,29.0,0.9828014969825745,-0.9361439943313599,-0.01205826923251152,-0.7138692140579224
24,3269,-3677,10150,-10710,-1305,-3999,10068,-10710,-1313,322,82,0,8,440.0,52.0,0.0,13.0,4.3,5.1,5.1,4.6,43.0,39.0,22.0,29.0,0.8025522828102112,-0.8468644618988037,-0.5098521709442139,-0.8524205684661865
25,3270,-3671,10290,-10735,-1329,-3999,10068,-10735,-1337,328,222,0,8,444.0,238.0,-1.0,13.0,4.6,5.0,4.8,4.4,43.0,39.0,22.0,29.0,0.04518304020166397,0.933539628982544,-0.8530243635177612,-0.8219538331031799
26,3271,-3818,10324,-10877,-1199,-3999,10068,-10877,-1290,181,256,0,91,172.0,303.0,0.0,63.0,5.0,4.7,4.6,4.8,43.0,39.0,22.0,29.0,-0.9825649857521057,0.25158926844596863,-0.9532483816146851,0.8720205426216125
27,3272,-3898,10297,-10787,-1260,-3999,10068,-10787,-1290,101,229,0,30,73.0,251.0,0.0,20.0,5.0,5.1,5.1,5.1,43.0,39.0,22.0,29.0,-0.5348196029663086,-0.18091723322868347,0.6056702136993408,-0.4111816883087158
28,3273,-4007,10193,-10740,-1267,-4053,10070,-10740,-1288,46,123,0,21,28.0,92.0,0.0,16.0,5.2,5.1,5.0,5.2,43.0,39.0,22.0,29.0,-0.733304500579834,-0.6993070840835571,0.3176518678665161,-0.05091811344027519
29,3274,-4093,10106,-10767,-1293,-4107,10073,-10767,-1295,14,33,0,2,15.0,23.0,0.0,11.0,5.2,5.2,5.2,5.2,43.0,39.0,22.0,29.0,-0.5763599872589111,-0.5838338136672974,-0.916364312171936,-0.8992676734924316
30,3275,-4206,10141,-10668,-1322,-4210,10117,-10667,-1323,4,24,-1,1,13.0,18.0,0.0,11.0,5.2,5.2,5.2,5.2,43.0,39.0,22.0,29.0,-0.7556549906730652,0.23792695999145508,0.6637023687362671,-0.19495506584644318
31,3276,-4298,10072,-10670,-1330,-4298,10073,-10669,-1329,0,-1,-1,-1,12.0,0.0,0.0,-12.0,5.2,5.2,5.2,5.2,43.0,39.0,22.0,29.0,-0.6140595078468323,-0.46220916509628296,-0.08485962450504303,-0.2761860489845276
