step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,402,3069,-8681,7506,-642,3002,-8683,7419,-843,67,2,87,201,43.0,16.0,431.0,189.0,5.0,4.4,4.8,4.9,25.0,24.0,55.0,44.0,0.13042758405208588,-0.8579047322273254,0.13849787414073944,0.2137862592935562
2,403,2962,-8628,7513,-542,2955,-8630,7420,-843,7,2,93,301,14.0,17.0,462.0,362.0,4.5,4.4,4.5,4.8,25.0,24.0,55.0,44.0,-0.7177626490592957,0.3590819239616394,0.6097375154495239,0.6677206158638
3,404,2998,-8777,7522,-479,2956,-8777,7420,-843,42,0,102,364,25.0,0.0,513.0,484.0,4.7,4.3,4.3,4.5,25.0,24.0,55.0,44.0,0.24595074355602264,-0.9970855116844177,0.761360228061676,0.8961272239685059
4,405,3129,-8747,7511,-554,3066,-8752,7419,-844,63,5,92,290,37.0,17.0,457.0,335.0,4.8,4.6,4.0,5.0,25.0,24.0,56.0,44.0,0.8774473667144775,-0.6664913892745972,0.5378307104110718,-0.02913125976920128
5,406,3172,-8671,7518,-641,3102,-8673,7419,-844,70,2,99,203,46.0,17.0,502.0,188.0,4.7,4.6,4.0,4.7,25.0,24.0,56.0,44.0,0.29129528999328613,0.5130132436752319,0.6155783534049988,-0.5805342793464661
6,407,3266,-8788,7507,-534,3181,-8787,7419,-846,85,-1,88,312,57.0,-16.0,432.0,378.0,4.8,4.6,4.0,4.6,25.0,24.0,56.0,44.0,0.6314542889595032,-0.7846760749816895,0.7291252613067627,0.7199164628982544
7,408,3136,-8787,7511,-469,3121,-8787,7419,-845,15,0,92,376,15.0,0.0,454.0,506.0,4.6,4.6,4.7,4.6,25.0,24.0,56.0,44.0,-0.8684336543083191,0.010586640797555447,0.35679343342781067,0.9695886373519897
8,409,3096,-8757,7500,-544,3085,-8761,7419,-845,11,4,81,301,15.0,16.0,392.0,355.0,5.0,4.5,4.8,4.8,25.0,24.0,56.0,44.0,-0.26886579394340515,-0.8750051856040955,0.3607863485813141,-0.4786081910133362
9,410,3110,-8903,7508,-531,3085,-8905,7419,-845,25,2,89,314,19.0,16.0,437.0,379.0,4.8,4.5,4.7,4.7,25.0,24.0,56.0,45.0,0.09788894653320312,-0.976972758769989,0.6426383256912231,0.1342860609292984
10,411,3041,-8857,7520,-619,3032,-8860,7419,-845,9,3,101,226,14.0,17.0,515.0,222.0,5.0,4.4,4.4,4.9,25.0,24.0,56.0,45.0,-0.46388599276542664,0.30769526958465576,0.9850807189941406,-0.5882362127304077
11,412,3078,-8734,7509,-683,3034,-8734,7419,-845,44,0,90,162,28.0,-14.0,448.0,132.0,5.0,4.9,4.1,5.1,25.0,24.0,56.0,45.0,0.24922598898410797,0.8228248357772827,0.6542030572891235,-0.431464284658432
12,413,3176,-8704,7521,-683,3113,-8708,7419,-845,63,4,102,162,41.0,16.0,520.0,134.0,5.0,4.4,4.7,5.0,25.0,24.0,57.0,44.0,0.6581855416297913,-0.7025125026702881,0.9911781549453735,0.0020019535440951586
13,414,3092,-8687,7510,-761,3085,-8693,7420,-865,7,6,90,104,14.0,16.0,449.0,68.0,5.1,4.5,4.6,5.0,25.0,24.0,57.0,44.0,-0.5625874996185303,0.11444196105003357,0.9329878091812134,-0.5225337147712708
