step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,201,390.0,543.0,0.0,-13.0,4.4,4.5,4.5,4.7,62.0,58.0,22.0,22.0
2,202,390.0,544.0,1.0,-13.0,4.5,4.5,4.5,4.6,63.0,58.0,22.0,22.0
3,203,390.0,546.0,0.0,13.0,4.8,4.6,4.5,4.7,63.0,58.0,22.0,23.0
4,204,387.0,549.0,0.0,-13.0,4.4,4.7,4.7,4.6,63.0,58.0,22.0,23.0
5,205,386.0,550.0,0.0,13.0,4.7,4.7,4.6,4.7,63.0,58.0,22.0,23.0
6,206,387.0,552.0,0.0,0.0,4.4,4.6,4.7,4.9,63.0,59.0,22.0,22.0
7,207,389.0,552.0,13.0,-14.0,4.7,4.5,4.6,4.8,63.0,59.0,22.0,22.0
8,208,385.0,552.0,14.0,10.0,4.4,4.6,4.8,4.8,63.0,59.0,22.0,22.0
9,209,387.0,554.0,0.0,-13.0,4.8,4.6,4.5,4.6,63.0,59.0,22.0,22.0
10,210,389.0,552.0,17.0,-13.0,4.7,4.5,4.8,4.6,63.0,59.0,22.0,23.0
11,211,391.0,549.0,16.0,13.0,4.4,4.4,4.5,4.6,63.0,59.0,22.0,22.0
12,212,386.0,549.0,17.0,-13.0,4.5,4.7,4.5,4.8,63.0,59.0,22.0,23.0
13,213,386.0,552.0,18.0,0.0,4.5,4.4,4.5,4.6,63.0,59.0,22.0,23.0
14,214,381.0,553.0,0.0,-14.0,4.4,4.7,4.7,4.6,63.0,59.0,22.0,23.0
15,215,383.0,554.0,0.0,12.0,4.7,4.4,4.4,4.9,63.0,59.0,22.0,23.0
16,216,382.0,552.0,15.0,13.0,4.5,4.7,4.6,4.9,63.0,60.0,22.0,23.0
17,217,381.0,554.0,0.0,-13.0,4.5,4.4,4.5,4.6,63.0,60.0,22.0,22.0
18,218,380.0,556.0,19.0,-1.0,4.7,4.4,4.7,5.0,63.0,60.0,22.0,23.0
19,219,378.0,558.0,19.0,-6.0,4.7,4.6,4.5,4.6,63.0,60.0,22.0,22.0
20,220,382.0,560.0,14.0,13.0,4.5,4.4,4.5,4.6,63.0,60.0,22.0,22.0
21,221,385.0,554.0,21.0,-8.0,4.7,4.5,4.6,4.7,63.0,60.0,22.0,23.0
22,222,385.0,555.0,23.0,13.0,4.5,4.6,4.4,4.6,63.0,60.0,22.0,23.0
23,223,386.0,556.0,15.0,-13.0,4.7,4.6,4.5,4.8,63.0,60.0,22.0,23.0
24,224,390.0,555.0,19.0,12.0,4.7,4.6,4.6,4.6,63.0,60.0,22.0,23.0
25,225,385.0,555.0,5.0,12.0,4.7,4.7,4.6,4.9,63.0,60.0,22.0,23.0
26,226,389.0,555.0,0.0,-13.0,4.7,4.7,4.5,4.7,63.0,60.0,22.0,23.0
27,227,384.0,558.0,0.0,12.0,4.8,4.7,4.6,4.7,63.0,60.0,22.0,23.0
28,228,385.0,558.0,0.0,0.0,4.8,4.7,4.6,4.8,63.0,60.0,22.0,23.0
29,229,381.0,559.0,0.0,-13.0,4.8,4.7,4.5,4.7,63.0,60.0,22.0,23.0
30,230,383.0,559.0,0.0,-13.0,4.5,4.6,4.5,4.7,63.0,60.0,22.0,23.0
