step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,4762,12645,-10836,-11825,6029,12524,-10836,-11824,5994,121,0,-1,35,90.0,0.0,0.0,20.0,5.0,5.2,5.2,5.0,48.0,23.0,23.0,37.0,-0.9313309788703918,-0.9186270236968994,-0.7906618714332581,-0.8764824867248535
2,4763,12673,-10816,-11921,6168,12524,-10817,-11921,6005,149,1,0,163,124.0,12.0,0.0,141.0,4.9,5.2,5.2,5.0,48.0,23.0,23.0,37.0,0.2446882724761963,0.13703283667564392,-0.6465636491775513,0.9305670261383057
3,4764,12572,-10858,-11924,6303,12506,-10856,-11923,6054,66,-2,-1,249,39.0,-13.0,-15.0,285.0,4.7,5.2,5.2,5.1,48.0,23.0,23.0,37.0,-0.8541092872619629,-0.281075656414032,-0.02265995182096958,0.9020365476608276
4,4765,12525,-10887,-11922,6158,12484,-10887,-11922,6056,41,0,0,102,25.0,0.0,0.0,68.0,5.0,5.2,5.2,5.1,48.0,23.0,23.0,37.0,-0.4006652534008026,-0.19879700243473053,0.01942521333694458,-0.9725145697593689
5,4766,12502,-10916,-12062,6055,12481,-10916,-12060,6030,21,0,-2,25,16.0,0.0,-15.0,16.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,37.0,-0.9843965172767639,-0.9714384078979492,-0.935799241065979,-0.6874107122421265
6,4767,12500,-10922,-12202,5944,12484,-10921,-12200,5934,16,-1,-2,10,16.0,-12.0,-14.0,12.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,37.0,-0.09155859053134918,-0.20770478248596191,-0.933735191822052,-0.742995023727417
7,4768,12490,-10951,-12220,5933,12484,-10949,-12217,5932,6,-2,-3,1,13.0,-12.0,-16.0,11.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,37.0,-0.42486581206321716,-0.9773327112197876,-0.6204951405525208,-0.3975992798805237
8,4769,12551,-10946,-12301,5951,12488,-10949,-12298,5931,63,3,-3,20,38.0,12.0,-16.0,15.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,37.0,0.5201150178909302,0.03887326642870903,-0.5462501049041748,0.1260489523410797
9,4770,12660,-10960,-12330,5936,12539,-10958,-12325,5912,121,-2,-5,24,94.0,-1.0,-16.0,17.0,5.0,5.2,5.2,5.1,47.0,23.0,24.0,37.0,0.9239465594291687,-0.09555139392614365,-0.995191752910614,-0.5317656993865967
10,4771,12788,-11077,-12478,6063,12577,-11076,-12473,5914,211,-1,-5,149,220.0,0.0,-18.0,122.0,4.8,5.2,5.2,4.8,47.0,23.0,24.0,37.0,0.9961594343185425,-0.7840412259101868,-0.9917459487915039,0.8495985269546509
11,4772,12757,-11061,-12593,5951,12577,-11062,-12588,5897,180,1,-5,54,173.0,13.0,-20.0,31.0,4.9,5.2,5.2,5.1,47.0,23.0,24.0,37.0,-0.24595797061920166,0.11063944548368454,-0.7688677310943604,-0.7517452836036682
12,4773,12835,-11171,-12548,5980,12601,-11172,-12547,5896,234,1,-1,84,261.0,12.0,-16.0,52.0,4.9,5.2,5.1,4.9,47.0,23.0,24.0,37.0,0.6055822372436523,-0.7352231740951538,0.3024663031101227,0.19549967348575592
13,4774,12819,-11209,-12407,5913,12622,-11208,-12405,5878,197,-1,-2,35,198.0,-12.0,-15.0,21.0,4.9,5.2,5.2,5.1,48.0,23.0,24.0,37.0,-0.12750527262687683,-0.25408264994621277,0.9465929865837097,-0.45172181725502014
14,4775,12910,-11331,-12456,5879,12688,-11332,-12449,5822,222,1,-7,57,240.0,12.0,-22.0,33.0,5.0,5.2,5.1,4.8,48.0,23.0,24.0,37.0,0.7707720994949341,-0.8176066279411316,-0.32908201217651367,-0.23263511061668396
15,4776,13007,-11273,-12605,6016,12698,-11275,-12598,5822,309,2,-7,194,391.0,11.0,-24.0,179.0,4.5,5.1,5.1,4.6,48.0,23.0,24.0,37.0,0.8933005332946777,0.39193758368492126,-0.9953563809394836,0.9141239523887634
16,4777,13062,-11406,-12725,6038,12698,-11408,-12714,5820,364,2,-11,218,491.0,12.0,-31.0,215.0,4.2,5.1,5.0,4.3,48.0,23.0,24.0,37.0,0.741539478302002,-0.8898330926895142,-0.8063058257102966,0.14844846725463867
17,4778,12970,-11550,-12867,6166,12698,-11550,-12852,5819,272,0,-15,347,350.0,0.0,-45.0,453.0,4.2,5.1,5.1,4.4,48.0,23.0,24.0,37.0,-0.7791493535041809,-0.9636044502258301,-0.9474738836288452,0.8826175928115845
18,4779,12936,-11677,-12787,6177,12698,-11678,-12785,5820,238,1,-2,357,291.0,11.0,-16.0,474.0,4.5,5.1,5.1,4.2,48.0,23.0,24.0,37.0,-0.29367855191230774,-0.8529166579246521,0.5365579128265381,0.140744149684906
19,4780,13021,-11569,-12871,6036,12698,-11569,-12855,5820,323,0,-16,216,415.0,0.0,-50.0,202.0,4.5,5.1,5.1,4.4,48.0,23.0,24.0,37.0,0.8585902452468872,0.7263617515563965,-0.5665178894996643,-0.9461498260498047
20,4781,12978,-11669,-12931,6049,12698,-11669,-12915,5819,280,0,-16,230,322.0,0.0,-48.0,236.0,4.6,5.1,5.1,4.5,48.0,23.0,24.0,37.0,-0.36777910590171814,-0.6711382865905762,-0.4005296230316162,0.08758615702390671
21,4782,13003,-11769,1992,5905,12781,-11768,-11164,5789,222,-1,13156,116,227.0,0.0,46.0,82.0,4.8,5.2,5.0,4.8,48.0,23.0,24.0,37.0,0.29487764835357666,-0.6692041158676147,-0.744178295135498,-0.9654465317726135
22,4783,12911,-11917,-9170,5827,12781,-11919,-9170,5778,130,2,0,49,103.0,12.0,0.0,28.0,5.1,5.2,5.2,5.1,48.0,23.0,24.0,37.0,-0.7787129878997803,-0.9890748858451843,-0.7836139798164368,-0.5261522531509399
23,4784,12907,-12063,-9175,5804,12782,-12066,-9175,5772,125,3,0,32,96.0,12.0,-3.0,19.0,5.0,5.2,5.2,5.1,48.0,23.0,24.0,37.0,-0.03687718138098717,-0.9779018759727478,-0.1855275183916092,-0.7731131315231323
24,4785,12837,-12021,-9204,5801,12780,-12023,-9204,5772,57,2,0,29,33.0,12.0,0.0,18.0,5.2,5.2,5.2,5.2,48.0,23.0,24.0,37.0,-0.593590497970581,0.28077054023742676,-0.9893723726272583,-0.11676836758852005
25,4786,12776,-12159,-9228,5794,12748,-12160,-9227,5773,28,1,-1,21,19.0,12.0,0.0,14.0,5.2,5.2,5.2,5.2,48.0,23.0,24.0,37.0,-0.5187227129936218,-0.921663224697113,-0.8238988518714905,-0.23962266743183136
26,4787,12873,-12253,-9187,5943,12750,-12252,-9188,5785,123,-1,1,158,95.0,0.0,14.0,135.0,5.0,5.2,5.2,5.1,48.0,23.0,24.0,37.0,0.818932056427002,-0.6277943849563599,0.2799723744392395,0.9965084791183472
27,4788,12961,-12401,-9147,5940,12766,-12403,-9147,5784,195,2,0,156,195.0,12.0,0.0,133.0,5.0,5.2,5.1,4.8,48.0,23.0,24.0,37.0,0.7437589168548584,-0.9909481406211853,0.2685401737689972,-0.02490854449570179
28,4789,13031,-12421,-9258,5871,12766,-12418,-9257,5784,265,-3,-1,87,315.0,-12.0,0.0,55.0,4.4,5.2,5.2,5.1,48.0,23.0,24.0,37.0,0.596867561340332,-0.13895899057388306,-0.7444460391998291,-0.46376195549964905
29,4790,13079,-12541,-9177,5925,12766,-12542,-9178,5784,313,1,1,141,403.0,13.0,5.0,112.0,4.7,5.1,5.1,4.5,48.0,23.0,24.0,37.0,0.534004271030426,-0.8021687865257263,0.5461535453796387,0.36122605204582214
30,4791,13012,-12488,-9158,5779,12810,-12487,-9159,5738,202,-1,1,41,205.0,0.0,16.0,24.0,4.9,5.2,5.2,4.8,48.0,23.0,24.0,37.0,-0.5691311359405518,0.35890993475914,0.13179361820220947,-0.9766515493392944
31,4792,12935,-12492,-9190,5890,12810,-12491,-9190,5738,125,-1,0,152,96.0,-4.0,0.0,133.0,5.0,5.2,5.2,5.0,48.0,23.0,24.0,37.0,-0.6557503342628479,-0.03201683610677719,-0.21764537692070007,0.7428572177886963
32,4793,13000,-12632,-9320,5860,12810,-12633,-9320,5738,190,1,0,122,183.0,13.0,-15.0,91.0,4.9,5.2,5.2,4.7,48.0,23.0,24.0,37.0,0.5520585179328918,-0.9399259686470032,-0.8692978024482727,-0.20098508894443512
33,4794,13089,-12689,-9394,5788,12830,-12688,-9394,5736,259,-1,0,52,302.0,-10.0,0.0,31.0,4.4,5.2,5.2,4.7,48.0,23.0,24.0,37.0,0.7516429424285889,-0.38557812571525574,-0.49704816937446594,-0.4823424518108368
34,4795,13160,-12605,-9536,5905,12844,-12605,-9535,5736,316,0,-1,169,397.0,7.0,0.0,151.0,4.6,5.1,5.1,5.0,48.0,23.0,24.0,37.0,0.7573140859603882,0.5622128844261169,-0.953278660774231,0.7849525213241577
35,4796,13114,-12633,-9680,5827,12844,-12632,-9679,5736,270,-1,-1,91,319.0,0.0,0.0,60.0,4.7,5.2,5.1,5.0,48.0,23.0,24.0,37.0,-0.3947146534919739,-0.18964910507202148,-0.9660050272941589,-0.5242628455162048
36,4797,13024,2307,-9825,5883,12844,-10401,-9824,5736,180,12708,-1,147,161.0,114.0,-1.0,125.0,4.8,5.1,5.0,4.8,48.0,23.0,24.0,37.0,-0.7611481547355652,-0.6716364622116089,-0.9728876948356628,0.3791569769382477
37,4798,13050,-8126,-9853,5955,12709,-8157,-9852,5715,341,31,-1,240,437.0,22.0,0.0,253.0,4.5,5.1,5.1,4.6,48.0,23.0,24.0,37.0,0.22652669250965118,-0.8683326244354248,-0.18859723210334778,0.48221829533576965
38,4799,13099,-8248,-10001,6059,12709,-8269,-10000,5769,390,21,-1,290,514.0,16.0,0.0,337.0,4.2,5.1,5.1,4.3,49.0,23.0,24.0,37.0,0.7384228110313416,-0.8154215216636658,-0.9930341243743896,0.7756890058517456
39,4800,13090,-8225,-10109,5976,12709,-8269,-10108,5769,381,44,-1,207,518.0,28.0,0.0,189.0,4.2,5.1,5.1,4.7,49.0,23.0,24.0,37.0,-0.7870227694511414,0.15959781408309937,-0.7204619646072388,-0.554655909538269
