step,action_count,cube_x,cube_y,dist_to_goal_x,dist_to_goal_y,dist_to_goal,distance_reward,obs_cube_x_norm,obs_cube_y_norm,obs_cube_yaw_norm,obs_goal_x_norm,obs_goal_y_norm,obs_motor_16_pos_delta_norm,obs_motor_17_pos_delta_norm,obs_motor_18_pos_delta_norm,obs_motor_19_pos_delta_norm,obs_motor_16_current_norm,obs_motor_17_current_norm,obs_motor_18_current_norm,obs_motor_19_current_norm,obs_horizontal_tension_norm,obs_vertical_tension_norm,obs_total_tension_norm,obs_motor_16_target_error_norm,obs_motor_17_target_error_norm,obs_motor_18_target_error_norm,obs_motor_19_target_error_norm,action_m16,action_m17,action_m18,action_m19,total_safety_penalty
1,1,-0.24993410090388207,-0.32816094782097294,-0.13093410090388208,0.1998390521790271,0.2389129246301252,0.48834225639227236,0.4994801878929138,0.7014904022216797,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0,0.0,0.0,0.0,5.139000131748617e-05,0.0,0.0,0.0044999998062849045,0.0044999998062849045,0.0,0.0,0.0,0.0,-0.6485366821289062,0.3667792081832886,-0.35465213656425476,0.03114091046154499,-0.1220875
2,2,-0.2552414491608826,-0.32412308148937596,-0.1362414491608826,0.20387691851062406,0.2452091563764392,0.47920467847715514,0.5815486311912537,0.6471848487854004,-1.0,0.8860465288162231,0.3084745705127716,0.0017500000540167093,0.0042500002309679985,-0.006624999921768904,0.0035000001080334187,0.00010278000263497233,9.707000572234392e-05,0.0,5.7100001868093386e-05,0.017500000074505806,0.004999999888241291,0.02250000089406967,0.004000000189989805,0.005249999929219484,0.0,0.0005000000237487257,-0.2515725791454315,0.3006018400192261,-0.9316537976264954,0.09767361730337143,-0.13579845
3,3,-0.2551151030048914,-0.3241113377198671,-0.13611510300489138,0.20388866228013292,0.24514874642227785,0.479291532545175,0.5692059397697449,0.6540286540985107,-1.0,0.8860465288162231,0.3084745705127716,-0.0013749999925494194,0.008875000290572643,-0.003000000026077032,0.004749999847263098,9.13600015337579e-05,0.00011991000064881518,9.13600015337579e-05,7.423000351991504e-05,0.01850000023841858,0.014499999582767487,0.032999999821186066,0.0010000000474974513,0.007249999791383743,0.0002500000118743628,0.001500000013038516,-0.9716104865074158,-0.6374547481536865,-0.2704896330833435,-0.22985413670539856,0.0
4,4,-0.2684757574037668,-0.3127052056129114,-0.14947575740376678,0.21529479438708865,0.26209702505295346,0.4555311969529292,0.5694997310638428,0.6540485620498657,-1.0,0.8860465288162231,0.3084745705127716,-0.01899999938905239,0.0006249999860301614,-0.00787500012665987,0.0013749999925494194,0.0,0.0,-5.7100000958598685e-06,-1.1420000191719737e-05,0.0,0.001500000013038516,0.001500000013038516,0.0,0.0,0.0,-0.0002500000118743628,0.6940113306045532,-0.8736318349838257,0.7983139157295227,0.10772286355495453,-0.1399091
5,5,-0.2597023738854031,-0.32108212649994,-0.14070237388540313,0.20691787350006002,0.2502242282249555,0.47204890585014214,0.5384284853935242,0.6733810305595398,-1.0,0.8860465288162231,0.3084745705127716,-0.006000000052154064,0.0031250000465661287,0.006874999962747097,0.003375000087544322,0.0,8.565000462112948e-05,9.707000572234392e-05,7.423000351991504e-05,0.007499999832361937,0.014999999664723873,0.02250000089406967,0.0,0.0024999999441206455,0.0002500000118743628,0.0032500000670552254,-0.8077418208122253,0.5767933130264282,-0.7780497670173645,0.3453996777534485,-0.120929025
6,6,-0.25502827221580443,-0.32178757014809567,-0.13602827221580444,0.20621242985190436,0.24703695486190638,0.4765842008440391,0.5588316917419434,0.6591828465461731,-1.0,0.8860465288162231,0.3084745705127716,-0.0042500002309679985,0.011749999597668648,-0.007625000085681677,0.009999999776482582,0.00010848999954760075,0.00011420000373618677,9.13600015337579e-05,7.423000351991504e-05,0.019500000402331352,0.014499999582767487,0.03400000184774399,0.004000000189989805,0.006750000175088644,0.0002500000118743628,0.002749999985098839,-0.828616738319397,0.9477211833000183,-0.5287945866584778,-0.4462043344974518,0.0
7,7,-0.25589008252921064,-0.3212866835410457,-0.13689008252921064,0.2067133164589543,0.2479300100760573,0.47530906174457227,0.5697016716003418,0.6579871773719788,-1.0,0.8860465288162231,0.3084745705127716,-0.01912499964237213,0.02824999950826168,-0.017374999821186066,0.0031250000465661287,9.707000572234392e-05,0.0001541700039524585,5.139000131748617e-05,5.7100000958598685e-06,0.02199999988079071,0.004999999888241291,0.027000000700354576,0.002749999985098839,0.00925000011920929,0.0,0.0,0.9291212558746338,0.5163405537605286,0.3209703862667084,-0.9589424729347229,-0.1390731
8,8,-0.264887635839133,-0.31351258541423843,-0.145887635839133,0.2144874145857616,0.2593994088397579,0.459232699628702,0.5676974654197693,0.6588361263275146,-1.0,0.8860465288162231,0.3084745705127716,-0.011500000022351742,0.03150000050663948,-0.011625000275671482,0.004625000059604645,0.0003997000167146325,0.00037115000304766,8.565000462112948e-05,8.565000462112948e-05,0.06750000268220901,0.014999999664723873,0.08250000327825546,0.02225000038743019,0.02199999988079071,0.0005000000237487257,0.0044999998062849045,-0.22019536793231964,-0.178263321518898,0.4932873249053955,0.8479427695274353,0.0
9,9,-0.25468852681461623,-0.32325114450591114,-0.13568852681461624,0.2047488554940889,0.24562872416568085,0.47860188138547705,0.5467729568481445,0.6720125675201416,-1.0,0.8860465288162231,0.3084745705127716,-0.011250000447034836,0.03150000050663948,-0.0043750000186264515,0.009750000201165676,0.0002169799990952015,0.00023411000438500196,0.0003197600017301738,0.0004967700224369764,0.039500001817941666,0.07150000333786011,0.11100000143051147,0.013500000350177288,0.01549999974668026,0.0042500002309679985,0.026000000536441803,0.6112611889839172,-0.8175301551818848,-0.712334394454956,-0.8627198934555054,0.0
10,10,-0.25528562513871783,-0.32413805246619637,-0.13628562513871784,0.20386194753380366,0.24522125778921866,0.47918728163208635,0.5704917907714844,0.6555065512657166,-1.0,0.8860465288162231,0.3084745705127716,-0.0018749999580904841,0.02162499912083149,-0.01549999974668026,0.006624999921768904,0.0002969200140796602,9.707000572234392e-05,0.0,0.0,0.03449999913573265,0.0,0.03449999913573265,0.017500000074505806,0.004749999847263098,0.0,0.0,0.978423535823822,0.7897602915763855,0.3455182611942291,-0.702201783657074,-0.108264215
11,11,-0.25122372539271487,-0.32626919173708646,-0.13222372539271487,0.20173080826291356,0.2412020575350394,0.4850001044881861,0.5691031813621521,0.6540033221244812,-1.0,0.8860465288162231,0.3084745705127716,0.004000000189989805,0.022874999791383743,-0.00925000011920929,0.008375000208616257,0.0009935400448739529,0.0006338100065477192,9.13600015337579e-05,9.13600015337579e-05,0.14249999821186066,0.01600000075995922,0.15850000083446503,0.042249999940395355,0.03175000101327896,0.0002500000118743628,0.004000000189989805,-0.9296884536743164,0.24137063324451447,0.6588201522827148,-0.3802708089351654,0.0
