step,action_count,cube_x,cube_y,dist_to_goal_x,dist_to_goal_y,dist_to_goal,vx_actual,vy_actual,v_error,velocity_reward,obs_cube_x_norm,obs_cube_y_norm,obs_cube_yaw_norm,obs_goal_x_norm,obs_goal_y_norm,obs_motor_16_pos_delta_norm,obs_motor_17_pos_delta_norm,obs_motor_18_pos_delta_norm,obs_motor_19_pos_delta_norm,obs_motor_16_current_norm,obs_motor_17_current_norm,obs_motor_18_current_norm,obs_motor_19_current_norm,obs_horizontal_tension_norm,obs_vertical_tension_norm,obs_total_tension_norm,obs_motor_16_target_error_norm,obs_motor_17_target_error_norm,obs_motor_18_target_error_norm,obs_motor_19_target_error_norm,action_m16,action_m17,action_m18,action_m19,total_safety_penalty
1,408,-0.32801850535049837,-0.1769948104311576,-0.20901850535049837,0.3510051895688424,0.4085258604828038,0.0,0.0,0.0,0.0,0.39979708194732666,0.903052568435669,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0,0.0,0.0011534200748428702,0.0026837000623345375,8.565000462112948e-05,0.0020384700037539005,0.335999995470047,0.1860000044107437,0.5220000147819519,0.04975000023841858,0.09125000238418579,0.0,0.07450000196695328,-0.026268964633345604,0.07778674364089966,-0.12948910892009735,-0.7545918226242065,-0.057778675
2,409,-0.3281646915227517,-0.17713939938842116,-0.2091646915227517,0.35086060061157887,0.4084764733021055,0.0,0.0,0.0,0.0,0.39995697140693665,0.9033986330032349,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,-0.002374999923631549,0.0,0.0011420000810176134,0.001918560010381043,0.0,0.0011248700320720673,0.2680000066757202,0.09849999845027924,0.36649999022483826,0.04899999871850014,0.07249999791383743,0.0,0.04625000059604645,-0.014100243337452412,0.4232046604156494,-0.6165792942047119,0.7722243070602417,-0.12282317
3,410,-0.3275364697926837,-0.1780754699175197,-0.2085364697926837,0.3499245300824803,0.40735075302132384,0.00030127222363417194,-0.0006754121789763132,0.00534412469919862,0.1345806664439952,0.3996169865131378,0.9031535387039185,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0013749999925494194,0.0,0.0010906100505962968,0.0022326100151985884,9.13600015337579e-05,0.0020670201629400253,0.29100000858306885,0.1889999955892563,0.47999998927116394,0.048500001430511475,0.08049999922513962,0.0,0.07500000298023224,0.3452422618865967,-0.38245683908462524,0.381877601146698,-0.054711125791072845,0.0
4,411,-0.3248382371986732,-0.1813710757508386,-0.20583823719867322,0.3466289242491614,0.403138922729111,0.0020790339525490406,-0.0026447977265109043,0.00755696213537552,0.09656710491062903,0.4010779857635498,0.9015669822692871,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.008375000208616257,-0.0001250000059371814,0.0015930900117382407,0.0016444800421595573,8.565000462112948e-05,0.0019299800042062998,0.28349998593330383,0.17649999260902405,0.46000000834465027,0.061250001192092896,0.06624999642372131,0.0002500000118743628,0.07325000315904617,0.6005420684814453,-0.1510038524866104,-0.19623756408691406,-0.9901220202445984,0.0
5,412,-0.32587673575749326,-0.1807198409662515,-0.20687673575749327,0.34728015903374854,0.4042295049302826,0.0010373337719940187,-0.0016527319054573594,0.006259466576776031,0.11731498397689691,0.40735292434692383,0.8959812521934509,-1.0,0.8860465288162231,0.3084745705127716,0.005499999970197678,-0.000375000003259629,0.004999999888241291,-0.0001250000059371814,0.002175510162487626,0.0014731800183653831,0.0,0.0006109700188972056,0.31949999928474426,0.05350000038743019,0.37299999594688416,0.07275000214576721,0.061500001698732376,-0.0002500000118743628,0.036249998956918716,-0.5281904339790344,-0.8287471532821655,-0.8851488828659058,0.7041164636611938,-0.13021788
6,413,-0.3258279414341574,-0.18015856600864,-0.2068279414341574,0.34784143399136,0.40468686729254866,-0.0006185651471776049,0.0007578185888741304,0.0044464885452646765,0.1539779165132713,0.40493783354759216,0.8970850110054016,-1.0,0.8860465288162231,0.3084745705127716,0.005874999798834324,-0.0036249998956918716,0.008624999783933163,0.0,0.0012733300682157278,0.000673780043143779,9.13600015337579e-05,0.0015359900426119566,0.1704999953508377,0.14249999821186066,0.31299999356269836,0.05225000157952309,0.03700000047683716,0.0,0.06224999949336052,-0.7094967365264893,0.555923581123352,-0.48635685443878174,-0.609937310218811,0.0
7,414,-0.32891547066394416,-0.17456704093033137,-0.20991547066394417,0.35343295906966865,0.41107099311531003,-0.0018992093165318136,0.0038455000224500713,0.004939916323719117,0.142992906780823,0.4050512909889221,0.8980363011360168,-1.0,0.8860465288162231,0.3084745705127716,0.005874999798834324,-0.0036249998956918716,-0.0002500000118743628,0.0,0.00043967002420686185,0.0013532700249925256,0.0,0.0007651399937458336,0.15700000524520874,0.06700000166893005,0.2240000069141388,0.025750000029802322,0.057750001549720764,-0.0002500000118743628,0.039500001817941666,-0.9471181035041809,-0.8404020071029663,0.8001552820205688,-0.006892040371894836,0.0
8,415,-0.33094180545434104,-0.1741425509833256,-0.21194180545434105,0.35385744901667443,0.4124735423319102,-0.003196165012614785,0.003760009390821502,0.0041703106935552054,0.1604906797231083,0.3978709876537323,0.9075134992599487,-1.0,0.8860465288162231,0.3084745705127716,-0.0013749999925494194,-0.0037499999161809683,0.013875000178813934,0.0001250000059371814,0.00010848999954760075,0.00041112001053988934,0.00013133000175002962,0.0007651399937458336,0.045499999076128006,0.07850000262260437,0.12399999797344208,0.004749999847263098,0.026499999687075615,0.001500000013038516,0.039000000804662704,0.3758997619152069,-0.35838478803634644,-0.2568524181842804,0.9454851746559143,0.0
9,416,-0.33048801607240297,-0.1783853981154398,-0.21148801607240297,0.3496146018845602,0.4086043939963697,-0.000982840880286752,-0.0023864732406927644,0.004672560531618392,0.14884394303741658,0.39315858483314514,0.9082329869270325,-1.0,0.8860465288162231,0.3084745705127716,-0.000375000003259629,-0.00712500000372529,0.009624999947845936,0.005750000011175871,0.0002512400096748024,0.00029121001716703176,9.13600015337579e-05,0.0016159299993887544,0.04749999940395355,0.14949999749660492,0.19699999690055847,0.016750000417232513,0.019999999552965164,0.0005000000237487257,0.06300000101327896,0.7427928447723389,-0.45872318744659424,-0.7256045341491699,-0.3449876308441162,0.0
10,417,-0.33165831679233654,-0.17743279623967406,-0.21265831679233654,0.35056720376032596,0.41002551634414613,-0.0004478195862471848,-0.002056403285217792,0.004995111709542569,0.1418139118475723,0.3942139148712158,0.9010416865348816,-1.0,0.8860465288162231,0.3084745705127716,0.008375000208616257,-0.01600000075995922,-0.0036249998956918716,0.011500000022351742,0.00048534999950788915,0.0003026300109922886,0.0,0.0007537199999205768,0.0689999982714653,0.06599999964237213,0.13500000536441803,0.027000000700354576,0.020749999210238457,0.0,0.038750000298023224,-0.8166017532348633,0.7953736782073975,0.05742017552256584,-0.15776224434375763,-0.01710958
