step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,1683,2195,3717,3399,14993,2168,3656,3381,14975,27,61,18,18,20.0,41.0,72.0,15.0,5.2,5.1,5.2,5.2,28.0,25.0,25.0,23.0,0.14226172864437103,0.39104145765304565,0.7736404538154602,0.9204183220863342
2,1684,2152,3639,3514,15123,2135,3610,3498,15098,17,29,16,25,17.0,21.0,62.0,19.0,5.2,5.1,5.1,5.2,28.0,25.0,25.0,23.0,-0.29148948192596436,-0.5204329490661621,0.7686845660209656,0.8683549165725708
3,1685,2049,3547,3557,14988,2050,3545,3555,14987,-1,2,2,1,0.0,13.0,23.0,11.0,5.2,5.2,5.2,5.2,28.0,25.0,25.0,23.0,-0.6929030418395996,-0.6185227632522583,0.29147666692733765,-0.9049669504165649
4,1686,2123,3399,3699,14897,2122,3398,3698,14897,1,1,1,0,13.0,13.0,23.0,11.0,5.2,5.2,5.2,5.2,28.0,25.0,25.0,23.0,0.49692270159721375,-0.9868218302726746,0.949292778968811,-0.6080582141876221
5,1687,2194,3297,3805,14810,2189,3295,3802,14809,5,2,3,1,14.0,13.0,24.0,11.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,0.4796508550643921,-0.6822722554206848,0.7120264768600464,-0.586188793182373
6,1688,2227,3224,3840,14719,2226,3223,3840,14718,1,1,0,1,14.0,13.0,22.0,3.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,0.22642993927001953,-0.4880099594593048,0.2385406643152237,-0.6077456474304199
7,1689,2311,3248,3753,14868,2301,3232,3753,14864,10,16,0,4,15.0,16.0,21.0,12.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,0.560524046421051,0.1603868156671524,-0.5856225490570068,0.9974929094314575
8,1690,2183,3274,3814,15013,2182,3254,3807,14985,1,20,7,28,4.0,17.0,31.0,18.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.8546893000602722,0.17867441475391388,0.41321125626564026,0.9668506979942322
9,1691,2156,3245,3686,14870,2156,3245,3686,14871,0,0,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.9280756115913391,-0.9809247851371765,-0.8550354242324829,-0.9557612538337708
10,1692,2145,3234,3828,14790,2145,3234,3827,14790,0,0,1,0,0.0,0.0,23.0,0.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.38435009121894836,-0.36975178122520447,0.9485290050506592,-0.5348249673843384
11,1693,2028,3335,3952,14920,2027,3316,3947,14893,1,19,5,27,13.0,17.0,30.0,19.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.7839675545692444,0.6745204329490662,0.8316618204116821,0.8677365183830261
12,1694,2000,3433,3804,14893,2000,3428,3803,14894,0,5,1,-1,12.0,13.0,22.0,0.0,5.2,5.2,5.2,5.3,28.0,24.0,25.0,23.0,-0.18811477720737457,0.6579059362411499,-0.9890267252922058,-0.18440183997154236
13,1695,1971,3423,3784,14887,1971,3424,3784,14888,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.9732572436332703,-0.35962897539138794,-0.6958339810371399,-0.20437410473823547
14,1696,1959,3396,3901,14766,1957,3396,3900,14765,2,0,1,1,14.0,13.0,23.0,0.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.4241200387477875,-0.9217922687530518,0.7844682931900024,-0.8100188970565796
15,1697,1934,3393,3953,14812,1934,3394,3950,14794,0,-1,3,18,0.0,0.0,25.0,15.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.8462269902229309,-0.1096879243850708,0.3495478630065918,0.3120995759963989
16,1698,1906,3392,3838,14863,1907,3393,3837,14856,-1,-1,1,7,0.0,0.0,22.0,12.0,5.2,5.2,5.2,5.2,28.0,24.0,25.0,23.0,-0.9407255053520203,-0.05819924548268318,-0.7677810192108154,0.3442618250846863
