step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,301,7663,-5030,1797,10962,7664,-5132,1782,10732,-1,102,15,230,0.0,71.0,51.0,236.0,5.1,5.1,5.0,5.0,28.0,32.0,37.0,39.0,-0.9155341982841492,0.9382498860359192,-0.5441237688064575,-0.9940621256828308
2,302,7690,-5152,1672,10946,7691,-5157,1663,10792,-1,5,9,154,0.0,11.0,29.0,127.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,39.0,0.18274883925914764,-0.816975474357605,-0.8337622880935669,-0.10762854665517807
3,303,7581,-5119,1619,10824,7582,-5145,1616,10793,-1,26,3,31,0.0,16.0,18.0,18.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,39.0,-0.7330920696258545,0.2254178375005722,-0.35410499572753906,-0.8176627159118652
4,304,7716,-5260,1555,10972,7717,-5267,1549,10886,-1,7,6,86,0.0,12.0,22.0,53.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,39.0,0.901326596736908,-0.9446352124214172,-0.4282020628452301,0.9915122985839844
5,305,7740,-5339,1418,11076,7741,-5345,1412,11012,-1,6,6,64,0.0,11.0,21.0,36.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,39.0,0.16092373430728912,-0.5316019058227539,-0.9149374961853027,0.6998519897460938
6,306,7724,-5351,1547,11189,7725,-5365,1498,11014,-1,14,49,175,0.0,12.0,222.0,157.0,5.1,5.2,5.0,5.0,28.0,32.0,37.0,39.0,-0.5632716417312622,-0.42233288288116455,0.8649998307228088,0.759871780872345
7,307,7741,-5326,1607,11147,7742,-5366,1539,11010,-1,40,68,137,0.0,23.0,347.0,106.0,5.2,5.1,4.9,5.0,28.0,32.0,37.0,39.0,0.11576058715581894,0.1701233834028244,0.4233538806438446,-0.2866576910018921
8,308,7759,-5443,1684,11016,7760,-5462,1648,10924,-1,19,36,92,0.0,14.0,149.0,58.0,5.1,5.1,5.0,5.2,28.0,32.0,37.0,39.0,0.12372750043869019,-0.7813050150871277,0.7170745134353638,-0.8771279454231262
9,309,7753,-5456,1565,10885,7754,-5457,1563,10881,-1,1,2,4,0.0,9.0,17.0,12.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,38.0,-0.20380759239196777,-0.4631689488887787,-0.7993244528770447,-0.8737436532974243
10,310,7746,-5459,1599,10769,7747,-5458,1598,10770,-1,-1,1,-1,0.0,0.0,16.0,0.0,5.2,5.2,5.2,5.2,28.0,32.0,37.0,38.0,-0.2565348148345947,-0.11694058775901794,0.22863569855690002,-0.7740266919136047
