step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,5005,13499,-9792,-11316,5204,13458,-9793,-11316,5159,41,1,0,45,25.0,12.0,-1.0,27.0,5.2,5.2,5.2,5.2,48.0,23.0,24.0,34.0,0.4306650161743164,-0.8458855152130127,-0.5902056694030762,0.35741400718688965
2,5006,13527,-9888,-11445,5256,13464,-9888,-11444,5188,63,0,-1,68,39.0,0.0,-2.0,43.0,5.1,5.2,5.2,5.2,48.0,23.0,24.0,34.0,0.23771631717681885,-0.6442661285400391,-0.8648194074630737,0.35159602761268616
3,5007,13605,-9959,-11543,5119,13543,-9959,-11543,5108,62,0,0,11,38.0,0.0,0.0,13.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,34.0,0.6603891849517822,-0.47839292883872986,-0.656968891620636,-0.9162307381629944
4,5008,13524,-10102,-11572,5096,13520,-10104,-11572,5095,4,2,0,1,13.0,11.0,0.0,11.0,5.2,5.2,5.2,5.2,48.0,23.0,23.0,34.0,-0.686785876750946,-0.9557284116744995,-0.9853458404541016,-0.7916796207427979
5,5009,13631,-10045,-11465,4982,13616,-10046,-11465,4979,15,1,0,3,15.0,12.0,0.0,11.0,5.2,5.2,5.2,5.2,47.0,23.0,23.0,34.0,0.9098174571990967,0.3825671076774597,0.715306282043457,-0.7605178356170654
6,5010,13747,-10048,-11548,5004,13676,-10046,-11548,4976,71,-2,0,28,45.0,-12.0,0.0,18.0,5.1,5.2,5.2,5.2,47.0,23.0,24.0,34.0,0.9008729457855225,-0.021572699770331383,-0.557582676410675,0.15087658166885376
