step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,12531,17050,-11143,29160,-7559,17051,-11140,29160,-7558,-1,-3,0,-1,0.0,-13.0,16.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.030948109924793243,-0.6948127746582031,0.9205381870269775,0.7893400192260742
2,12532,17187,-11126,29261,-7656,17187,-11126,29260,-7656,0,0,1,0,0.0,11.0,16.0,15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9172133803367615,0.11579152196645737,0.6743234992027283,-0.651344895362854
3,12533,17233,-11146,29384,-7785,17234,-11144,29383,-7786,-1,-2,1,1,0.0,-13.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.308793306350708,-0.13757337629795074,0.8245028257369995,-0.862672746181488
4,12534,17381,-11044,29529,-7815,17381,-11043,29529,-7813,0,-1,0,-2,0.0,0.0,15.0,-15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9933264255523682,0.6819344162940979,0.9708636403083801,-0.20269809663295746
5,12535,17509,-11130,29527,-7844,17510,-11129,29528,-7842,-1,-1,-1,-2,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8595645427703857,-0.5749832391738892,-0.08277112990617752,-0.9748420119285583
6,12536,17656,-11159,29631,-7947,17656,-11158,29630,-7948,0,-1,1,1,0.0,-12.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9807576537132263,-0.19607722759246826,0.6989498138427734,-0.6888564825057983
7,12537,17653,-11174,29714,-7939,17653,-11172,29714,-7943,0,-2,0,4,0.0,-12.0,15.0,13.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.11280716955661774,-0.5280529856681824,0.5556541681289673,0.059107765555381775
8,12538,17660,-11090,29858,-7871,17660,-11089,29858,-7871,0,-1,0,0,0.0,0.0,16.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.04854198917746544,0.565625011920929,0.9630805850028992,0.45796144008636475
9,12539,17720,-10971,29884,-7955,17721,-10970,29884,-7955,-1,-1,0,0,0.0,-3.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.4058287739753723,0.7958042025566101,0.17787860333919525,-0.565657377243042
10,12540,17795,-11087,29857,-7820,17795,-11087,29858,-7819,0,0,-1,-1,0.0,11.0,0.0,-2.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.5066137909889221,-0.7789394855499268,-0.1838800311088562,0.901659369468689
11,12541,17940,-11002,29991,-7852,17941,-11001,29990,-7849,-1,-1,1,-3,0.0,0.0,15.0,-15.0,5.2,5.3,5.2,5.2,24.0,22.0,23.0,23.0,0.9701884388923645,0.572950005531311,0.8935328722000122,-0.21944782137870789
12,12542,18087,-11022,30114,-7982,18087,-11020,30113,-7984,0,-2,1,2,0.0,-12.0,14.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9821540117263794,-0.13414986431598663,0.8238736987113953,-0.8714765310287476
13,12543,18169,-11118,30172,-8125,18169,-11117,30171,-8127,0,-1,1,2,0.0,0.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.5486574769020081,-0.640972375869751,0.3913283348083496,-0.958423376083374
14,12544,18145,-11038,30293,-8274,18146,-11037,30293,-8275,-1,-1,0,1,-13.0,0.0,15.0,15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.16430605947971344,0.5392003059387207,0.812800943851471,-0.996120035648346
15,12545,18291,-11095,30311,-8403,18292,-11093,30312,-8404,-1,-2,-1,1,0.0,-13.0,3.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.979065477848053,-0.380620539188385,0.12596862018108368,-0.8659888505935669
16,12546,18354,-11024,30395,-8538,18354,-11023,30395,-8540,0,-1,0,2,0.0,11.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.42098158597946167,0.47947919368743896,0.5634844303131104,-0.906373918056488
17,12547,18503,-11153,30381,-8430,18503,-11153,30382,-8429,0,0,-1,-1,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.995631754398346,-0.865382194519043,-0.0998741164803505,0.7262476682662964
18,12548,18501,-11178,30457,-8430,18502,-11177,30457,-8429,-1,-1,0,-1,-13.0,-12.0,16.0,-12.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.07333198189735413,-0.8358945250511169,0.5069444179534912,0.0014939296524971724
19,12549,18596,-11253,30454,-8437,18596,-11253,30455,-8433,0,0,-1,-4,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.6389570832252502,-0.5002180933952332,-0.1299142688512802,-0.253106027841568
20,12550,18712,-11367,30428,-8466,18712,-11367,30429,-8463,0,0,-1,-3,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.7739085555076599,-0.760982096195221,-0.8895331621170044,-0.9903061389923096
21,12551,18840,-11459,30283,-8385,18840,-11458,30284,-8385,0,-1,-1,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8569973111152649,-0.6167596578598022,-0.9720811247825623,0.544542670249939
22,12552,18985,-11597,30262,-8403,18985,-11600,30262,-8400,0,3,0,-3,0.0,11.0,0.0,-15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9671448469161987,-0.9261838793754578,-0.7107372283935547,-0.6330007314682007
23,12553,19082,-11496,30369,-8547,19082,-11495,30369,-8550,0,-1,0,3,0.0,0.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.6485378742218018,0.6767668724060059,0.7194141149520874,-0.9637698531150818
24,12554,19209,-11568,30423,-8687,19209,-11566,30423,-8689,0,-2,0,2,0.0,-12.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8478426933288574,-0.4863579571247101,0.363094687461853,-0.933410108089447
25,12555,4261,-11461,30456,-8832,16984,-11459,30456,-8834,-12723,-2,0,2,-105.0,-12.0,15.0,15.0,5.1,5.2,5.2,5.1,24.0,22.0,23.0,23.0,0.9894856214523315,0.7158911228179932,0.22213657200336456,-0.9679872989654541
26,12556,14193,-11591,30600,-8977,14195,-11591,30599,-8976,-2,0,1,-1,0.0,0.0,17.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.5050630569458008,-0.8723941445350647,0.9607688188552856,-0.9707444310188293
27,12557,14313,-11626,30731,-9084,14313,-11624,30730,-9084,0,-2,1,0,0.0,-12.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8021239042282104,-0.2338484227657318,0.8796296715736389,-0.7154908776283264
28,12558,14315,-11751,30813,-9232,14313,-11750,30812,-9233,2,-1,1,1,13.0,0.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.013525018468499184,-0.833707332611084,0.5514240264892578,-0.9910626411437988
29,12559,14300,-11779,30914,-9355,14300,-11777,30914,-9355,0,-2,0,0,0.0,-11.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.5167413949966431,-0.940712034702301,0.6762760877609253,-0.8249014616012573
30,12560,14404,-11710,31032,-9307,14404,-11710,31032,-9307,0,0,0,0,0.0,0.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.6986846923828125,0.4640553593635559,0.7914157509803772,0.32092756032943726
31,12561,14538,-11814,31171,-9245,14538,-11813,31170,-9245,0,-1,1,0,0.0,0.0,15.0,13.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8992390632629395,-0.6996601819992065,0.9321041107177734,0.418905109167099
32,12562,14679,-11947,31160,-9257,14680,-11949,31161,-9253,-1,2,-1,-4,0.0,12.0,0.0,-15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9401010870933533,-0.890711784362793,-0.3975771963596344,-0.4004581868648529
33,12563,14704,-12095,31287,-9405,14705,-12097,31287,-9407,-1,2,0,2,0.0,12.0,16.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.17031563818454742,-0.991439700126648,0.8530352115631104,-0.9902684688568115
34,12564,14691,-12096,31271,-9432,14692,-12097,31272,-9428,-1,1,-1,-4,0.0,11.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.45383358001708984,-0.034125424921512604,-0.5428097248077393,-0.9037202000617981
35,12565,14705,-12075,31250,-9455,14706,-12078,31251,-9452,-1,3,-1,-3,0.0,12.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.09828457981348038,0.14352299273014069,-0.7166777849197388,-0.7900955080986023
36,12566,14838,-12207,31372,-9597,14838,-12207,31371,-9600,0,0,1,3,0.0,12.0,15.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8928824663162231,-0.8834153413772583,0.8156211376190186,-0.9478051662445068
37,12567,14903,-12141,31490,-9740,14903,-12140,31490,-9743,0,-1,0,3,0.0,0.0,0.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.4351176619529724,0.44080600142478943,0.7883474826812744,-0.9556493759155273
38,12568,15051,-12135,31544,-9883,15051,-12140,31543,-9885,0,5,1,2,0.0,12.0,0.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9897710084915161,0.0438464917242527,0.3641543388366699,-0.9594247937202454
39,12569,15198,-12192,31686,-9986,15198,-12188,31686,-9986,0,-4,0,0,0.0,-12.0,15.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9801494479179382,-0.3807307481765747,0.9495331048965454,-0.689302921295166
40,12570,15190,-12221,31788,-10117,15190,-12216,31788,-10116,0,-5,0,-1,0.0,-13.0,0.0,5.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.29478374123573303,-0.9778683185577393,0.6812582015991211,-0.8748995065689087
41,12571,15192,-12279,31818,-10221,15192,-12277,31817,-10222,0,-2,1,1,0.0,-12.0,14.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.016412990167737007,-0.38816961646080017,0.2059965431690216,-0.693612813949585
42,12572,15338,-12364,31881,-10241,15338,-12364,31881,-10238,0,0,0,-3,0.0,0.0,0.0,-15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9773845076560974,-0.5698023438453674,0.42602384090423584,-0.13949257135391235
43,12573,15460,2617,31732,-10186,15461,-10117,31733,-10190,-1,12734,-1,4,0.0,118.0,0.0,15.0,5.2,5.1,5.1,5.2,24.0,22.0,23.0,23.0,0.8190076351165771,-0.7840259075164795,-0.9947212934494019,0.3666824400424957
44,12574,15552,-7086,31827,-10192,15551,-7088,31827,-10190,1,2,0,-2,8.0,12.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.6151496171951294,0.8924086689949036,0.6352024674415588,-0.04075099155306816
