step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,393,-1259,4214,184,25548,-1259,4215,185,25546,0,-1,-1,2,0.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,33.0,30.0,26.0,23.0,-0.9627578258514404,0.5374606847763062,-0.09063895046710968,-0.7644549012184143
2,394,-1229,4252,261,25444,-1229,4252,261,25444,0,0,0,0,0.0,13.0,15.0,0.0,5.2,5.2,5.2,5.2,33.0,30.0,26.0,23.0,-0.25587770342826843,0.2561284899711609,0.5140371918678284,-0.6935595273971558
3,395,-1198,4180,391,25474,-1198,4179,387,25444,0,1,4,30,0.0,13.0,18.0,17.0,5.2,5.2,5.2,5.2,33.0,30.0,26.0,23.0,0.20860162377357483,-0.484915554523468,0.870964527130127,-0.8017282485961914
4,396,-1166,4173,361,25501,-1170,4172,360,25470,4,1,1,31,14.0,13.0,16.0,18.0,5.2,5.2,5.2,5.2,33.0,30.0,26.0,23.0,0.2184230536222458,-0.05177679657936096,-0.20176467299461365,0.18268097937107086
5,397,-1297,4227,482,25429,-1297,4207,472,25400,0,20,10,29,0.0,17.0,33.0,18.0,5.2,5.2,5.1,5.2,33.0,30.0,26.0,23.0,-0.8735506534576416,0.36274993419647217,0.8120532035827637,-0.4847572147846222
6,398,-1267,4363,485,25298,-1283,4325,480,25290,16,38,5,8,17.0,25.0,21.0,11.0,5.2,5.2,5.1,5.2,33.0,30.0,26.0,23.0,-0.9029364585876465,0.9109888076782227,0.024714848026633263,-0.8782296776771545
7,399,-1217,4486,516,25152,-1281,4370,506,25148,64,116,10,4,43.0,91.0,33.0,11.0,5.1,5.1,4.9,5.2,33.0,30.0,26.0,23.0,0.33805498480796814,0.8235178589820862,0.21181543171405792,-0.9740359783172607
8,400,-1117,4622,393,25042,-1256,4441,386,25042,139,181,7,0,128.0,183.0,24.0,12.0,5.1,5.0,5.0,4.8,33.0,30.0,26.0,23.0,0.6724258661270142,0.9090886116027832,-0.822525143623352,-0.7381349802017212
9,401,-1265,4482,508,24922,-1306,4433,498,24919,41,49,10,3,27.0,31.0,35.0,11.0,5.2,5.2,5.1,5.2,33.0,30.0,26.0,23.0,-0.9911573529243469,-0.9335641264915466,0.7725725173950195,-0.8020952343940735
10,402,-1277,4469,452,24774,-1305,4435,451,24769,28,34,1,5,20.0,23.0,16.0,11.0,5.2,5.2,5.2,5.2,33.0,30.0,26.0,23.0,-0.08165990561246872,-0.08964403718709946,-0.3744663894176483,-0.9867573976516724
11,403,-1166,4556,598,24875,-1303,4432,578,24876,137,124,20,-1,125.0,104.0,66.0,0.0,5.1,5.0,5.0,5.1,33.0,30.0,26.0,23.0,0.7401523590087891,0.5812098979949951,0.978182315826416,0.679071843624115
12,404,-1312,4517,670,24905,-1356,4432,656,24899,44,85,14,6,29.0,59.0,44.0,11.0,5.2,5.0,5.0,5.1,33.0,30.0,26.0,23.0,-0.9762536287307739,-0.26307663321495056,0.48653513193130493,-0.5351441502571106
13,405,-1313,4644,793,24838,-1380,4431,769,24847,67,213,24,-9,45.0,234.0,81.0,-12.0,5.0,4.9,4.8,5.0,33.0,30.0,26.0,23.0,-0.01146089006215334,0.8487052917480469,0.8257913589477539,-0.4484390318393707
14,406,-1313,4756,671,24713,-1381,4500,663,24709,68,256,8,4,45.0,319.0,25.0,12.0,5.0,4.6,4.7,5.1,33.0,30.0,26.0,23.0,0.004688332788646221,0.7526625394821167,-0.8195258378982544,-0.8398175835609436
15,407,-1317,4776,698,24590,-1381,4500,668,24588,64,276,30,2,42.0,343.0,103.0,10.0,5.1,4.4,4.4,5.1,32.0,30.0,26.0,23.0,-0.030828889459371567,0.2553808391094208,0.18234649300575256,-0.8253915309906006
16,408,-1274,4815,563,24579,-1381,4558,557,24586,107,257,6,-7,85.0,315.0,23.0,-12.0,5.0,4.8,4.8,4.9,32.0,30.0,26.0,23.0,0.2912563681602478,0.5297516584396362,-0.9055323600769043,-0.07455262541770935
17,409,-1212,4762,699,24481,-1384,4556,665,24485,172,206,34,-4,175.0,217.0,131.0,-12.0,4.9,4.8,4.6,4.9,32.0,31.0,26.0,23.0,0.4144262671470642,-0.35980424284935,0.9098018407821655,-0.6558421850204468
18,410,-1223,4850,555,24612,-1381,4560,550,24615,158,290,5,-3,151.0,369.0,20.0,-11.0,5.0,4.8,4.4,4.8,33.0,31.0,26.0,23.0,-0.0738200843334198,0.5922995805740356,-0.9664403796195984,0.8780122995376587
19,411,-1365,4884,407,24619,-1425,4662,400,24615,60,222,7,4,40.0,246.0,24.0,11.0,5.1,4.7,4.9,5.1,33.0,31.0,26.0,23.0,-0.9500622153282166,0.4961385726928711,-0.9931411147117615,0.0513872466981411
