step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,1001,1286,2042,5541,-1967,1277,2033,5462,-2311,9,9,79,344,13.0,14.0,372.0,426.0,4.6,4.9,4.6,4.7,24.0,24.0,59.0,51.0,-0.3160197138786316,0.17743445932865143,-0.057101354002952576,0.85969078540802
2,1002,1148,2155,5553,-1976,1149,2156,5462,-2311,-1,-1,91,335,0.0,3.0,443.0,410.0,4.7,4.5,4.5,5.0,24.0,24.0,59.0,51.0,-0.9235826730728149,0.7577894330024719,0.8127267360687256,-0.1059492900967598
3,1003,1178,2185,5542,-2019,1175,2179,5462,-2311,3,6,80,292,12.0,14.0,378.0,325.0,4.8,4.8,4.6,4.7,24.0,24.0,59.0,51.0,0.07608171552419662,-0.8673527836799622,-0.6742211580276489,0.775574803352356
4,1004,1288,2042,5530,-1998,1283,2040,5462,-2311,5,2,68,313,13.0,13.0,308.0,365.0,5.0,5.0,4.7,4.8,24.0,24.0,59.0,51.0,0.7381556034088135,-0.9570587277412415,-0.5651232004165649,0.47022292017936707
5,1005,1320,2083,5514,-1964,1311,2079,5462,-2311,9,4,52,347,14.0,12.0,218.0,435.0,5.0,4.9,5.0,4.7,24.0,24.0,59.0,51.0,0.21832093596458435,0.2739086449146271,-0.7506299614906311,0.8587278723716736
6,1006,1185,1941,5535,-1932,1186,1939,5462,-2311,-1,2,73,379,-13.0,13.0,337.0,497.0,4.6,4.5,4.7,4.9,24.0,24.0,59.0,51.0,-0.9040094017982483,-0.9495702385902405,0.9614651799201965,0.9488926529884338
7,1007,1259,1817,5546,-1905,1257,1821,5462,-2311,2,-4,84,406,12.0,-13.0,400.0,549.0,4.5,4.9,4.5,4.6,24.0,24.0,59.0,52.0,0.49679678678512573,-0.8289724588394165,0.9780296087265015,0.8949919939041138
8,1008,1261,1677,5535,-1943,1257,1675,5462,-2311,4,2,73,368,13.0,13.0,339.0,470.0,4.5,4.9,4.7,4.5,24.0,24.0,59.0,52.0,0.014908937737345695,-0.9392699599266052,0.9546177387237549,-0.48496729135513306
9,1009,1141,1567,5520,-2012,1143,1568,5462,-2311,-2,-1,58,299,-13.0,-13.0,253.0,336.0,4.8,5.0,5.0,5.1,24.0,24.0,59.0,52.0,-0.8051735162734985,-0.7353119850158691,-0.6903457045555115,-0.9139183163642883
10,1010,1136,1460,5539,-2066,1139,1462,5462,-2311,-3,-2,77,245,-13.0,-13.0,366.0,243.0,4.8,4.9,4.7,4.9,24.0,24.0,59.0,52.0,-0.03689422830939293,-0.7187899351119995,0.859216570854187,-0.7096401453018188
11,1011,1135,1327,5541,-2026,1139,1327,5462,-2311,-4,0,79,285,-13.0,12.0,376.0,311.0,5.0,4.6,4.8,5.0,24.0,24.0,59.0,52.0,-0.007072360720485449,-0.8929901719093323,0.17276576161384583,0.5353350043296814
12,1012,1217,1181,5528,-2093,1217,1179,5462,-2311,0,2,66,218,6.0,12.0,299.0,205.0,5.1,4.9,4.5,5.0,24.0,24.0,59.0,52.0,0.5480601787567139,-0.9785107374191284,-0.5979229211807251,-0.8835884928703308
13,1013,1247,1034,5519,-2093,1247,1031,5462,-2311,0,3,57,218,0.0,13.0,248.0,206.0,5.1,4.7,5.0,4.9,24.0,24.0,59.0,51.0,0.10127445310354233,-0.9823756814002991,-0.4441162347793579,-0.004128686152398586
14,1014,1277,920,5541,-2153,1274,923,5462,-2311,3,-3,79,158,12.0,-14.0,378.0,122.0,4.9,5.0,4.8,5.1,24.0,24.0,59.0,51.0,-0.8787410259246826,-0.763161838054657,0.979936957359314,-0.6956671476364136
15,1015,1402,792,5534,-2116,1389,792,5462,-2311,13,0,72,195,15.0,2.0,338.0,171.0,4.8,5.0,4.3,4.9,24.0,24.0,59.0,51.0,0.8358185887336731,-0.8535627126693726,-0.3160540461540222,0.43226462602615356
16,1016,1407,822,5542,-2040,1390,815,5462,-2311,17,7,80,271,16.0,14.0,381.0,291.0,5.0,4.6,4.8,4.9,24.0,24.0,59.0,51.0,0.03551537171006203,-0.9862006306648254,0.506744384765625,0.8818306922912598
17,1017,1526,695,5556,-2117,1505,696,5462,-2312,21,-1,94,195,17.0,-13.0,466.0,170.0,5.0,4.7,4.7,4.8,24.0,24.0,59.0,51.0,0.7950956225395203,-0.8497555255889893,0.9854212403297424,-0.8856229782104492
18,1018,1432,623,5564,-2163,1431,629,5462,-2312,1,-6,102,149,13.0,-15.0,516.0,113.0,4.9,4.7,4.0,5.1,24.0,24.0,59.0,51.0,-0.627642035484314,-0.48164674639701843,0.7121257781982422,-0.5308598279953003
19,1019,1536,718,5553,-2087,1512,713,5462,-2312,24,5,91,225,17.0,13.0,448.0,218.0,5.0,4.9,4.8,5.0,24.0,24.0,59.0,51.0,0.6972275376319885,0.6366567611694336,0.8551392555236816,0.8814947605133057
20,1020,1471,612,5552,-2171,1469,615,5462,-2312,2,-3,90,141,13.0,-14.0,441.0,104.0,5.1,4.8,4.8,5.1,24.0,24.0,59.0,51.0,-0.4337494671344757,-0.7098616361618042,-0.0748211219906807,-0.9752627611160278
21,1021,1364,474,5552,-2253,1363,474,5472,-2333,1,0,80,80,13.0,13.0,383.0,47.0,5.2,4.9,4.7,5.2,24.0,24.0,59.0,51.0,-0.7156811952590942,-0.9251015782356262,0.05462656915187836,-0.945351779460907
22,1022,1276,340,5542,-2185,1276,339,5472,-2333,0,1,70,148,3.0,12.0,325.0,115.0,5.0,4.7,4.4,5.1,24.0,24.0,60.0,51.0,-0.5880827903747559,-0.8946047425270081,-0.47297152876853943,0.7868424654006958
23,1023,1306,358,5530,-2105,1301,348,5472,-2333,5,10,58,228,14.0,13.0,255.0,225.0,5.0,4.7,4.9,5.1,24.0,24.0,60.0,50.0,-0.1240181252360344,0.12416580319404602,-0.5375654101371765,0.9202136397361755
24,1024,1245,225,5551,-2154,1245,226,5472,-2333,0,-1,79,179,0.0,0.0,378.0,153.0,4.9,4.9,4.2,5.1,24.0,24.0,59.0,50.0,-0.410839319229126,-0.8888229131698608,0.9769455790519714,-0.5030471086502075
25,1025,1347,255,5550,-2174,1339,249,5472,-2333,8,6,78,159,14.0,14.0,372.0,127.0,5.0,5.0,4.2,5.1,24.0,24.0,59.0,50.0,0.6844408512115479,-0.9553205370903015,-0.07320229709148407,-0.21457400918006897
26,1026,1324,299,5543,-2151,1325,292,5472,-2333,-1,7,71,182,0.0,13.0,330.0,158.0,5.1,5.0,4.9,5.2,24.0,24.0,59.0,50.0,-0.15834841132164001,0.29349440336227417,-0.34850192070007324,0.24020907282829285
27,1027,1354,158,5547,-2091,1343,159,5472,-2333,11,-1,75,242,15.0,0.0,353.0,249.0,5.1,4.8,4.2,5.1,24.0,24.0,59.0,50.0,-0.8611516356468201,-0.9411302804946899,0.24440866708755493,0.6205484867095947
28,1028,1498,188,5561,-2133,1481,179,5475,-2334,17,9,86,201,16.0,13.0,413.0,184.0,5.0,5.0,4.6,5.0,24.0,24.0,59.0,50.0,0.9612055420875549,-0.9540839791297913,0.8999192714691162,-0.4308895468711853
29,1029,1400,74,5540,-2063,1400,76,5476,-2334,0,-2,64,271,0.0,-12.0,287.0,299.0,4.8,5.0,4.9,5.1,24.0,24.0,59.0,50.0,-0.6542550325393677,-0.7634555101394653,-0.9483466744422913,0.7250431180000305
30,1030,1430,52,5529,-2082,1415,58,5476,-2334,15,-6,53,252,16.0,-13.0,224.0,266.0,5.1,5.1,5.0,4.8,24.0,24.0,59.0,50.0,-0.5120701193809509,-0.1498621106147766,-0.5176008939743042,-0.20098677277565002
31,1031,1569,70,5528,-2125,1547,63,5476,-2335,22,7,52,210,17.0,13.0,222.0,197.0,5.1,4.8,4.9,5.1,24.0,24.0,59.0,50.0,0.9280195832252502,0.121452197432518,-0.051580507308244705,-0.44198814034461975
32,1032,1517,-79,5534,-2145,1515,-81,5476,-2335,2,2,58,190,13.0,12.0,258.0,169.0,5.0,5.0,5.0,5.0,24.0,24.0,59.0,50.0,-0.34937405586242676,-0.9970607757568359,0.2960900068283081,-0.20702742040157318
33,1033,1611,-131,5551,-2123,1584,-123,5476,-2335,27,-8,75,212,20.0,-14.0,356.0,202.0,5.1,4.5,4.7,5.0,24.0,24.0,59.0,49.0,0.6296428442001343,-0.35021695494651794,0.7985450625419617,0.20580582320690155
34,1034,1628,-275,5534,-2217,1598,-277,5476,-2336,30,2,58,119,20.0,13.0,259.0,82.0,5.2,5.0,4.6,5.0,24.0,24.0,59.0,49.0,0.11411973834037781,-0.9604146480560303,-0.7936109900474548,-0.8788684010505676
35,1035,1545,-298,5529,-2250,1544,-291,5476,-2343,1,-7,53,93,13.0,-14.0,227.0,59.0,5.1,5.1,4.9,5.1,24.0,24.0,59.0,49.0,-0.5534051656723022,-0.15767548978328705,-0.24099402129650116,-0.3102046549320221
36,1036,1532,-345,5539,-2305,1531,-340,5484,-2367,1,-5,55,62,13.0,-13.0,242.0,35.0,5.2,5.1,4.9,5.2,24.0,24.0,59.0,49.0,-0.09008587896823883,-0.31651148200035095,0.4753728210926056,-0.5093210339546204
37,1037,1434,-463,5524,-2338,1433,-463,5484,-2378,1,0,40,40,13.0,12.0,157.0,25.0,5.2,5.0,5.1,5.2,24.0,24.0,59.0,49.0,-0.6586184501647949,-0.7891917824745178,-0.6926532983779907,-0.3066192865371704
38,1038,1464,-484,5513,-2414,1457,-478,5496,-2430,7,-6,17,16,14.0,-12.0,54.0,17.0,5.2,5.2,5.2,5.2,24.0,24.0,58.0,49.0,-0.1480671763420105,-0.14229510724544525,-0.5320168733596802,-0.7065706849098206
39,1039,1340,-569,5528,-2421,1339,-566,5505,-2433,1,-3,23,12,13.0,-13.0,74.0,16.0,5.2,5.2,5.2,5.2,24.0,24.0,58.0,49.0,-0.826866090297699,-0.5679622888565063,0.679338812828064,-0.06640678644180298
40,1040,1275,-709,5528,-2373,1275,-713,5505,-2433,0,4,23,60,0.0,13.0,77.0,36.0,5.2,5.2,5.1,5.2,24.0,24.0,58.0,48.0,-0.4394625127315521,-0.9338846206665039,-0.0288944561034441,0.45142805576324463
41,1041,1305,-691,5545,-2469,1303,-696,5533,-2478,2,5,12,9,13.0,13.0,37.0,15.0,5.2,5.2,5.2,5.2,24.0,24.0,57.0,48.0,-0.25041505694389343,0.12291719019412994,0.761235773563385,-0.8117251992225647
42,1042,1373,-682,5549,-2368,1367,-691,5533,-2466,6,9,16,98,14.0,13.0,50.0,65.0,5.2,5.2,5.1,5.2,24.0,24.0,57.0,48.0,0.4590851962566376,0.06361186504364014,0.1908319592475891,0.8601816296577454
43,1043,1445,-669,5566,-2409,1436,-673,5536,-2467,9,4,30,58,15.0,13.0,106.0,41.0,5.2,5.2,5.1,5.2,24.0,24.0,57.0,48.0,0.4835672974586487,0.09261296689510345,0.7664745450019836,-0.3507469594478607
44,1044,1462,-807,5568,-2317,1450,-809,5536,-2460,12,2,32,143,15.0,12.0,118.0,116.0,5.0,5.0,5.0,5.2,24.0,24.0,57.0,48.0,0.11441647261381149,-0.9217910170555115,0.08910516649484634,0.777202844619751
45,1045,1342,-955,5585,-2290,1342,-956,5545,-2461,0,1,40,171,13.0,12.0,158.0,152.0,4.9,5.1,5.0,5.1,24.0,24.0,57.0,48.0,-0.8013726472854614,-0.9884660243988037,0.7683894634246826,0.23126913607120514
46,1046,1306,-931,5602,-2321,1307,-938,5556,-2461,-1,7,46,140,0.0,13.0,190.0,112.0,5.0,5.1,5.0,5.2,24.0,24.0,57.0,48.0,-0.24481213092803955,0.16208893060684204,0.7741571664810181,-0.26542454957962036
