step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,2,3225,198,554,8638,3225,199,555,8637,0,-1,-1,1,0.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,40.0,32.0,23.0,23.0,-0.3626168966293335,-0.2662922739982605,-0.2497461438179016,-0.7634291052818298
2,3,3255,274,692,8520,3254,274,691,8519,1,0,1,1,13.0,0.0,23.0,10.0,5.2,5.2,5.2,5.2,40.0,32.0,23.0,23.0,-0.6034331321716309,0.5113908052444458,0.9219626188278198,-0.791201651096344
3,4,3303,351,647,8417,3303,351,647,8416,0,0,0,1,0.0,0.0,0.0,10.0,5.2,5.2,5.2,5.2,40.0,32.0,23.0,23.0,0.3243195414543152,0.5192316174507141,-0.3054165542125702,-0.687647819519043
4,5,3448,381,791,8430,3436,381,787,8412,12,0,4,18,14.0,0.0,24.0,15.0,5.2,5.2,5.2,5.2,40.0,32.0,23.0,23.0,0.9715059995651245,0.0969686210155487,0.9621900916099548,0.09005609899759293
5,6,3376,442,923,8291,3376,442,921,8285,0,0,2,6,6.0,0.0,22.0,11.0,5.2,5.2,5.2,5.2,39.0,32.0,23.0,23.0,-0.4862252473831177,0.4095037579536438,0.8849133253097534,-0.9324159622192383
6,7,3384,472,921,8227,3378,468,921,8230,6,4,0,-3,15.0,14.0,0.0,-11.0,5.2,5.2,5.2,5.2,39.0,32.0,23.0,23.0,0.057349611073732376,-0.8064433336257935,-0.01679740846157074,-0.42719465494155884
7,8,3428,603,951,8167,3380,527,948,8169,48,76,3,-2,32.0,53.0,24.0,-12.0,5.2,5.1,5.1,5.2,39.0,32.0,23.0,23.0,0.2960570156574249,0.879569411277771,-0.691392183303833,-0.4019449055194855
8,9,3570,613,1008,8023,3411,526,1001,8021,159,87,7,2,156.0,62.0,31.0,12.0,5.1,5.0,5.1,4.9,39.0,32.0,23.0,23.0,0.951663613319397,0.0733238011598587,0.3828277885913849,-0.9614790081977844
9,10,3606,598,1119,7945,3412,525,1111,7948,194,73,8,-3,212.0,51.0,31.0,-12.0,4.7,5.1,5.1,4.8,39.0,32.0,23.0,23.0,0.24183005094528198,-0.10442769527435303,0.7455676794052124,-0.5200880169868469
10,11,3637,591,980,7918,3439,525,978,7925,198,66,2,-7,216.0,44.0,22.0,-13.0,4.7,5.1,5.1,5.1,39.0,31.0,23.0,23.0,0.20984351634979248,-0.049596428871154785,-0.9318996667861938,-0.1821538656949997
