step,action_count,cube_x,cube_y,dist_to_goal_x,dist_to_goal_y,dist_to_goal,vx_actual,vy_actual,v_error,velocity_reward,obs_cube_x_norm,obs_cube_y_norm,obs_cube_yaw_norm,obs_goal_x_norm,obs_goal_y_norm,obs_motor_16_pos_delta_norm,obs_motor_17_pos_delta_norm,obs_motor_18_pos_delta_norm,obs_motor_19_pos_delta_norm,obs_motor_16_current_norm,obs_motor_17_current_norm,obs_motor_18_current_norm,obs_motor_19_current_norm,obs_horizontal_tension_norm,obs_vertical_tension_norm,obs_total_tension_norm,obs_motor_16_target_error_norm,obs_motor_17_target_error_norm,obs_motor_18_target_error_norm,obs_motor_19_target_error_norm,action_m16,action_m17,action_m18,action_m19,total_safety_penalty
1,2233,-0.2538371351099693,-0.6734861676463795,-0.1348371351099693,-0.14548616764637945,0.19836148310872892,0.0,0.0,0.0,0.0,0.5742282867431641,0.06245351582765579,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0,0.0,9.13600015337579e-05,0.00011420000373618677,9.13600015337579e-05,7.994000043254346e-05,0.017999999225139618,0.014999999664723873,0.032999999821186066,0.0,0.0,0.0,0.0,-0.3057914972305298,-0.7058285474777222,-0.5674834251403809,-0.7913302183151245,0.0
2,2234,-0.25213652254773145,-0.6742780922071899,-0.13313652254773145,-0.1462780922071899,0.19779437276089973,0.0,0.0,0.0,0.0,0.5724717974662781,0.06188785284757614,-1.0,0.8860465288162231,0.3084745705127716,-0.005625000223517418,-0.013124999590218067,-0.010625000111758709,-0.014750000089406967,0.0,7.423000351991504e-05,-3.425999966566451e-05,7.423000351991504e-05,0.006500000134110451,0.009499999694526196,0.01600000075995922,0.0,0.0,0.0,0.0,-0.02912859432399273,0.3486135005950928,-0.7037622332572937,0.01725754141807556,-0.1359469
3,2235,-0.25309729043735657,-0.6740988923309198,-0.13409729043735658,-0.14609889233091977,0.19831028627623543,0.000462402920382958,-0.0003829529278377014,0.005475810315336694,0.131948398718136,0.5764266848564148,0.060545604676008224,-1.0,0.8860465288162231,0.3084745705127716,-0.002624999964609742,-0.007375000044703484,-0.006874999962747097,-0.014499999582767487,7.423000351991504e-05,7.994000043254346e-05,2.2840000383439474e-05,7.994000043254346e-05,0.013500000350177288,0.008999999612569809,0.02250000089406967,0.001500000013038516,0.001500000013038516,0.0,0.0,-0.8353688716888428,-0.33157289028167725,-0.9352098703384399,-0.8301020264625549,-0.1362252
4,2236,-0.2518980504826576,-0.6744683321535818,-0.13289805048265763,-0.1464683321535818,0.19777478136997897,0.0001490450406711405,-0.0001188999664949314,0.005150417656160766,0.1385484142936696,0.5741923451423645,0.06084933504462242,-1.0,0.8860465288162231,0.3084745705127716,-0.017500000074505806,-0.012625000439584255,-0.0031250000465661287,-0.029999999329447746,6.851999933132902e-05,0.0,0.0,0.0,0.006000000052154064,0.0,0.006000000052154064,0.0,-0.0002500000118743628,0.0,0.0,0.7346399426460266,-0.648705005645752,0.2645229995250702,0.12515975534915924,-0.11082544
5,2237,-0.2521136801988539,-0.6746518878772099,-0.1331136801988539,-0.14665188787720984,0.19805561863787777,0.0006147563990641786,-0.0003456222164312933,0.00562538391021653,0.12902096210825936,0.5769813060760498,0.06022316589951515,-1.0,0.8860465288162231,0.3084745705127716,-0.003874999936670065,-0.00912499986588955,0.0016250000335276127,-0.026374999433755875,7.423000351991504e-05,6.28100024187006e-05,9.13600015337579e-05,7.994000043254346e-05,0.012000000104308128,0.014999999664723873,0.027000000700354576,0.0002500000118743628,0.0002500000118743628,0.0002500000118743628,0.0002500000118743628,0.08616852760314941,0.08932501077651978,-0.041991859674453735,0.1926279217004776,0.0
6,2238,-0.2528357140837234,-0.6747246227774933,-0.1338357140837234,-0.14672462277749332,0.1985953506341422,-0.0005860397506661161,-0.0001601816399447037,0.004416865771163419,0.15466362678871512,0.5764797925949097,0.0599120557308197,-1.0,0.8860465288162231,0.3084745705127716,-0.0032500000670552254,-0.008249999955296516,0.0010000000474974513,-0.022624999284744263,7.994000043254346e-05,7.423000351991504e-05,0.0,0.0,0.013500000350177288,0.0,0.013500000350177288,0.0020000000949949026,0.0017500000540167093,0.0,-0.0002500000118743628,-0.718704104423523,-0.6177307367324829,-0.7881866693496704,0.7880294322967529,-0.118582405
7,2239,-0.2527014267030583,-0.6746078863019496,-0.1337014267030583,-0.14660788630194954,0.1984186075658194,-0.00036734156512775035,2.7500984537687234e-05,0.004632740061598918,0.14973565889276172,0.5748006701469421,0.0597887746989727,-1.0,0.8860465288162231,0.3084745705127716,-0.01549999974668026,-0.01887499913573265,0.004749999847263098,-0.00787500012665987,2.8550000934046693e-05,0.0,8.565000462112948e-05,-5.7100000958598685e-06,0.0024999999441206455,0.00800000037997961,0.010499999858438969,-0.0002500000118743628,0.0,0.0,-0.0002500000118743628,0.033141959458589554,0.4345219135284424,0.3263040781021118,-0.20125606656074524,-0.06817371
8,2240,-0.2529718342056983,-0.6744806973167775,-0.1339718342056983,-0.1464806973167775,0.19850704533302715,-8.507507623430749e-05,0.00015245341294739534,0.0049172887905198845,0.14347906787288814,0.5751129388809204,0.05998663231730461,-1.0,0.8860465288162231,0.3084745705127716,-0.011749999597668648,-0.010625000111758709,0.010625000111758709,-0.0043750000186264515,0.0,0.0,8.565000462112948e-05,5.7100000958598685e-06,0.0,0.00800000037997961,0.00800000037997961,-0.0002500000118743628,-0.0002500000118743628,0.0002500000118743628,0.0002500000118743628,0.8362187147140503,-0.9943978786468506,0.19179946184158325,-0.3354520797729492,-0.20758201
9,2241,-0.2552080542565044,-0.6732021548647771,-0.1362080542565044,-0.14520215486477706,0.19908867326324103,-0.001566642220903816,0.0008785821482328038,0.0035439881814805264,0.17629949896145342,0.57448410987854,0.060202207416296005,-1.0,0.8860465288162231,0.3084745705127716,0.000750000006519258,-0.008624999783933163,0.01412499975413084,-0.0005000000237487257,0.00010278000263497233,8.565000462112948e-05,8.565000462112948e-05,0.0,0.016499999910593033,0.007499999832361937,0.024000000208616257,0.006000000052154064,0.0032500000670552254,0.0002500000118743628,0.0,-0.7779600620269775,0.1412137746810913,-0.9857358336448669,-0.9978077411651611,-0.14373694
10,2242,-0.25427434162389445,-0.6706064277501598,-0.13527434162389446,-0.14260642775015975,0.19655976378048393,-0.0008140671363725954,0.0024214184791360865,0.004835835128485838,0.14524285527757913,0.5692836046218872,0.06236922740936279,-1.0,0.8860465288162231,0.3084745705127716,-0.010874999687075615,-0.0044999998062849045,-0.004124999977648258,0.003375000087544322,7.423000351991504e-05,7.423000351991504e-05,0.0,0.0,0.013000000268220901,0.0,0.013000000268220901,0.0002500000118743628,0.0002500000118743628,0.0,-0.0002500000118743628,-0.5008426904678345,0.3144906461238861,-0.5238096714019775,-0.28267574310302734,-0.14477825
