step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,3401,24161,16176,3593,23103,24160,16144,3592,23070,1,32,1,33,13.0,20.0,15.0,22.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,25.0,-0.04683464765548706,0.8955341577529907,-0.3837796747684479,0.35305044054985046
2,3402,24206,16217,3615,23110,24177,16189,3612,23075,29,28,3,35,21.0,19.0,17.0,24.0,5.1,5.2,5.2,5.2,29.0,25.0,23.0,25.0,0.30647507309913635,0.2736647129058838,0.14782802760601044,0.05303599312901497
3,3403,24197,16192,3667,23076,24177,16189,3665,23075,20,3,2,1,18.0,12.0,17.0,14.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,25.0,-0.06363596767187119,-0.1673218458890915,0.3467392921447754,-0.22883301973342896
4,3404,24324,16334,3593,23211,24286,16304,3592,23169,38,30,1,42,26.0,19.0,16.0,26.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,25.0,0.8523733615875244,0.9504871368408203,-0.4939812421798706,0.9066382646560669
5,3405,24289,16337,3463,23244,24285,16304,3463,23199,4,33,0,45,14.0,20.0,15.0,30.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,25.0,-0.2382408082485199,0.02500930428504944,-0.8701927661895752,0.22344276309013367
6,3406,24418,16253,3589,23284,24374,16245,3587,23236,44,8,2,48,30.0,13.0,15.0,30.0,5.1,5.2,5.2,5.2,29.0,25.0,23.0,25.0,0.8619242906570435,-0.5606709718704224,0.8436210751533508,0.2715701162815094
7,3407,24322,16400,3635,23310,24315,16369,3632,23262,7,31,3,48,13.0,20.0,17.0,32.0,5.2,5.2,5.2,5.2,29.0,25.0,23.0,25.0,-0.6427715420722961,0.9802964329719543,0.30747854709625244,0.17726044356822968
