step,action_count,cube_x,cube_y,dist_to_goal_x,dist_to_goal_y,dist_to_goal,vx_actual,vy_actual,v_error,velocity_reward,obs_cube_x_norm,obs_cube_y_norm,obs_cube_yaw_norm,obs_goal_x_norm,obs_goal_y_norm,obs_motor_16_pos_delta_norm,obs_motor_17_pos_delta_norm,obs_motor_18_pos_delta_norm,obs_motor_19_pos_delta_norm,obs_motor_16_current_norm,obs_motor_17_current_norm,obs_motor_18_current_norm,obs_motor_19_current_norm,obs_horizontal_tension_norm,obs_vertical_tension_norm,obs_total_tension_norm,obs_motor_16_target_error_norm,obs_motor_17_target_error_norm,obs_motor_18_target_error_norm,obs_motor_19_target_error_norm,action_m16,action_m17,action_m18,action_m19,total_safety_penalty
1,4442,-0.4132514998098602,-0.4409763158738648,-0.2942514998098602,0.0870236841261352,0.3068502350320715,0.0,0.0,0.0,0.0,0.24263185262680054,0.43447819352149963,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0001250000059371814,0.0,0.0,7.994000043254346e-05,7.994000043254346e-05,6.28100024187006e-05,0.007000000216066837,0.012500000186264515,0.019500000402331352,0.0,0.0,-0.0002500000118743628,0.0,0.004349457565695047,-0.10258284956216812,0.13195157051086426,0.5588555932044983,-0.023478067
2,4443,-0.4117726958777171,-0.4388748374513521,-0.2927726958777171,0.08912516254864794,0.3060378180075612,0.0,0.0,0.0,0.0,0.20174069702625275,0.4559723436832428,-1.0,0.8860465288162231,0.3084745705127716,0.0036249998956918716,-0.0018749999580904841,0.001500000013038516,0.004000000189989805,6.28100024187006e-05,1.1420000191719737e-05,0.00014275001012720168,0.0001598800008650869,0.006500000134110451,0.026499999687075615,0.032999999821186066,0.0002500000118743628,0.0,0.0017500000540167093,0.012749999761581421,-0.4400962293148041,0.9793088436126709,-0.49453800916671753,0.4082929790019989,0.0
3,4444,-0.40957554129589324,-0.4421055286584303,-0.29057554129589325,0.08589447134156974,0.3030049593759962,0.0022974740712293495,-0.0007057579903534117,0.007331522499536665,0.09988845363302386,0.20517978072166443,0.4595341682434082,-1.0,0.8860465288162231,0.3084745705127716,-0.0044999998062849045,0.014999999664723873,-0.007249999791383743,0.010999999940395355,7.423000351991504e-05,7.994000043254346e-05,9.707000572234392e-05,0.0001827200030675158,0.013500000350177288,0.02449999935925007,0.03799999877810478,0.0,0.002749999985098839,0.000750000006519258,0.014000000432133675,0.8828096985816956,-0.4537653625011444,0.9556875228881836,0.7096179723739624,0.0
4,4445,-0.41573844066381366,-0.4397592724145398,-0.29673844066381366,0.0882407275854602,0.3095805681440666,-0.0024785904913103562,-0.0005527718519923383,0.0025812908845896446,0.2036878840266586,0.21028943359851837,0.454058438539505,-1.0,0.8860465288162231,0.3084745705127716,0.012125000357627869,0.006750000175088644,0.006124999839812517,0.011749999597668648,0.0,7.994000043254346e-05,0.0009136000298894942,0.0007651399937458336,0.007000000216066837,0.1469999998807907,0.15399999916553497,-0.0002500000118743628,0.0022499999031424522,0.009750000201165676,0.039000000804662704,0.501078724861145,-0.5809118747711182,-0.7145388722419739,-0.6101759076118469,0.0
5,4446,-0.40885697934792886,-0.4450037003369999,-0.28985697934792887,0.08299629966300015,0.3015053137748258,0.00044910121747773757,-0.0018113572991059965,0.005742274753383187,0.12677847367848671,0.19595710933208466,0.4580351412296295,-1.0,0.8860465288162231,0.3084745705127716,0.0215000007301569,-0.003000000026077032,-0.002749999985098839,0.012625000439584255,0.0,3.997000021627173e-05,0.00011420000373618677,0.0001884299999801442,0.0035000001080334187,0.026499999687075615,0.029999999329447746,-0.0002500000118743628,0.0,0.000750000006519258,0.014499999582767487,-0.05988852307200432,-0.910025954246521,0.5925253629684448,0.3081914484500885,-0.16438976
6,4447,-0.40611948182401586,-0.4491071843032256,-0.28711948182401587,0.07889281569677442,0.2977611009038229,0.0060118492748736235,-0.005842444930428611,0.012465752573255485,0.046243438733263614,0.21196050941944122,0.4491462707519531,-1.0,0.8860465288162231,0.3084745705127716,0.02512500062584877,-0.002374999923631549,0.004999999888241291,0.012249999679625034,0.0,0.00011420000373618677,0.000616680015809834,0.00042254000436514616,0.009999999776482582,0.09099999815225601,0.10100000351667404,0.0,0.0062500000931322575,0.007249999791383743,0.026750000193715096,-0.9777563214302063,-0.44928354024887085,0.01898876577615738,0.7602269053459167,-0.14133076
7,4448,-0.4061917940690911,-0.45090852429414857,-0.2871917940690911,0.07709147570585145,0.2973587432834776,0.0016657407992735906,-0.0036905149732179357,0.007619186385083797,0.09566997581496721,0.21832679212093353,0.4421912133693695,-1.0,0.8860465288162231,0.3084745705127716,0.028750000521540642,-0.00800000037997961,0.004999999888241291,0.012749999761581421,9.13600015337579e-05,7.423000351991504e-05,0.0006794900400564075,0.0012847500620409846,0.014499999582767487,0.1720000058412552,0.18649999797344208,0.0002500000118743628,0.000750000006519258,0.00774999987334013,0.054249998182058334,0.8873476982116699,-0.40523967146873474,0.678264856338501,0.3314588963985443,-0.040695895
8,4449,-0.4067563619674811,-0.4547735275292786,-0.2877563619674811,0.07322647247072145,0.2969273313847436,-0.00039805008966577876,-0.0035414645162831077,0.005806885042543678,0.12555572931257192,0.21815861761569977,0.4391380846500397,-1.0,0.8860465288162231,0.3084745705127716,0.045499999076128006,-0.01575000025331974,0.009999999776482582,0.012625000439584255,1.1420000191719737e-05,7.994000043254346e-05,0.0009878299897536635,0.0018043600721284747,0.00800000037997961,0.24449999630451202,0.2524999976158142,0.0,0.0012499999720603228,0.010250000283122063,0.06674999743700027,0.07823023945093155,-0.4677243232727051,-0.34705331921577454,0.9485616683959961,-0.06724617
9,4450,-0.3996371650619366,-0.46229659420074204,-0.2806371650619366,0.06570340579925799,0.2882258766100341,0.004096643129471583,-0.007117543691620917,0.011550253002730947,0.05305051242232216,0.21684567630290985,0.43258723616600037,-1.0,0.8860465288162231,0.3084745705127716,0.04924999922513962,-0.02449999935925007,0.007000000216066837,0.01924999989569187,2.2840000383439474e-05,8.565000462112948e-05,0.00022840000747237355,0.002101280028000474,0.009499999694526196,0.20399999618530273,0.2134999930858612,0.0,0.0012499999720603228,0.0032500000670552254,0.07249999791383743,-0.7323517203330994,-0.8795151710510254,0.9638465046882629,0.9200716018676758,-0.05878154
10,4451,-0.4011252183980606,-0.4611482013795025,-0.2821252183980606,0.0668517986204975,0.28993758265348935,0.0035194647308878224,-0.003984171156389965,0.009405046470073994,0.07318756314526294,0.23340193927288055,0.41983628273010254,-1.0,0.8860465288162231,0.3084745705127716,0.035624999552965164,-0.04125000163912773,0.016875000670552254,0.01875000074505806,0.0,8.565000462112948e-05,0.0022497400641441345,0.002832160098478198,0.007499999832361937,0.4449999928474426,0.45249998569488525,0.0,0.0020000000949949026,0.019500000402331352,0.08950000256299973,-0.3671482801437378,-0.051951710134744644,0.7695133686065674,0.7139659523963928,-0.29658112
