step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,3367,377,640,15170,7364,373,610,15170,7363,4,30,0,1,16.0,20.0,0.0,11.0,5.2,5.2,5.2,5.2,28.0,29.0,24.0,26.0,-0.5913734436035156,0.9160248637199402,-0.05493380129337311,-0.15517306327819824
2,3368,467,784,15147,7486,395,652,15147,7399,72,132,0,87,67.0,117.0,0.0,60.0,5.0,5.2,5.0,5.1,28.0,29.0,24.0,26.0,0.602795422077179,0.9635083079338074,-0.1547652781009674,0.8165304660797119
3,3369,424,893,15082,7368,395,693,15083,7343,29,200,-1,25,26.0,273.0,0.0,18.0,5.1,5.1,4.7,5.1,28.0,29.0,24.0,26.0,-0.2923683524131775,0.7270219326019287,-0.43966877460479736,-0.7882891297340393
4,3370,301,870,14974,7451,282,741,14974,7383,19,129,0,68,20.0,111.0,0.0,43.0,5.2,5.1,5.1,5.1,28.0,29.0,24.0,26.0,-0.8231151700019836,-0.15451472997665405,-0.7221758365631104,0.5598523616790771
5,3371,186,833,14850,7362,181,788,14851,7359,5,45,-1,3,17.0,29.0,0.0,12.0,5.2,5.2,5.2,5.2,28.0,29.0,24.0,26.0,-0.7722364664077759,-0.25027722120285034,-0.8308531045913696,-0.5984246730804443
6,3372,305,975,14831,7340,215,828,14831,7320,90,147,0,20,83.0,137.0,0.0,16.0,5.2,5.2,4.9,5.1,28.0,29.0,24.0,26.0,0.7997429370880127,0.9528149366378784,-0.6461721658706665,-0.763958215713501
7,3373,359,861,14697,7367,252,813,14697,7319,107,48,0,48,93.0,30.0,0.0,30.0,5.0,5.2,5.1,5.0,28.0,29.0,24.0,26.0,0.36418190598487854,-0.7657710909843445,-0.8940997123718262,0.1836414337158203
8,3374,459,851,14583,7496,316,782,14584,7345,143,69,-1,151,141.0,45.0,-12.0,138.0,4.9,5.2,5.2,4.8,28.0,29.0,24.0,26.0,0.6711568832397461,-0.06776683032512665,-0.7663043141365051,0.86005699634552
9,3375,337,821,14462,7628,296,734,14463,7459,41,87,-1,169,31.0,61.0,0.0,167.0,4.8,5.2,5.1,5.2,28.0,29.0,24.0,26.0,-0.8189792037010193,-0.20117320120334625,-0.81280517578125,0.8820682764053345
10,3376,317,969,14382,7671,285,735,14382,7460,32,234,0,211,25.0,283.0,0.0,235.0,5.0,4.9,5.0,4.7,28.0,29.0,24.0,27.0,-0.13786329329013824,0.9928855895996094,-0.5345332622528076,0.28782838582992554
11,3377,321,1010,14255,7640,285,735,14255,7460,36,275,0,180,27.0,362.0,0.0,181.0,4.8,4.7,4.6,5.1,28.0,29.0,24.0,27.0,0.03182603791356087,0.33478105068206787,-0.847801685333252,-0.2116527110338211
12,3378,290,968,14124,7491,267,736,14125,7457,23,232,-1,34,22.0,275.0,0.0,22.0,5.2,4.8,5.0,5.2,28.0,29.0,24.0,27.0,-0.21244099736213684,-0.2817147970199585,-0.876011848449707,-0.9979428052902222
13,3379,182,1015,14096,7480,150,818,14097,7456,32,197,-1,24,27.0,213.0,0.0,17.0,5.1,5.0,4.9,5.1,28.0,29.0,24.0,27.0,-0.7251772880554199,0.36810413002967834,-0.9337700605392456,-0.37579649686813354
14,3380,115,1146,14077,7462,81,892,14078,7428,34,254,-1,34,28.0,318.0,0.0,21.0,5.1,5.0,4.7,5.1,28.0,29.0,23.0,27.0,-0.4505242109298706,0.9023911356925964,-0.6465389728546143,-0.6083754301071167
15,3381,58,1185,13962,7588,22,924,13963,7450,36,261,-1,138,29.0,335.0,-6.0,120.0,5.0,4.9,4.6,5.1,28.0,29.0,23.0,27.0,-0.38040053844451904,0.3430000841617584,-0.770025372505188,0.845946192741394
