step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,342,-1569,13247,-1427,5267,-1569,13247,-1427,5263,0,0,0,4,0.0,0.0,0.0,12.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,0.6775490045547485,0.9921205043792725,-0.38970980048179626,0.03930703178048134
2,343,-1655,13396,-1450,5257,-1655,13397,-1450,5257,0,-1,0,0,0.0,-7.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.5755122900009155,0.9940600991249084,-0.7979862689971924,-0.3628251850605011
3,344,-1699,13396,-1362,5391,-1698,13396,-1364,5387,-1,0,2,4,0.0,-10.0,23.0,12.0,5.2,5.2,5.2,5.2,26.0,29.0,23.0,24.0,-0.29822733998298645,0.000935136980842799,0.5904147624969482,0.8948352336883545
4,345,-1780,13433,-1386,5420,-1781,13433,-1386,5412,1,0,0,8,0.0,0.0,0.0,13.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.5444677472114563,0.25092408061027527,-0.16615712642669678,0.1942593902349472
5,346,-1917,13547,-1411,5406,-1917,13548,-1411,5407,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.9168314933776855,0.7638677954673767,-0.8395525217056274,-0.4809258282184601
6,347,-1994,13693,-1440,5382,-1994,13693,-1440,5383,0,0,0,-1,11.0,0.0,0.0,-5.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.5198915600776672,0.977137565612793,-0.9709274768829346,-0.822819173336029
7,348,-2007,13773,-1466,5366,-2006,13773,-1466,5367,-1,0,0,-1,0.0,0.0,0.0,-3.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.08827490359544754,0.5356189608573914,-0.8967499732971191,-0.533559262752533
8,349,-1873,13918,-1481,5350,-1873,13920,-1480,5350,0,-2,-1,0,0.0,-1.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,0.8950200080871582,0.9721725583076477,-0.5139150023460388,-0.5365942120552063
9,350,-1934,13961,-1535,5411,-1935,13961,-1534,5411,1,0,-1,0,5.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.41124817728996277,0.2880910038948059,-0.36635690927505493,0.40962305665016174
10,351,-1963,13943,-1559,5383,-1963,13944,-1559,5384,0,-1,0,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,29.0,22.0,24.0,-0.9674351811408997,-0.6008139848709106,-0.8195903301239014,-0.9480253458023071
