step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,722,5854,1868,-1200,4151,5428,1736,-1201,4148,426,132,1,3,686.0,103.0,23.0,13.0,4.6,5.1,4.9,4.7,39.0,36.0,40.0,32.0,0.8048998117446899,-0.0518123134970665,-0.4680020809173584,0.7257288694381714
2,723,5857,1998,-1340,4104,5427,1736,-1339,4107,430,262,-1,-3,684.0,305.0,0.0,-14.0,4.2,4.7,4.6,4.4,40.0,36.0,39.0,32.0,0.5198580622673035,0.870625376701355,-0.9351795315742493,-0.31491371989250183
3,724,5863,1993,-1217,4014,5427,1736,-1218,4017,436,257,1,-3,693.0,294.0,21.0,-15.0,4.2,4.9,4.8,4.6,40.0,36.0,39.0,32.0,0.9659152626991272,-0.25555604696273804,0.8256877064704895,-0.6036901473999023
4,725,5865,1973,-1328,4132,5428,1736,-1327,4129,437,237,-1,3,696.0,257.0,-1.0,14.0,4.2,4.9,4.8,4.9,41.0,36.0,39.0,32.0,0.29062405228614807,-0.8936026096343994,-0.7412538528442383,0.7933148145675659
5,726,5871,1954,-1340,4106,5428,1736,-1338,4109,443,218,-2,-3,708.0,224.0,0.0,-15.0,4.2,4.8,4.8,4.5,41.0,36.0,39.0,32.0,0.8819239735603333,-0.88051438331604,-0.417270302772522,-0.8969808220863342
6,727,5875,1945,-1482,4126,5428,1736,-1481,4122,447,209,-1,4,713.0,210.0,0.0,15.0,4.3,5.0,5.0,4.5,42.0,36.0,39.0,32.0,0.717266321182251,-0.41649967432022095,-0.9475191831588745,0.13828706741333008
7,728,5878,1952,-1559,4259,5428,1736,-1559,4257,450,216,0,2,717.0,221.0,0.0,14.0,4.2,5.0,4.9,4.9,42.0,36.0,39.0,32.0,0.4644972085952759,0.3195509910583496,-0.5191987156867981,0.8895561695098877
8,729,5879,1959,-1431,4216,5427,1736,-1431,4220,452,223,0,-4,716.0,235.0,0.0,-15.0,4.2,5.0,4.8,4.4,42.0,36.0,39.0,32.0,0.2068471610546112,0.36202454566955566,0.8537288904190063,-0.2897886335849762
9,730,5866,1954,-1460,4201,5428,1736,-1460,4204,438,218,0,-3,681.0,225.0,0.0,-14.0,4.3,5.0,4.7,4.7,43.0,36.0,39.0,31.0,-0.6066232919692993,-0.23412510752677917,-0.9899002313613892,-0.5281949639320374
10,731,5855,1959,-1352,4334,5428,1736,-1352,4331,427,223,0,3,653.0,236.0,0.0,15.0,4.3,5.0,4.8,4.5,43.0,36.0,39.0,31.0,-0.5266767740249634,0.2502172589302063,0.7201372385025024,0.8898580074310303
11,732,5853,1979,-1378,4319,5428,1736,-1378,4323,425,243,0,-4,646.0,270.0,0.0,-14.0,4.4,4.8,5.0,4.6,43.0,37.0,39.0,31.0,-0.10593147575855255,0.982918918132782,-0.8728007674217224,-0.5025036334991455
12,733,5853,1967,-1262,4330,5428,1736,-1263,4325,425,231,1,5,646.0,248.0,8.0,14.0,4.6,5.0,4.8,4.7,44.0,37.0,39.0,31.0,0.06470756232738495,-0.5521817207336426,0.7795165777206421,0.07798076421022415
13,734,5855,1974,-1372,4438,5428,1736,-1372,4436,427,238,0,2,647.0,261.0,0.0,14.0,4.6,4.9,5.0,4.5,44.0,37.0,39.0,31.0,0.3628879487514496,0.34829866886138916,-0.7390588521957397,0.7204198241233826
14,735,5855,1963,-1360,4517,5428,1736,-1360,4514,427,227,0,3,647.0,241.0,0.0,14.0,4.6,4.8,4.7,4.6,44.0,37.0,39.0,31.0,0.0644080713391304,-0.5052554607391357,0.08641913533210754,0.527343213558197
15,736,5860,1948,-1508,4650,5428,1736,-1507,4648,432,212,-1,2,658.0,218.0,0.0,14.0,4.3,4.8,4.8,4.8,44.0,37.0,38.0,31.0,0.6847318410873413,-0.6726318597793579,-0.9888160228729248,0.8883013129234314
16,737,5865,1926,-1483,4578,5428,1736,-1482,4582,437,190,-1,-4,667.0,181.0,1.0,-15.0,4.6,5.0,4.8,4.9,45.0,37.0,38.0,31.0,0.6850937008857727,-0.9839921593666077,0.17175833880901337,-0.48358941078186035
17,738,5870,1943,-1553,4719,5428,1736,-1553,4718,442,207,0,1,675.0,210.0,0.0,14.0,4.6,5.0,4.8,4.5,45.0,37.0,38.0,31.0,0.7405427694320679,0.7590281963348389,-0.46993082761764526,0.9424877166748047
18,739,5876,1921,-1569,4707,5428,1736,-1569,4711,448,185,0,-4,689.0,174.0,0.0,-15.0,4.6,4.8,4.9,4.6,45.0,37.0,38.0,31.0,0.917332112789154,-0.9947269558906555,-0.5527030229568481,-0.4133002460002899
19,740,5881,1920,-1584,4695,5428,1736,-1584,4699,453,184,0,-4,698.0,173.0,0.0,-15.0,4.3,5.1,4.9,4.5,45.0,37.0,38.0,31.0,0.80772864818573,-0.08875405043363571,-0.5012660622596741,-0.41455209255218506
20,741,5886,1935,-1516,4732,5427,1736,-1515,4728,459,199,-1,4,705.0,195.0,0.0,15.0,4.5,5.1,4.8,4.5,46.0,37.0,38.0,31.0,0.8432382345199585,0.6858726739883423,0.4561176300048828,0.24843701720237732
21,742,5876,1950,-1522,4802,5428,1736,-1521,4799,448,214,-1,3,680.0,221.0,0.0,14.0,4.3,4.8,5.0,4.7,46.0,37.0,38.0,31.0,-0.5166428685188293,0.6750626564025879,-0.04529311880469322,0.4698152542114258
22,743,5862,1954,-1633,4905,5428,1736,-1631,4903,434,218,-2,2,648.0,228.0,-4.0,14.0,4.6,5.0,4.7,4.8,47.0,37.0,38.0,31.0,-0.753696084022522,0.19711735844612122,-0.7451664209365845,0.6926091909408569
23,744,5868,1953,-1545,4769,5427,1736,-1545,4773,441,217,0,-4,660.0,226.0,0.0,-15.0,4.4,5.0,5.0,4.6,47.0,37.0,38.0,31.0,0.9675459861755371,-0.07625642418861389,0.5876958966255188,-0.9082146286964417
24,745,5854,1939,-1514,4867,5428,1736,-1513,4865,426,203,-1,2,626.0,204.0,0.0,14.0,4.4,5.1,4.8,4.9,47.0,37.0,38.0,31.0,-0.7393099069595337,-0.6545285582542419,0.20788830518722534,0.6543962955474854
25,746,5859,1926,-1532,4849,5427,1736,-1531,4852,432,190,-1,-3,637.0,182.0,0.0,-15.0,4.4,5.1,5.0,4.6,47.0,37.0,38.0,31.0,0.7010841369628906,-0.611635684967041,-0.6042773723602295,-0.6012417078018188
26,747,5862,1921,-1576,4869,5428,1736,-1576,4865,434,185,0,4,643.0,175.0,0.0,15.0,4.6,5.1,4.8,4.9,48.0,37.0,38.0,31.0,0.45699459314346313,-0.2390083372592926,-0.29842597246170044,0.1363113820552826
27,748,5865,1934,-1576,4912,5428,1736,-1576,4910,437,198,0,2,646.0,195.0,0.0,14.0,4.4,4.8,5.0,4.5,48.0,37.0,38.0,31.0,0.5513726472854614,0.6100859642028809,0.005297653377056122,0.2923991084098816
28,749,5871,1913,-1704,5005,5428,1736,-1704,5003,443,177,0,2,659.0,165.0,0.0,14.0,4.3,4.8,4.8,4.6,48.0,37.0,37.0,31.0,0.995931088924408,-0.9530360102653503,-0.8560519218444824,0.6241765022277832
29,750,5867,1896,-1680,4936,5428,1736,-1680,4939,439,160,0,-3,648.0,141.0,0.0,-16.0,4.6,5.0,4.8,4.5,48.0,37.0,37.0,31.0,-0.2360687553882599,-0.7705214619636536,0.16134926676750183,-0.4654528796672821
30,751,5867,1952,-1575,4989,5427,1736,-1575,4986,440,216,0,3,645.0,226.0,0.0,14.0,4.3,4.8,5.0,4.7,48.0,37.0,37.0,31.0,-0.015414671041071415,0.378886342048645,0.7002652287483215,0.3575378656387329
31,752,5857,1948,-1553,5038,5428,1736,-1553,5036,429,212,0,2,623.0,218.0,0.0,15.0,4.7,5.0,5.0,4.6,49.0,37.0,37.0,31.0,-0.6614419221878052,-0.21447935700416565,0.1531844437122345,0.3282890021800995
32,753,5861,1966,-1694,5167,5428,1736,-1694,5165,433,230,0,2,632.0,248.0,-8.0,14.0,4.3,4.8,4.9,4.5,49.0,37.0,37.0,31.0,0.6903924345970154,0.8321727514266968,-0.944118857383728,0.863418459892273
33,754,5847,1969,-1612,5160,5428,1736,-1611,5164,419,233,-1,-4,600.0,255.0,0.0,-15.0,4.4,4.8,4.9,5.0,49.0,37.0,37.0,30.0,-0.9060600996017456,0.18661265075206757,0.5514728426933289,-0.048636455088853836
34,755,5843,1965,-1513,5111,5428,1736,-1512,5114,415,229,-1,-3,591.0,246.0,0.0,-14.0,4.4,4.8,4.9,4.6,49.0,37.0,37.0,31.0,-0.2549416124820709,-0.21840955317020416,0.665420651435852,-0.32931187748908997
35,756,5847,1967,-1407,5091,5428,1736,-1407,5095,419,231,0,-4,600.0,249.0,0.0,-15.0,4.4,5.0,4.8,4.6,49.0,37.0,37.0,30.0,0.6579657196998596,0.14677104353904724,0.7090051174163818,-0.13482685387134552
36,757,5833,1970,-1399,5188,5428,1736,-1399,5187,405,234,0,1,568.0,255.0,0.0,13.0,4.4,5.0,4.9,4.8,50.0,37.0,37.0,30.0,-0.918510377407074,0.18042446672916412,0.05480330437421799,0.6485404968261719
37,758,5828,1989,-1455,5335,5428,1736,-1455,5334,400,253,0,1,556.0,290.0,0.0,14.0,4.7,4.9,4.8,4.6,50.0,37.0,37.0,30.0,-0.35800114274024963,0.9569012522697449,-0.3761003613471985,0.9850929379463196
38,759,5816,1976,-1476,5306,5428,1736,-1475,5310,388,240,-1,-4,532.0,265.0,0.0,-14.0,4.5,5.0,4.7,4.6,50.0,37.0,37.0,30.0,-0.8678748607635498,-0.586836576461792,-0.7002224922180176,-0.9725450873374939
39,760,5769,1910,-1571,5330,5428,1736,-1571,5328,341,174,0,2,432.0,161.0,-1.0,13.0,4.8,5.1,5.1,5.1,50.0,37.0,37.0,30.0,-0.4904601573944092,-0.4453456699848175,-0.6343735456466675,0.16257382929325104
40,761,5799,2057,-1472,5275,5428,1736,-1472,5278,371,321,0,-3,493.0,428.0,0.0,-14.0,4.8,4.9,4.8,4.9,51.0,37.0,37.0,30.0,0.6247438192367554,0.9844308495521545,0.6645646691322327,-0.3715799152851105
41,762,5801,2062,-1415,5347,5428,1736,-1415,5344,373,326,0,3,496.0,434.0,1.0,14.0,4.7,4.5,4.5,4.8,51.0,37.0,37.0,30.0,0.4176720380783081,0.4628748297691345,0.3839345872402191,0.4817514419555664
42,763,5798,2057,-1368,5463,5428,1736,-1368,5459,370,321,0,4,491.0,424.0,12.0,14.0,4.7,4.9,5.0,5.0,51.0,37.0,37.0,30.0,-0.24965007603168488,-0.23308400809764862,0.3156360387802124,0.7770642638206482
43,764,5788,2051,-1459,5566,5428,1736,-1459,5564,360,315,0,2,469.0,408.0,-6.0,14.0,4.7,4.5,4.9,5.0,51.0,38.0,37.0,30.0,-0.798449695110321,-0.280943363904953,-0.6077731847763062,0.6908717751502991
44,765,5788,2042,-1327,5584,5428,1736,-1327,5580,360,306,0,4,469.0,388.0,21.0,13.0,4.5,4.7,4.7,4.7,51.0,38.0,37.0,30.0,0.11822590976953506,-0.41922762989997864,0.8864824175834656,0.12182077020406723
45,766,5791,2023,-1322,5585,5428,1736,-1322,5580,363,287,0,5,477.0,350.0,22.0,14.0,4.7,4.7,4.7,4.7,51.0,38.0,37.0,30.0,0.4714485704898834,-0.8679252862930298,0.035008784383535385,0.006772044114768505
46,767,5784,2014,-1348,5522,5428,1736,-1348,5525,356,278,0,-3,463.0,332.0,0.0,-14.0,4.5,5.0,4.7,4.9,51.0,38.0,37.0,30.0,-0.5956449508666992,-0.41606658697128296,-0.17911401391029358,-0.42454493045806885
47,768,5826,1916,-1203,5654,5428,1736,-1206,5631,398,180,3,23,554.0,165.0,25.0,17.0,4.4,4.9,4.9,4.7,51.0,38.0,37.0,30.0,0.9118871092796326,-0.6570785045623779,0.9696009755134583,0.8812384605407715
