step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,3001,19698,19033,-5417,23943,19684,18952,-5417,23866,14,81,0,77,16.0,54.0,15.0,53.0,5.2,5.2,5.2,5.2,26.0,25.0,22.0,24.0,-0.4136112332344055,-0.22399857640266418,0.8307684659957886,0.983591616153717
2,3002,19825,18984,-5396,24054,19747,18951,-5396,23972,78,33,0,82,56.0,19.0,15.0,59.0,5.1,5.2,5.2,5.2,26.0,25.0,22.0,24.0,0.8517791628837585,-0.33189356327056885,0.14506934583187103,0.7429699897766113
3,3003,19727,19056,-5337,24161,19713,18951,-5338,24074,14,105,1,87,16.0,82.0,15.0,61.0,5.2,5.2,5.1,5.1,26.0,25.0,22.0,24.0,-0.65871262550354,0.4840327799320221,0.3996802270412445,0.7154568433761597
4,3004,19732,18921,-5449,24023,19713,18891,-5449,24007,19,30,0,16,17.0,18.0,0.0,17.0,5.2,5.2,5.2,5.2,26.0,25.0,22.0,24.0,0.03682836517691612,-0.9054434895515442,-0.7518466711044312,-0.9214144945144653
5,3005,19743,18998,-5316,24166,19713,18900,-5317,24081,30,98,1,85,21.0,70.0,15.0,60.0,5.1,5.1,5.2,5.2,26.0,25.0,22.0,24.0,0.07986816018819809,0.5168476104736328,0.8900510668754578,0.9588127136230469
6,3006,19882,18874,-5447,24146,19797,18846,-5447,24081,85,28,0,65,65.0,19.0,0.0,45.0,5.1,5.2,5.2,5.2,26.0,25.0,22.0,24.0,0.9276077151298523,-0.8289013504981995,-0.8740637302398682,-0.13621750473976135
7,3007,19834,18972,-5568,24284,19797,18865,-5568,24190,37,107,0,94,27.0,82.0,0.0,67.0,5.1,5.1,5.1,5.2,26.0,25.0,22.0,24.0,-0.3244783878326416,0.6575536727905273,-0.8117890357971191,0.9239923357963562
8,3008,19801,18848,-5581,9196,19793,18818,-5580,21932,8,30,-1,-12736,14.0,21.0,0.0,-59.0,5.2,5.2,5.2,5.2,26.0,25.0,22.0,24.0,-0.22366338968276978,-0.829537034034729,-0.08980408310890198,0.8998624682426453
9,3009,19763,18996,-5662,19004,19759,18954,-5662,18998,4,42,0,6,13.0,24.0,0.0,15.0,5.2,5.2,5.2,5.2,26.0,25.0,22.0,24.0,-0.25636178255081177,0.9908167719841003,-0.5461091995239258,-0.5383758544921875
10,3010,19881,18892,-5774,19057,19850,18880,-5773,19047,31,12,-1,10,22.0,13.0,-1.0,15.0,5.2,5.2,5.2,5.2,26.0,25.0,22.0,24.0,0.7929149866104126,-0.6945194005966187,-0.750593364238739,0.356218159198761
