step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,9531,15037,-1569,13749,-3754,15037,-1569,13749,-3754,0,0,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.5562114715576172,-0.9569384455680847,-0.08759833872318268,0.5638260841369629
2,9532,15163,-1467,13881,-3800,15163,-1467,13880,-3799,0,0,1,-1,0.0,0.0,16.0,-1.0,5.2,5.3,5.2,5.2,24.0,22.0,23.0,23.0,0.8458075523376465,0.6829434633255005,0.8825171589851379,-0.31266942620277405
3,9533,15082,-1333,13899,-3948,15082,-1333,13899,-3948,0,0,0,0,0.0,0.0,14.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.5421372652053833,0.8954632878303528,0.12594810128211975,-0.9866685271263123
4,9534,14954,-1191,13896,-3968,14954,-1189,13897,-3967,0,-2,-1,-1,0.0,-12.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.859363853931427,0.9467945098876953,-0.1018267571926117,-0.6757099628448486
5,9535,15065,-1288,13892,-3985,15065,-1289,13893,-3985,0,1,-1,0,0.0,2.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.7452898025512695,-0.6478270292282104,-0.13585780560970306,-0.5902918577194214
6,9536,15048,-1241,13867,-3999,15048,-1241,13867,-3999,0,0,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.11438111960887909,0.31845971941947937,-0.8557788133621216,-0.48400744795799255
7,9537,15172,-1380,13969,-4098,15172,-1379,13969,-4097,0,-1,0,-1,0.0,0.0,15.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.8290143609046936,-0.9284984469413757,0.6800434589385986,-0.6654788255691528
8,9538,15211,-1529,13950,-4111,15211,-1530,13951,-4109,0,1,-1,-2,0.0,11.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.26058581471443176,-0.998651921749115,-0.6388635635375977,-0.44651734828948975
9,9539,15243,-1544,13922,-4112,15244,-1544,13923,-4109,-1,0,-1,-3,0.0,0.0,0.0,-15.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.21623243391513824,-0.10426538437604904,-0.9658486843109131,-0.057781338691711426
10,9540,15381,-1600,13911,-4138,15381,-1600,13912,-4136,0,0,-1,-2,0.0,0.0,0.0,-14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.9242464900016785,-0.3782249391078949,-0.3764474093914032,-0.8788700103759766
11,9541,15353,-1617,13841,-4116,15353,-1616,13841,-4118,0,-1,0,2,0.0,0.0,0.0,14.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,-0.9371247291564941,-0.5852953195571899,-0.4703693091869354,0.1523652970790863
12,9542,15442,-1556,13929,-4234,15442,-1557,13930,-4233,0,1,-1,-1,13.0,12.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.5979276895523071,0.4073457419872284,0.5921391248703003,-0.7888957262039185
13,9543,15496,-1604,13907,-4240,15496,-1603,13908,-4233,0,-1,-1,-7,0.0,0.0,0.0,-16.0,5.2,5.2,5.2,5.2,24.0,22.0,23.0,23.0,0.3607598841190338,-0.323601096868515,-0.7582991719245911,-0.20932748913764954
