step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,4068,-9462,16074,29225,-7353,-9463,16075,29225,-7353,1,-1,0,0,0.0,0.0,15.0,0.0,5.2,5.2,5.2,5.2,28.0,29.0,22.0,23.0,-0.9319764375686646,-0.4659198820590973,0.6019176840782166,-0.6306410431861877
2,4069,-9361,16010,29091,-7329,-9361,16010,29091,-7330,0,0,0,1,0.0,0.0,0.0,13.0,5.2,5.2,5.2,5.2,28.0,29.0,22.0,23.0,0.6743649840354919,-0.428438276052475,-0.897041380405426,0.1637984961271286
3,4070,-9224,15877,29171,-7370,-9225,15878,29172,-7370,1,-1,-1,0,12.0,0.0,7.0,0.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,0.9158310294151306,-0.8878859877586365,0.5362414717674255,-0.27737078070640564
4,4071,-9229,15852,29213,-7498,-9229,15852,29214,-7497,0,0,-1,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,-0.18832728266716003,-0.8397532105445862,0.2832678258419037,-0.8572784662246704
5,4072,-9335,15881,29189,-7520,-9334,15882,29190,-7518,-1,-1,-1,-2,0.0,0.0,-2.0,-13.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,-0.7115329504013062,0.19883885979652405,-0.8009986877441406,-0.7615225315093994
6,4073,-9478,16019,29316,-7581,-9478,16019,29315,-7580,0,0,1,-1,0.0,0.0,14.0,-15.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,-0.956195056438446,0.9265264272689819,0.8528062105178833,-0.4105273187160492
7,4074,-9330,16144,29449,-7602,-9339,16135,29448,-7599,9,9,1,-3,14.0,13.0,16.0,-15.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,0.9916917681694031,0.8354393243789673,0.887991189956665,-0.14260828495025635
8,4075,-9423,16233,29496,-7737,-9425,16219,29495,-7736,2,14,1,-1,13.0,15.0,15.0,0.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,-0.6266137361526489,0.5992476344108582,0.31680524349212646,-0.9055165648460388
9,4076,-9559,16336,29468,-7764,-9560,16334,29468,-7762,1,2,0,-2,13.0,12.0,0.0,-15.0,5.2,5.2,5.2,5.2,28.0,28.0,22.0,23.0,-0.9122843146324158,0.6932413578033447,-0.9627606868743896,-0.9291002750396729
