step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,201,1847,-5601,4520,-1975,1846,-5601,4494,-2009,1,0,26,34,13.0,0.0,87.0,23.0,5.2,5.1,5.1,5.2,24.0,24.0,52.0,37.0,0.1226649284362793,0.5435550212860107,0.27286460995674133,-0.9286229014396667
2,202,1995,-5571,4576,-1838,1987,-5579,4518,-2008,8,8,58,170,14.0,17.0,263.0,160.0,4.9,4.9,4.6,5.2,24.0,24.0,52.0,37.0,0.9911789298057556,-0.17421145737171173,0.7411213517189026,0.9140304923057556
3,203,1850,-5682,4647,-1958,1850,-5679,4574,-2050,0,-3,73,92,0.0,-16.0,355.0,63.0,5.2,4.8,4.7,5.2,24.0,24.0,52.0,37.0,-0.9706581830978394,-0.7430353760719299,0.9361797571182251,-0.8055489659309387
4,204,1880,-5724,4671,-1883,1873,-5716,4578,-2050,7,-8,93,167,15.0,-17.0,458.0,154.0,4.9,4.4,4.6,5.1,24.0,24.0,52.0,37.0,-0.2762291431427002,-0.286129891872406,0.6641602516174316,0.5021487474441528
5,205,1777,-5839,4676,-1997,1777,-5838,4602,-2082,0,-1,74,85,0.0,-17.0,350.0,56.0,5.2,4.6,4.2,5.2,24.0,24.0,52.0,37.0,-0.6925097703933716,-0.7730084657669067,0.14215965569019318,-0.7622676491737366
6,206,1807,-5977,4644,-2008,1802,-5980,4602,-2082,5,3,42,74,14.0,15.0,173.0,48.0,5.2,5.1,4.8,5.2,24.0,24.0,52.0,37.0,-0.9765817523002625,-0.9257911443710327,-0.43088579177856445,-0.07775512337684631
7,207,1893,-6056,4589,-2068,1891,-6055,4580,-2096,2,-1,9,28,13.0,0.0,34.0,20.0,5.2,5.2,5.1,5.2,24.0,24.0,52.0,37.0,0.574423611164093,-0.5302731990814209,-0.7292026281356812,-0.40459099411964417
8,208,1831,-6026,4571,-2210,1831,-6029,4571,-2210,0,3,0,0,0.0,16.0,18.0,14.0,5.2,5.2,5.2,5.3,24.0,24.0,52.0,37.0,-0.4191908538341522,-0.9521638751029968,-0.24738676846027374,-0.9515925645828247
9,209,1941,-6156,4600,-2189,1940,-6158,4595,-2208,1,2,5,19,13.0,14.0,24.0,17.0,5.2,5.2,5.2,5.2,24.0,24.0,52.0,37.0,0.733938992023468,-0.8707612752914429,0.37958696484565735,0.14183570444583893
10,210,1979,-6251,4609,-2197,1977,-6251,4599,-2209,2,0,10,12,13.0,0.0,35.0,15.0,5.2,5.2,5.2,5.2,24.0,24.0,52.0,36.0,0.2599502503871918,-0.6379539966583252,0.12434133142232895,-0.055937424302101135
11,211,1948,-6221,4652,-2127,1948,-6227,4628,-2203,0,6,24,76,0.0,15.0,88.0,52.0,5.2,5.2,5.0,5.2,24.0,24.0,51.0,36.0,-0.2069503664970398,-0.06536579877138138,0.5629534721374512,0.4704570174217224
12,212,1978,-6213,4702,-1981,1967,-6222,4652,-2182,11,9,50,201,14.0,17.0,213.0,212.0,5.1,4.8,4.9,4.8,24.0,24.0,51.0,36.0,0.2061602622270584,0.058193664997816086,0.5819706916809082,0.9747763872146606
13,213,2033,-6362,4647,-2086,2025,-6363,4637,-2180,8,1,10,94,15.0,15.0,33.0,66.0,5.2,5.2,5.2,5.2,24.0,24.0,51.0,36.0,0.3668133616447449,-0.9990449547767639,-0.6408675909042358,-0.7045493721961975
14,214,2062,-6496,4726,-2142,2049,-6495,4671,-2202,13,-1,55,60,15.0,-16.0,242.0,38.0,5.1,5.1,4.6,5.2,24.0,24.0,51.0,36.0,0.19456464052200317,-0.8989949226379395,0.910555362701416,-0.3779143989086151
15,215,1928,-6422,4732,-2142,1926,-6421,4678,-2202,2,-1,54,60,13.0,0.0,236.0,38.0,5.2,5.0,4.6,5.1,24.0,24.0,51.0,36.0,-0.8976980447769165,0.4997759759426117,0.07674990594387054,-0.00235321675427258
16,216,1803,-6392,4788,-2226,1801,-6393,4746,-2278,2,1,42,52,12.0,15.0,170.0,33.0,5.2,5.0,5.0,5.2,24.0,23.0,51.0,36.0,-0.8383756279945374,-0.7287882566452026,0.654325008392334,-0.5635430216789246
17,217,1929,-6519,4850,-2346,1923,-6520,4823,-2379,6,1,27,33,14.0,14.0,94.0,22.0,5.2,5.1,5.1,5.2,24.0,23.0,51.0,36.0,0.8416242599487305,-0.851473331451416,0.7138432264328003,-0.805687665939331
18,218,1854,-6613,4811,-2306,1854,-6613,4807,-2377,0,0,4,71,0.0,6.0,19.0,45.0,5.1,5.2,5.2,5.2,24.0,24.0,51.0,36.0,-0.5007507801055908,-0.633249819278717,-0.4560709297657013,0.27280011773109436
19,219,1967,-6583,4749,-2439,1967,-6587,4748,-2438,0,4,1,-1,0.0,15.0,17.0,0.0,5.2,5.2,5.2,5.2,24.0,23.0,51.0,36.0,0.7538208365440369,-0.9457879066467285,-0.7227041721343994,-0.890092134475708
20,220,1997,-6719,4829,-2306,1992,-6722,4810,-2394,5,3,19,88,14.0,15.0,62.0,61.0,5.1,5.2,5.1,5.2,24.0,24.0,51.0,36.0,-0.8086627721786499,-0.9105419516563416,0.9281132817268372,0.8907384872436523
