episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
1,-44.67408179591837,0.0008333333333333334,9,hardware_error,True,False,6.5,-1.6,0.07408179591836735,0.0,1123.0,True,"16,19"
1,-23.83786220657924,0.002361111111111111,81,hardware_error,True,False,30.62921008729831,-4.600000000000002,0.3670722938775511,0.0,1168.0,True,16
1,52.13491041455889,0.004027777777777778,100,max_steps,False,True,42.75676187578337,9.39999999999998,0.0218514612244898,0.0,728.0,False,
2,-23.793492288435363,0.0030555555555555557,30,hardware_error,True,False,24.666666666666664,1.100000000000001,0.06015895510204083,0.0,957.0,True,16
1,-32.34782243042139,0.0011111111111111111,50,hardware_error,True,False,14.70217103896636,2.5000000000000018,0.04999346938775512,0.0,956.0,True,16
1,-43.455753262585034,0.0008333333333333334,17,hardware_error,True,False,8.733333333333333,-2.5999999999999996,0.08908659591836736,0.0,1119.0,True,19
1,-39.60977951201814,0.0006944444444444445,28,hardware_error,True,False,10.263492063492064,-0.2999999999999998,0.07327157551020408,0.0,1102.0,True,"16,19"
1,-38.22919829115646,0.0009722222222222222,15,hardware_error,True,False,9.283333333333333,1.4000000000000001,0.01253162448979592,0.0,410.0,True,16
1,-30.796252625850336,0.0019444444444444444,26,hardware_error,True,False,17.426190476190474,1.3000000000000007,0.02244310204081633,0.0,976.0,True,16
1,-45.22125302857143,0.0005555555555555556,11,hardware_error,True,False,5.749999999999999,-1.4,0.07125302857142857,0.0,858.0,True,19
1,-46.10515689795918,0.0004166666666666667,4,hardware_error,True,False,2.5,0.30000000000000004,0.005156897959183674,0.0,412.0,True,16
1,-17.16194913366074,0.002777777777777778,70,hardware_error,True,False,30.72714081154483,6.299999999999992,0.010377338775510208,0.0,566.0,True,19
1,-42.80603412244898,0.0008333333333333334,7,hardware_error,True,False,5.5,0.6,0.0060341224489795925,0.0,429.0,True,19
1,-45.71625159183674,0.0006944444444444445,5,observation_failed,True,False,4.0,-0.7,0.016251591836734695,-50.0,674.0,False,
1,-44.983822375454814,0.00125,10,observation_failed,True,False,8.5,-1.4000000000000001,0.027763363265306124,-50.0,661.0,False,
1,-44.00910324897959,0.0008333333333333334,7,observation_failed,True,False,5.5,-0.5,0.009103248979591836,-50.0,505.0,False,
1,-48.74793410729049,0.0005555555555555556,4,observation_failed,True,False,3.0,-0.20000000000000004,0.0045980734693877555,-50.0,638.0,False,
1,-72.11314798997634,0.0020833333333333333,60,observation_failed,True,False,25.5595349095349,-5.399999999999999,0.021958628571428575,-50.0,673.0,False,
1,56.176996268606395,0.004722222222222222,100,max_steps,False,True,53.537337662337684,9.99999999999998,0.012542889795918357,0.0,400.0,False,
2,25.95986692785354,0.005555555555555556,100,max_steps,False,True,58.69303058053061,5.2,0.05572486530612247,0.0,642.0,False,
3,26.929410996336088,0.0030555555555555557,100,max_steps,False,True,39.14316922757327,8.199999999999982,0.04567056326530612,0.0,622.0,False,
4,66.25846044004936,0.0059722222222222225,100,max_steps,False,True,60.36428571428572,9.99999999999998,0.023977077551020416,0.0,394.0,False,
5,29.965493531031605,0.00125,100,max_steps,False,True,19.970923702460187,9.99999999999998,0.005430171428571435,0.0,171.0,False,
6,58.33106968389074,0.0043055555555555555,100,max_steps,False,True,48.33338050838051,9.99999999999998,0.002310824489795921,0.0,44.0,False,
7,61.14982563713261,0.004722222222222222,100,max_steps,False,True,51.15506478815303,9.99999999999998,0.005239151020408168,0.0,203.0,False,
8,47.78027697369199,0.002916666666666667,100,max_steps,False,True,37.78230479410015,9.99999999999998,0.0020278204081632654,0.0,41.0,False,
9,14.74014003571327,0.002361111111111111,100,max_steps,False,True,34.07809114689921,5.799999999999985,0.04113175510204082,0.0,700.0,False,
10,33.612102705156985,0.0015277777777777779,100,max_steps,False,True,23.614396876585545,9.99999999999998,0.002294171428571431,0.0,42.0,False,
11,-15.233848385571676,0.0011111111111111111,100,max_steps,False,True,18.3089881810457,4.600000000000001,0.013645942857142854,0.0,558.0,False,
12,30.660287220858443,0.001388888888888889,100,max_steps,False,True,20.66259298412376,9.99999999999998,0.002305763265306124,0.0,26.0,False,
13,-83.14057849775325,0.0038888888888888888,100,max_steps,False,True,48.169444444444466,-11.000000000000002,0.05672545306122451,0.0,725.0,False,
14,-12.503677356772421,0.002638888888888889,100,max_steps,False,True,37.84472235281061,3.400000000000004,0.039280751020408185,0.0,608.0,False,
15,-49.5,0.0001388888888888889,1,observation_failed,True,False,0.0,-0.5,0.0,-50.0,0.0,False,
1,-47.32810595180285,0.0004166666666666667,6,observation_failed,True,False,3.0833333333333335,0.6,0.0015239183673469389,-50.0,419.0,False,
1,-50.60162808956445,0.0008333333333333334,13,observation_failed,True,False,7.916666666666667,0.6999999999999998,0.008750008163265308,-50.0,520.0,False,
1,29.92059653415665,0.00125,100,max_steps,False,True,19.92491424844236,9.99999999999998,0.004317714285714292,0.0,226.0,False,
2,41.33840838900032,0.0025,100,max_steps,False,True,36.7919695500578,9.99999999999998,0.020992000000000018,0.0,454.0,False,
3,22.923345771863797,0.0006944444444444445,100,max_steps,False,True,12.925840400435222,9.99999999999998,0.002494628571428576,0.0,134.0,False,
4,56.46872455488637,0.0038888888888888888,100,max_steps,False,True,46.47580475080479,9.99999999999998,0.007080195918367349,0.0,175.0,False,
5,24.61103956816752,0.002777777777777778,100,max_steps,False,True,40.07057705366532,8.199999999999987,0.018283820408163284,0.0,561.0,False,
6,-181.10452017428412,0.002916666666666667,100,max_steps,False,True,38.15206362265189,-23.599999999999994,0.059585012244897956,0.0,665.0,False,
7,20.508604598871546,0.0006944444444444445,100,max_steps,False,True,10.510226280504197,9.99999999999998,0.0016216816326530613,0.0,19.0,False,
8,37.35529760067477,0.0020833333333333333,100,max_steps,False,True,31.479045279625772,9.99999999999998,0.016067134693877546,0.0,388.0,False,
9,45.03360500208363,0.002361111111111111,100,max_steps,False,True,35.044430569430574,9.99999999999998,0.010825567346938767,0.0,428.0,False,
10,12.436812943380211,0.003472222222222222,100,max_steps,False,True,44.33532856032859,4.6000000000000005,0.03448146938775509,0.0,631.0,False,
11,45.13335322404373,0.0033333333333333335,100,max_steps,False,True,35.134919624043704,9.99999999999998,0.0015664,0.0,41.0,False,
12,41.18389686775481,0.002361111111111111,100,max_steps,False,True,31.186925341224203,9.99999999999998,0.0030284734693877594,0.0,240.0,False,
13,47.07299265611349,0.005277777777777778,100,max_steps,False,True,55.19337457777863,8.199999999999989,0.03432564897959182,0.0,701.0,False,
14,50.06858033927545,0.003472222222222222,100,max_steps,False,True,40.070253939275446,9.99999999999998,0.0016735999999999997,0.0,37.0,False,
15,51.33961330595836,0.0033333333333333335,100,max_steps,False,True,41.34247270187674,9.99999999999998,0.0028593959183673516,0.0,130.0,False,
16,-35.42437392769279,0.002777777777777778,100,max_steps,False,True,39.13357516666342,-0.19999999999999973,0.03847951020408163,0.0,638.0,False,
17,41.741718235285674,0.002638888888888889,100,max_steps,False,True,35.78934655815463,9.99999999999998,0.018637681632653065,0.0,434.0,False,
18,18.089255203961688,0.0004166666666666667,100,max_steps,False,True,8.091336836614747,9.99999999999998,0.0020816326530612253,0.0,50.0,False,
19,17.795757950605424,0.005138888888888889,100,max_steps,False,True,57.263095238095254,3.3999999999999937,0.04819098775510201,0.0,677.0,False,
20,51.87895401883198,0.0030555555555555557,100,max_steps,False,True,41.88056665556666,9.99999999999998,0.0016126367346938788,0.0,20.0,False,
21,23.055692805407446,0.0018055555555555555,100,max_steps,False,True,27.247420077743758,8.199999999999987,0.03252042448979594,0.0,592.0,False,
22,-92.22722702496576,0.0015277777777777779,100,max_steps,False,True,23.045856101950307,-10.400000000000007,0.03851311020408163,0.0,684.0,False,
23,-92.52980095101117,0.0019444444444444444,100,max_steps,False,True,30.972926569125924,-11.599999999999998,0.038918530612244887,0.0,699.0,False,
24,25.469989941324318,0.0008333333333333334,100,max_steps,False,True,15.471524439283494,9.99999999999998,0.0015344979591836742,0.0,29.0,False,
25,-1.8159600017442967,0.0030555555555555557,100,max_steps,False,True,41.29839882339886,5.799999999999985,0.04597257142857143,0.0,577.0,False,
26,-90.87434382269994,0.0030555555555555557,100,max_steps,False,True,39.76963135642671,-9.799999999999997,0.04808982857142856,0.0,748.0,False,
27,80.33095853152166,0.008194444444444445,100,max_steps,False,True,73.03849206349207,9.39999999999998,0.010890024489795919,0.0,534.0,False,
28,-140.07530735650195,0.003472222222222222,100,max_steps,False,True,45.581955544455575,-22.40000000000001,0.0557366530612245,0.0,831.0,False,
29,70.2147494728002,0.0059722222222222225,100,max_steps,False,True,60.216677766677776,9.99999999999998,0.0019282938775510201,0.0,44.0,False,
30,42.754312435173986,0.0033333333333333335,100,max_steps,False,True,41.762944000444,9.39999999999998,0.014363559183673467,0.0,522.0,False,
31,-188.86788605162803,0.0030555555555555557,100,max_steps,False,True,37.64929931918289,-30.200000000000003,0.07045152653061224,0.0,844.0,False,
32,-122.84719901347806,0.0015277777777777779,100,max_steps,False,True,20.81067017938504,-13.40000000000001,0.04292450612244898,0.0,672.0,False,
33,23.087755918531865,0.00125,100,max_steps,False,True,21.184312063513456,9.99999999999998,0.014022334693877554,0.0,365.0,False,
34,-141.02450229721453,0.00125,100,max_steps,False,True,21.714943566513384,-14.600000000000003,0.05652156734693877,0.0,746.0,False,
35,-40.61164321656868,0.001388888888888889,100,max_steps,False,True,23.610081419258208,1.0000000000000029,0.06751461224489794,0.0,761.0,False,
36,31.3569267150345,0.0016666666666666668,100,max_steps,False,True,25.44790179577637,9.99999999999998,0.02013962448979593,0.0,422.0,False,
37,-129.35225322164555,0.0015277777777777779,100,max_steps,False,True,25.43430521058477,-13.400000000000006,0.04601028571428574,0.0,676.0,False,
38,-71.3585506157812,0.0011111111111111111,100,max_steps,False,True,16.53645240567129,-0.8000000000000073,0.06098622040816328,0.0,699.0,False,
39,-68.73964565413368,0.0015277777777777779,100,max_steps,False,True,21.728055550390227,-8.000000000000021,0.024928130612244904,0.0,774.0,False,
