timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-14T16:57:05.057854,2,19,2655,2652,9,5.1000000000000005,24,1,4,1,0,0x00,,None,No hardware error
2026-08-14T16:57:06.337952,3,16,3572,3534,24,5.1000000000000005,22,1,59,1,0,0x00,,None,No hardware error
2026-08-14T16:57:06.465787,3,17,229,234,-11,5.2,22,1,-7,0,0,0x00,,None,No hardware error
2026-08-14T16:57:06.593813,3,18,2119,2110,12,5.2,21,1,14,1,0,0x00,,None,No hardware error
2026-08-14T16:57:06.721784,3,19,2470,2474,-10,5.1000000000000005,24,1,-7,0,0,0x00,,None,No hardware error
2026-08-14T16:57:08.001865,4,16,3972,3678,415,4.3,22,1,457,1,0,0x00,,None,No hardware error
2026-08-14T16:57:08.129812,4,17,281,199,52,4.7,22,1,129,0,0,0x00,,None,No hardware error
2026-08-14T16:57:08.257764,4,18,2129,2115,11,4.7,21,1,21,1,0,0x00,,None,No hardware error
2026-08-14T16:57:08.385866,4,19,2070,2076,-10,4.4,24,1,-8,0,0,0x00,,None,No hardware error
2026-08-14T16:57:09.665756,5,16,3868,3678,197,4.7,22,1,321,0,0,0x00,,None,No hardware error
2026-08-14T16:57:09.793765,5,17,422,200,267,5.0,22,1,348,1,0,0x00,,None,No hardware error
2026-08-14T16:57:09.921835,5,18,2379,2364,13,4.7,21,1,23,0,0,0x00,,None,No hardware error
2026-08-14T16:57:10.049712,5,19,2470,2469,9,4.7,24,1,1,1,0,0x00,,None,No hardware error
2026-08-14T16:57:11.329705,6,16,3741,3677,42,5.1000000000000005,22,1,100,0,0,0x00,,None,No hardware error
2026-08-14T16:57:11.457576,6,17,255,199,35,5.1000000000000005,22,1,87,0,0,0x00,,None,No hardware error
2026-08-14T16:57:11.585583,6,18,2738,2726,13,5.1000000000000005,21,1,20,1,0,0x00,,None,No hardware error
