scale,mean_total_reward,median_total_reward,std_total_reward,mean_safety_penalty_sum
0.0,17.56622487078516,0.851703733,37.533195478480515,-0.0
0.25,16.231695845245962,0.8273609785,36.449595133646,-1.3345290255391975
0.5,14.897166819706765,0.804522546,35.490040294783206,-2.669058051078395
0.75,13.56263779416757,0.798753124,34.664833577874084,-4.003587076617593
1.0,12.228108768628369,0.785118734,33.98376326977078,-5.33811610215679
1.5,9.581684462405942,0.779290584,33.08057933120919,-8.007174153235185
2.0,6.9365577414427735,0.7150504099999999,32.84054455311188,-10.67623220431358
3.0,1.6691240833147891,0.509289935,34.366198383440825,-16.01434830647037
