episode,actor_loss,critic_loss,entropy,buffer_size
1,-0.0028820571296382267,164.98033752441407,5.67845196723938,200
2,-0.0008629908288128263,205.22094116210937,5.682104301452637,200
3,-0.002892930421512574,168.97729034423827,5.680920362472534,200
4,8.972715801718323e-05,208.9210433959961,5.68174147605896,200
5,-0.00038874507133357383,193.10153198242188,5.6824315071105955,200
6,-0.000941806779621146,198.39991760253906,5.684060525894165,200
8,-0.001030573021759551,103.09053421020508,5.688390636444092,94
9,0.00567013398568787,133.83737030029297,5.68953504562378,77
10,-0.001317873346826559,178.64312438964845,5.6846424579620365,200
11,-0.0040721099342604814,148.8094512939453,5.678962230682373,98
12,-0.01143444168514236,176.49935760498047,5.671256971359253,112
13,0.006047195049934118,159.1463836669922,5.664107084274292,200
14,0.006702368983998497,152.66557922363282,5.661305284500122,200
15,-0.002115769310971416,158.1330337524414,5.662070798873901,200
16,0.0009564356490812997,160.48171844482422,5.665382194519043,200
17,-0.0021894482963233488,171.02405242919923,5.669782733917236,200
18,0.009765526507981548,157.28047790527344,5.674230003356934,200
19,-0.005626206309802128,166.0223648071289,5.675065374374389,174
21,-0.004754482107236413,151.9571273803711,5.672349691390991,120
24,-0.0016795800152149987,72.01365432739257,5.670988655090332,88
25,0.005212301345541981,137.5117202758789,5.665269947052002,200
26,0.0026689573763871268,142.5449432373047,5.660515689849854,200
27,-0.0006151208743101933,121.6377799987793,5.658391952514648,200
28,0.0027872960648735122,101.80845565795899,5.662175893783569,81
37,0.00485831331116735,33.25199508666992,5.668834114074707,54
42,-0.0008490531268074974,68.893603515625,5.672043800354004,127
44,-0.014050239107966789,95.75080795288086,5.673084306716919,132
46,-0.002366060477842602,85.56627731323242,5.6737583637237545,130
47,-0.016167130024511023,63.03722305297852,5.674426651000976,55
48,0.008774049779061599,77.54850387573242,5.672012710571289,176
49,-0.0006791635563999421,84.31398010253906,5.6705560207366945,185
1,-0.0009953439101806794,235.5643051147461,5.673040962219238,200
2,-0.0007170584030092187,210.80438842773438,5.668814277648925,200
3,-0.0007895119034515119,234.5883575439453,5.667875337600708,200
4,-0.0017779948291149594,229.54920196533203,5.669371700286865,200
5,-0.005499088901326843,231.96062927246095,5.6724710941314695,200
6,0.0003598060505481726,225.80252075195312,5.675290632247925,200
7,-0.004181661972252115,204.4233642578125,5.680565309524536,200
8,-0.002964241209905083,228.69572906494142,5.687138032913208,200
9,0.0014412429148798367,228.46875915527343,5.68952054977417,200
10,-0.0008175158471566135,217.720556640625,5.695171976089478,200
11,0.0013990447137047113,214.21543884277344,5.696582269668579,200
12,0.0033722333249169623,194.75042114257812,5.700429058074951,200
13,-0.0011383590342486372,218.28829956054688,5.703946161270141,200
14,-0.001568004315020488,217.58724365234374,5.706426668167114,200
15,-0.007325705011375305,211.0409698486328,5.707747459411621,200
16,-0.003953974415056116,176.09433288574218,5.713664293289185,106
20,0.005390545867126573,146.5061828613281,5.7166040420532225,116
31,-0.017309555689804412,19.048051643371583,5.717592763900757,50
33,0.0077742534755872224,72.33189315795899,5.719649744033814,65
36,-0.0022516689133006197,65.85858306884765,5.719141674041748,63
40,-0.0007093334570527077,32.18060646057129,5.719935083389283,64
47,0.0010463559068739415,66.88864059448242,5.722882509231567,64
48,-0.017616332405613378,128.44259643554688,5.722347593307495,66
52,-0.000314935746667544,72.46357421875,5.724654197692871,79
58,-0.001239786027559342,49.46767349243164,5.726371574401855,79
62,-0.010042084303191423,114.83356552124023,5.72600679397583,85
66,-0.0008784430232301688,163.27435913085938,5.726858615875244,203
67,0.008303640660829715,160.2169631958008,5.726355981826782,200
68,-0.003372182247694866,182.8745132446289,5.726459121704101,200
69,-0.0019370929572033902,175.75757446289063,5.731877422332763,200
70,0.00041740893968409407,169.57549285888672,5.736933660507202,200
71,-0.004449064068035469,98.34821929931641,5.738561534881592,59
