episode,total_reward,steps,termination_reason,terminated,truncated,goal_x,goal_y,final_distance_to_goal,goal_reached,distance_reward_sum,velocity_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
9,-0.0878037748625502,22,out_of_bounds,True,False,-0.119,-0.528,0.1744032632715197,False,0.0,1.6173954641902297,-0.03702857228927314,0.0,0.0,-1.6681706197559834,150.0,9,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6681706,0.0,0.0,0.0,0.0,0.0,0.0
10,6.226198978623375,78,out_of_bounds,True,False,-0.119,-0.528,0.18564246117628438,False,0.0,11.077291353626258,-0.5368571542203426,0.0,-0.8189999999999998,-3.495235268259421,559.0,36,False,,-0.0055590593,0.0,0.0,0.0,0.0,-0.4944754,-0.1226829,-1.1449833,0.0,0.0,0.0,0.0,0.0,-0.72753453
11,5.544154557416216,74,out_of_bounds,True,False,-0.119,-0.528,0.19622135433270047,False,0.0,10.552384055152597,-0.47480001021176577,0.0,-0.618,-3.915429543238133,491.0,37,False,,-0.0019155797,0.0,0.0,0.0,0.0,-0.21355012,-0.10011535,-2.1318574,0.0,0.0,0.0,0.0,0.0,-0.46799102
12,1.9283752527592704,111,out_of_bounds,True,False,-0.119,-0.528,0.18889403214078024,False,0.0,13.685833493679645,-0.8294285878218943,0.0,-3.1691999999999996,-7.758829607511871,656.0,77,False,,-0.0069885133,-1.2102909,0.0,-0.81675655,0.0,-1.1817547,-0.19879144,-1.7649716,0.0,-0.73193115,-1.1708614,0.0,0.0,-0.6764834
13,3.524775568358553,61,out_of_bounds,True,False,-0.119,-0.528,0.19529086254813224,False,0.0,8.68446251284247,-0.39234286377904937,0.0,-0.7437,-4.023644109984161,498.0,55,False,,0.0,-1.5309408,0.0,0.0,0.0,-0.2181355,0.0,-2.2745676,0.0,0.0,0.0,0.0,0.0,0.0
14,14.397145235991108,245,out_of_bounds,True,False,-0.119,-0.528,0.18808330071900106,False,0.0,34.977584832151145,-1.5630285945953801,0.0,-3.973499999999999,-15.043911097294767,561.0,229,False,,0.0,-4.0143433,0.0,0.0,0.0,-2.4961505,-0.91778016,-7.2498574,0.0,0.0,0.0,0.0,0.0,-0.36578023
15,2.293919461619854,40,out_of_bounds,True,False,-0.119,-0.528,0.18245641445750546,False,0.0,5.005869831968053,-0.17640000265964773,0.0,-0.20129999999999998,-2.3342503606691025,427.0,40,False,,0.0,-1.723916,0.0,0.0,0.0,-0.069381334,0.0,-0.5409528,0.0,0.0,0.0,0.0,0.0,0.0
16,13.624571943292398,240,out_of_bounds,True,False,-0.119,-0.528,0.18291350877254248,False,0.0,33.43916513021177,-1.5521143127116375,0.0,-3.5475000000000003,-14.714978813113703,543.0,240,False,,0.0,-4.5374365,0.0,-1.2306819,-0.5469213,-2.5801914,-0.8367299,-4.9830194,0.0,0.0,0.0,0.0,0.0,0.0
17,7.12746428474933,88,out_of_bounds,True,False,-0.119,-0.528,0.18312288273442695,False,0.0,12.269393974435713,-0.4854857202335552,0.0,-0.39659999999999995,-4.259844019950833,467.0,88,False,,0.0,-2.0115921,0.0,-0.18296318,0.0,-0.22013444,-0.13699631,-1.7081581,0.0,0.0,0.0,0.0,0.0,0.0
18,14.09969762830716,224,observation_failed,True,False,-0.119,-0.528,0.11192276821592839,False,0.0,31.852164384833863,-1.5894285911126644,0.0,-4.542000000000001,-11.621038268494885,550.0,175,False,,0.0,-1.8348606,0.0,0.0,0.0,-1.35812,-1.1996967,-5.856299,0.0,0.0,0.0,0.0,0.0,-1.3720628
